zone;pcode;station_code_7day
Afder;ET0508;G1902
Agnuak;ET1202;G5056
Alaba;ET0721;no_station
Arsi;ET0408;no_station
Asosa;ET0603;no_station
Awi/Agew;ET0309;no_station
Bale;ET0411;G5081
Basketo;ET0718;no_station
Bench Maji;ET0711;no_station
Borena;ET0412;no_station
Central;ET0102;no_station
Dawro;ET0717;no_station
Dire Dawa;ET1501;no_station
Doolo;ET0507;no_station
East Gojam;ET0306;no_station
Guji;ET0414;no_station
East Harerge;ET0410;no_station
East Shewa;ET0407;G1074
East Wellega;ET0402;no_station
Eastern\n;ET0103;no_station
Fafan;ET0502;no_station
Gamo Gofa;ET0710;no_station
Gedio;ET0705;no_station
Mezhenger;ET1203;no_station
Gurage;ET0701;G6107
Hadiya;ET0702;no_station
Hareri;ET1301;no_station
Horo Guduru;ET0419;no_station
Ilubabor;ET0403;no_station
Jarar;ET0503;no_station
Jimma;ET0404;G6109
Nuer;ET1201;G1603
Keffa;ET0709;no_station
Kelem Wellega;ET0418;no_station
Kemashi;ET0604;no_station
Konta;ET0719;no_station
Korahe;ET0505;no_station
KT;ET0703;no_station
Liben;ET0509;G5115
Zone 5;ET0205;G1067
Metekel;ET0602;no_station
Nogob;ET0504;no_station
North Gonder;ET0301;no_station
North Shewa(R3);ET0305;no_station
North Shewa(R4);ET0406;no_station
North Western;ET0101;no_station
North Wollo;ET0303;no_station
Oromia;ET0310;no_station
Region 14;ET1401;no_station
Segen Peoples';ET0713;no_station
Selti;ET0720;no_station
Shabelle;ET0506;G1904
Sheka;ET0708;no_station
Sidama;ET0704;no_station
Siti;ET0501;no_station
South Gonder;ET0302;no_station
West Harerge;ET0409;no_station
South Omo;ET0707;G1901
South West Shewa;ET0413;no_station
South Wollo;ET0304;no_station
Southern;ET0104;no_station
Special Woreda;ET0312;no_station
Wag Himra;ET0308;no_station
West Arsi;ET0417;no_station
West Gojam;ET0307;G4953
West Shewa;ET0405;no_station
West Wellega;ET0401;G1045
Western;ET0105;no_station
Wolayita;ET0706;no_station
Yem;ET0712;G6109
Zone 1;ET0201;G1045
Zone 2;ET0202;no_station
Zone 3;ET0203;G1067
Zone 4;ET0204;no_station
