id,placeCode,amount
1,ET010101,1
2,ET010102,2
3,ET010103,2
4,ET010104,2
5,ET010105,2
6,ET010106,2
7,ET010107,1
8,ET010108,1
9,ET010109,2
10,ET010110,2
11,ET010111,2
12,ET010112,2
13,ET010113,2
14,ET010114,1
15,ET010115,2
16,ET010116,1
17,ET010201,2
18,ET010202,2
19,ET010203,2
20,ET010204,2
21,ET010205,2
22,ET010206,2
23,ET010207,2
24,ET010208,2
25,ET010209,2
26,ET010210,2
27,ET010211,1
28,ET010212,1
29,ET010213,1
30,ET010214,2
31,ET010215,2
32,ET010216,2
33,ET010217,2
34,ET010218,2
35,ET010219,2
36,ET010220,1
37,ET010221,2
38,ET010222,2
39,ET010301,2
40,ET010302,2
41,ET010303,2
42,ET010304,2
43,ET010305,2
44,ET010306,2
45,ET010307,2
46,ET010308,1
47,ET010309,1
48,ET010310,2
49,ET010311,1
50,ET010312,1
51,ET010313,1
52,ET010314,2
53,ET010315,1
54,ET010316,2
55,ET010317,2
56,ET010318,1
57,ET010401,2
58,ET010402,2
59,ET010403,2
60,ET010404,2
61,ET010405,2
62,ET010406,2
63,ET010407,2
64,ET010408,2
65,ET010409,1
66,ET010410,1
67,ET010411,1
68,ET010412,1
69,ET010413,2
70,ET010414,2
71,ET010501,2
72,ET010502,2
73,ET010503,2
74,ET010504,2
75,ET010505,2
76,ET010506,1
77,ET010507,2
78,ET010508,2
79,ET010509,2
80,ET010601,2
81,ET010602,2
82,ET010603,2
83,ET010604,2
84,ET010605,1
85,ET010606,2
86,ET010607,2
87,ET010608,2
88,ET010701,2
89,ET020101,2
90,ET020102,2
91,ET020103,2
92,ET020104,2
93,ET020105,2
94,ET020106,2
95,ET020107,1
96,ET020108,2
97,ET020109,2
98,ET020110,2
99,ET020111,1
100,ET020198,1
101,ET020201,2
102,ET020202,2
103,ET020203,2
104,ET020204,2
105,ET020205,2
106,ET020206,2
107,ET020207,2
108,ET020208,2
109,ET020209,1
110,ET020301,2
111,ET020302,2
112,ET020303,2
113,ET020304,2
114,ET020305,2
115,ET020306,2
116,ET020307,2
117,ET020396,1
118,ET020401,2
119,ET020402,2
120,ET020403,2
121,ET020404,2
122,ET020405,2
123,ET020501,2
124,ET020502,2
125,ET020503,2
126,ET020504,2
127,ET020505,2
128,ET030101,2
129,ET030102,2
130,ET030103,2
131,ET030104,2
132,ET030105,2
133,ET030106,1
134,ET030119,2
135,ET030198,1
136,ET030201,2
137,ET030202,1
138,ET030203,1
139,ET030204,1
140,ET030205,2
141,ET030206,2
142,ET030207,2
143,ET030208,1
144,ET030209,1
145,ET030210,1
146,ET030211,1
147,ET030212,2
148,ET030213,2
149,ET030214,2
150,ET030215,1
151,ET030293,1
152,ET030298,1
153,ET030299,1
154,ET030301,2
155,ET030302,2
156,ET030303,2
157,ET030304,2
158,ET030305,2
159,ET030307,2
160,ET030308,2
161,ET030309,1
162,ET030310,2
163,ET030311,4
164,ET030312,2
165,ET030313,2
166,ET030397,1
167,ET030398,1
168,ET030399,1
169,ET030401,1
170,ET030402,1
171,ET030403,1
172,ET030404,1
173,ET030405,1
174,ET030406,1
175,ET030407,1
176,ET030408,1
177,ET030409,1
178,ET030410,1
179,ET030411,1
180,ET030412,1
181,ET030413,1
182,ET030414,1
183,ET030415,1
184,ET030416,1
185,ET030417,1
186,ET030418,1
187,ET030419,1
188,ET030420,1
189,ET030421,1
190,ET030422,1
191,ET030423,1
192,ET030498,1
193,ET030499,1
194,ET030401,2
195,ET030402,2
196,ET030503,1
197,ET030504,1
198,ET030403,2
199,ET030404,4
200,ET030405,4
201,ET030406,2
202,ET030407,2
203,ET030408,4
204,ET030511,1
205,ET030409,2
206,ET030513,1
207,ET030410,2
208,ET030411,2
209,ET030516,1
210,ET030412,4
211,ET030518,1
212,ET030413,4
213,ET030520,1
214,ET030415,4
215,ET030416,4
216,ET030523,1
217,ET030595,1
218,ET030597,1
219,ET030598,1
220,ET030599,1
221,ET030419,2
222,ET030602,1
223,ET030420,2
224,ET030421,2
225,ET030605,1
226,ET030606,1
227,ET030607,1
228,ET030608,1
229,ET030609,1
230,ET030422,2
231,ET030611,1
232,ET030501,2
233,ET030502,2
234,ET030505,2
235,ET030615,1
236,ET030506,2
237,ET030617,1
238,ET030619,1
239,ET030694,1
240,ET030698,1
241,ET030699,1
242,ET030701,1
243,ET030702,1
244,ET030703,1
245,ET030704,1
246,ET030705,1
247,ET030706,1
248,ET030707,1
249,ET030708,1
250,ET030709,1
251,ET030710,1
252,ET030711,1
253,ET030712,1
254,ET030713,1
255,ET030714,1
256,ET030715,1
257,ET030717,1
258,ET030718,1
259,ET030797,1
260,ET030798,1
261,ET030799,1
262,ET030507,2
263,ET030508,2
264,ET030509,2
265,ET030510,4
266,ET030512,4
267,ET030514,4
268,ET030807,1
269,ET030515,4
270,ET030901,1
271,ET030902,1
272,ET030903,1
273,ET030904,1
274,ET030905,1
275,ET030906,1
276,ET030907,1
277,ET030908,1
278,ET030996,1
279,ET030997,1
280,ET030998,1
281,ET030999,1
282,ET030517,4
283,ET030519,4
284,ET030521,2
285,ET030522,2
286,ET030601,2
287,ET031006,1
288,ET031099,1
289,ET031106,1
