adminLevel,placeCode,indicator,value,countryCodeISO3
1,UG1,cattle,9742206,UGA
1,UG2,cattle,10285422,UGA
1,UG3,cattle,9397561,UGA
1,UG4,cattle,9438219,UGA
2,21UGA012009,cattle,264202,UGA
2,21UGA003004,cattle,150801,UGA
2,21UGA010001,cattle,260996,UGA
2,21UGA013002,cattle,216791,UGA
2,21UGA003002,cattle,331341,UGA
2,21UGA008005,cattle,166282,UGA
2,21UGA014003,cattle,288376,UGA
2,21UGA004008,cattle,433457,UGA
2,21UGA005007,cattle,568939,UGA
2,21UGA003001,cattle,197200,UGA
2,21UGA015004,cattle,225767,UGA
2,21UGA003007,cattle,537787,UGA
2,21UGA004003,cattle,461078,UGA
2,21UGA012004,cattle,60774,UGA
2,21UGA011001,cattle,475267,UGA
2,21UGA011007,cattle,488676,UGA
2,21UGA010005,cattle,261649,UGA
2,21UGA010002,cattle,148107,UGA
2,21UGA001005,cattle,196331,UGA
2,21UGA002003,cattle,283444,UGA
2,21UGA011013,cattle,1607860,UGA
2,21UGA008003,cattle,494540,UGA
2,21UGA014002,cattle,158758,UGA
2,21UGA005004,cattle,377781,UGA
2,21UGA011012,cattle,168403,UGA
2,21UGA013003,cattle,229606,UGA
2,21UGA005010,cattle,272999,UGA
2,21UGA009006,cattle,347169,UGA
2,21UGA011009,cattle,365216,UGA
2,21UGA011002,cattle,64264,UGA
2,21UGA015007,cattle,143169,UGA
2,21UGA009004,cattle,189531,UGA
2,21UGA005008,cattle,298021,UGA
2,21UGA013009,cattle,385294,UGA
2,21UGA005006,cattle,245896,UGA
2,21UGA001007,cattle,147437,UGA
2,21UGA009005,cattle,103928,UGA
2,21UGA006005,cattle,119967,UGA
2,21UGA001002,cattle,196142,UGA
2,21UGA001004,cattle,291292,UGA
2,21UGA014006,cattle,183913,UGA
2,21UGA013008,cattle,350516,UGA
2,21UGA009002,cattle,275153,UGA
2,21UGA015009,cattle,242793,UGA
2,21UGA006002,cattle,84849,UGA
2,21UGA014007,cattle,439513,UGA
2,21UGA005005,cattle,553120,UGA
2,21UGA006004,cattle,133468,UGA
2,21UGA003003,cattle,253798,UGA
2,21UGA013001,cattle,352347,UGA
2,21UGA002010,cattle,240131,UGA
2,21UGA015008,cattle,709911,UGA
2,21UGA014005,cattle,852430,UGA
2,21UGA002009,cattle,136156,UGA
2,21UGA015001,cattle,464983,UGA
2,21UGA005003,cattle,301589,UGA
2,21UGA009003,cattle,237891,UGA
2,21UGA002008,cattle,527167,UGA
2,21UGA002006,cattle,494997,UGA
2,21UGA008007,cattle,110620,UGA
2,21UGA001003,cattle,293377,UGA
2,21UGA012001,cattle,163498,UGA
2,21UGA004005,cattle,137907,UGA
2,21UGA004006,cattle,261355,UGA
2,21UGA012010,cattle,229438,UGA
2,21UGA010004,cattle,212030,UGA
2,21UGA002007,cattle,214694,UGA
2,21UGA012007,cattle,284224,UGA
2,21UGA011004,cattle,392376,UGA
2,21UGA012008,cattle,87444,UGA
2,21UGA012012,cattle,240380,UGA
2,21UGA006001,cattle,214513,UGA
2,21UGA001001,cattle,355320,UGA
2,21UGA010003,cattle,190564,UGA
2,21UGA003006,cattle,266521,UGA
2,21UGA010007,cattle,459412,UGA
2,21UGA008004,cattle,289418,UGA
2,21UGA012002,cattle,106452,UGA
2,21UGA012005,cattle,188493,UGA
2,21UGA013005,cattle,204181,UGA
2,21UGA002005,cattle,343186,UGA
2,21UGA004001,cattle,89563,UGA
2,21UGA014004,cattle,367618,UGA
2,21UGA006006,cattle,183472,UGA
2,21UGA011006,cattle,214420,UGA
2,21UGA008008,cattle,225758,UGA
2,21UGA002001,cattle,110563,UGA
2,21UGA005011,cattle,243578,UGA
2,21UGA011005,cattle,192634,UGA
2,21UGA005001,cattle,503334,UGA
2,21UGA010008,cattle,98995,UGA
2,21UGA013006,cattle,298846,UGA
2,21UGA015002,cattle,874965,UGA
2,21UGA006009,cattle,264767,UGA
2,21UGA015006,cattle,242237,UGA
2,21UGA007001,cattle,1961014,UGA
2,21UGA001008,cattle,275241,UGA
2,21UGA006007,cattle,493001,UGA
2,21UGA004004,cattle,218691,UGA
2,21UGA008001,cattle,72285,UGA
2,21UGA013007,cattle,184651,UGA
2,21UGA011010,cattle,614266,UGA
2,21UGA012006,cattle,222964,UGA
2,21UGA009001,cattle,133385,UGA
2,21UGA008002,cattle,139455,UGA
2,21UGA005009,cattle,524847,UGA
2,21UGA002002,cattle,276422,UGA
2,21UGA011011,cattle,217808,UGA
2,21UGA011008,cattle,335708,UGA
2,21UGA002004,cattle,464504,UGA
2,21UGA014008,cattle,101129,UGA
2,21UGA001006,cattle,66800,UGA
2,21UGA014001,cattle,312458,UGA
2,21UGA004007,cattle,366582,UGA
2,21UGA006008,cattle,225376,UGA
2,21UGA010009,cattle,437166,UGA
2,21UGA015003,cattle,293731,UGA
2,21UGA006003,cattle,142082,UGA
2,21UGA012003,cattle,164476,UGA
2,21UGA012011,cattle,300397,UGA
2,21UGA015005,cattle,525316,UGA
2,21UGA003005,cattle,204784,UGA
2,21UGA011003,cattle,331427,UGA
2,21UGA004002,cattle,387623,UGA
2,21UGA010006,cattle,200180,UGA
2,21UGA013004,cattle,177568,UGA
2,21UGA008006,cattle,85043,UGA
2,21UGA005002,cattle,191844,UGA
3,UG306601,cattle,355315,UGA
3,UG202701,cattle,352352,UGA
3,UG307101,cattle,42829,UGA
3,UG309901,cattle,709730,UGA
3,UG307201,cattle,61876,UGA
3,UG309701,cattle,275803,UGA
