id,adminLevel,placeCode,value
1,3,ET010101,1
2,3,ET010102,1
3,3,ET010103,1
4,3,ET010104,1
5,3,ET010105,1
6,3,ET010106,1
7,3,ET010107,0.1
8,3,ET010108,0.1
9,3,ET010109,1
10,3,ET010110,1
11,3,ET010111,1
12,3,ET010112,1
13,3,ET010113,1
14,3,ET010114,0.1
15,3,ET010115,1
16,3,ET010116,0.1
17,3,ET010201,1
18,3,ET010202,1
19,3,ET010203,1
20,3,ET010204,1
21,3,ET010205,1
22,3,ET010206,1
23,3,ET010207,1
24,3,ET010208,1
25,3,ET010209,1
26,3,ET010210,1
27,3,ET010211,0.1
28,3,ET010212,0.1
29,3,ET010213,0.1
30,3,ET010214,1
31,3,ET010215,1
32,3,ET010216,1
33,3,ET010217,1
34,3,ET010218,1
35,3,ET010219,1
36,3,ET010220,0.1
37,3,ET010221,1
38,3,ET010222,1
39,3,ET010301,1
40,3,ET010302,1
41,3,ET010303,1
42,3,ET010304,1
43,3,ET010305,1
44,3,ET010306,1
45,3,ET010307,1
46,3,ET010308,0.1
47,3,ET010309,0.1
48,3,ET010310,1
49,3,ET010311,0.1
50,3,ET010312,0.1
51,3,ET010313,0.1
52,3,ET010314,1
53,3,ET010315,0.1
54,3,ET010316,1
55,3,ET010317,1
56,3,ET010318,0.1
57,3,ET010401,1
58,3,ET010402,1
59,3,ET010403,1
60,3,ET010404,1
61,3,ET010405,1
62,3,ET010406,1
63,3,ET010407,1
64,3,ET010408,1
65,3,ET010409,0.1
66,3,ET010410,0.1
67,3,ET010411,0.1
68,3,ET010412,0.1
69,3,ET010413,1
70,3,ET010414,1
71,3,ET010501,1
72,3,ET010502,1
73,3,ET010503,1
74,3,ET010504,1
75,3,ET010505,1
76,3,ET010506,0.1
77,3,ET010507,1
78,3,ET010508,1
79,3,ET010509,1
80,3,ET010601,1
81,3,ET010602,1
82,3,ET010603,1
83,3,ET010604,1
84,3,ET010605,0.1
85,3,ET010606,1
86,3,ET010607,1
87,3,ET010608,1
88,3,ET010701,1
89,3,ET020101,1
90,3,ET020102,1
91,3,ET020103,1
92,3,ET020104,1
93,3,ET020105,2
94,3,ET020106,2
95,3,ET020107,0.1
96,3,ET020108,1
97,3,ET020109,1
98,3,ET020110,1
99,3,ET020111,0.1
100,3,ET020198,0.1
101,3,ET020201,1
102,3,ET020202,1
103,3,ET020203,1
104,3,ET020204,1
105,3,ET020205,1
106,3,ET020206,1
107,3,ET020207,1
108,3,ET020208,1
109,3,ET020209,0.1
110,3,ET020301,1
111,3,ET020302,1
112,3,ET020303,1
113,3,ET020304,1
114,3,ET020305,1
115,3,ET020306,2
116,3,ET020307,1
117,3,ET020396,0.1
118,3,ET020401,1
119,3,ET020402,1
120,3,ET020403,1
121,3,ET020404,1
122,3,ET020405,2
123,3,ET020501,1
124,3,ET020502,1
125,3,ET020503,2
126,3,ET020504,1
127,3,ET020505,1
128,3,ET030101,1
129,3,ET030102,1
130,3,ET030103,1
131,3,ET030104,2
132,3,ET030105,2
133,3,ET030106,0.1
134,3,ET030119,1
135,3,ET030198,0.1
136,3,ET030201,1
137,3,ET030202,0.1
138,3,ET030203,0.1
139,3,ET030204,0.1
140,3,ET030205,1
141,3,ET030206,2
142,3,ET030207,2
143,3,ET030208,0.1
144,3,ET030209,0.1
145,3,ET030210,0.1
146,3,ET030211,0.1
147,3,ET030212,2
148,3,ET030213,1
149,3,ET030214,1
150,3,ET030215,0.1
151,3,ET030293,0.1
152,3,ET030298,0.1
153,3,ET030299,0.1
154,3,ET030301,1
155,3,ET030302,1
156,3,ET030303,1
157,3,ET030304,2
158,3,ET030305,2
159,3,ET030307,1
160,3,ET030308,1
161,3,ET030309,0.1
162,3,ET030310,2
163,3,ET030311,3
164,3,ET030312,2
165,3,ET030313,1
166,3,ET030397,0.1
167,3,ET030398,0.1
168,3,ET030399,0.1
169,3,ET030401,0.1
170,3,ET030402,0.1
171,3,ET030403,0.1
172,3,ET030404,0.1
173,3,ET030405,0.1
174,3,ET030406,0.1
175,3,ET030407,0.1
176,3,ET030408,0.1
177,3,ET030409,0.1
178,3,ET030410,0.1
179,3,ET030411,0.1
180,3,ET030412,0.1
181,3,ET030413,0.1
182,3,ET030414,0.1
183,3,ET030415,0.1
184,3,ET030416,0.1
185,3,ET030417,0.1
186,3,ET030418,0.1
187,3,ET030419,0.1
188,3,ET030420,0.1
189,3,ET030421,0.1
190,3,ET030422,0.1
191,3,ET030423,0.1
192,3,ET030498,0.1
193,3,ET030499,0.1
194,3,ET030401,2
195,3,ET030402,2
196,3,ET030503,0.1
197,3,ET030504,0.1
198,3,ET030403,2
199,3,ET030404,3
200,3,ET030405,3
201,3,ET030406,2
202,3,ET030407,2
203,3,ET030408,3
204,3,ET030511,0.1
205,3,ET030409,2
206,3,ET030513,0.1
207,3,ET030410,2
208,3,ET030411,2
209,3,ET030516,0.1
210,3,ET030412,3
211,3,ET030518,0.1
212,3,ET030413,3
213,3,ET030520,0.1
214,3,ET030415,3
215,3,ET030416,3
216,3,ET030523,0.1
217,3,ET030595,0.1
218,3,ET030597,0.1
219,3,ET030598,0.1
220,3,ET030599,0.1
221,3,ET030419,2
222,3,ET030602,0.1
223,3,ET030420,2
224,3,ET030421,2
225,3,ET030605,0.1
226,3,ET030606,0.1
227,3,ET030607,0.1
228,3,ET030608,0.1
229,3,ET030609,0.1
230,3,ET030422,2
231,3,ET030611,0.1
232,3,ET030501,2
233,3,ET030502,2
234,3,ET030505,1
235,3,ET030615,0.1
236,3,ET030506,1
237,3,ET030617,0.1
238,3,ET030619,0.1
239,3,ET030694,0.1
240,3,ET030698,0.1
241,3,ET030699,0.1
242,3,ET030701,0.1
243,3,ET030702,0.1
244,3,ET030703,0.1
245,3,ET030704,0.1
246,3,ET030705,0.1
247,3,ET030706,0.1
248,3,ET030707,0.1
249,3,ET030708,0.1
250,3,ET030709,0.1
251,3,ET030710,0.1
252,3,ET030711,0.1
253,3,ET030712,0.1
254,3,ET030713,0.1
255,3,ET030714,0.1
256,3,ET030715,0.1
257,3,ET030717,0.1
258,3,ET030718,0.1
259,3,ET030797,0.1
260,3,ET030798,0.1
261,3,ET030799,0.1
262,3,ET030507,2
263,3,ET030508,1
264,3,ET030509,2
265,3,ET030510,3
266,3,ET030512,3
267,3,ET030514,3
268,3,ET030807,0.1
269,3,ET030515,3
270,3,ET030901,0.1
271,3,ET030902,0.1
272,3,ET030903,0.1
273,3,ET030904,0.1
274,3,ET030905,0.1
275,3,ET030906,0.1
276,3,ET030907,0.1
277,3,ET030908,0.1
278,3,ET030996,0.1
279,3,ET030997,0.1
280,3,ET030998,0.1
281,3,ET030999,0.1
282,3,ET030517,3
283,3,ET030519,3
284,3,ET030521,1
285,3,ET030522,2
286,3,ET030601,2
287,3,ET031006,0.1
288,3,ET031099,0.1
289,3,ET031106,0.1
290,3,ET031107,0.1
291,3,ET030603,3
292,3,ET030604,1
293,3,ET030610,2
294,3,ET031111,0.1
295,3,ET031112,0.1
296,3,ET031115,0.1
297,3,ET030612,2
298,3,ET030613,2
299,3,ET031118,0.1
300,3,ET031120,0.1
301,3,ET031121,0.1
302,3,ET030614,3
303,3,ET031125,0.1
304,3,ET031199,0.1
305,3,ET031206,0.1
306,3,ET031213,0.1
307,3,ET031214,0.1
308,3,ET031223,0.1
309,3,ET031224,0.1
310,3,ET031292,0.1
311,3,ET040101,2
312,3,ET040102,2
313,3,ET040103,2
314,3,ET040104,2
315,3,ET040105,2
316,3,ET040106,2
317,3,ET040107,0.1
318,3,ET040108,0.1
319,3,ET040109,0.1
320,3,ET040110,0.1
321,3,ET040111,0.1
322,3,ET040112,0.1
323,3,ET040113,0.1
324,3,ET040114,0.1
325,3,ET040115,0.1
326,3,ET040116,0.1
327,3,ET040117,0.1
328,3,ET040118,0.1
329,3,ET040119,0.1
330,3,ET040193,0.1
331,3,ET040197,2
332,3,ET040198,0.1
333,3,ET040199,0.1
334,3,ET040201,0.1
335,3,ET040202,0.1
336,3,ET040203,3
337,3,ET040204,3
338,3,ET040205,0.1
339,3,ET040206,0.1
340,3,ET040207,0.1
341,3,ET040208,0.1
342,3,ET040209,0.1
343,3,ET040210,3
344,3,ET040211,2
