id,placeCode,amount
1,ET010101,1
2,ET010102,1
3,ET010103,1
4,ET010104,1
5,ET010105,1
6,ET010106,1
7,ET010107,0
8,ET010108,0
9,ET010109,1
10,ET010110,1
11,ET010111,1
12,ET010112,1
13,ET010113,1
14,ET010114,0
15,ET010115,1
16,ET010116,0
17,ET010201,1
18,ET010202,1
19,ET010203,1
20,ET010204,1
21,ET010205,1
22,ET010206,1
23,ET010207,1
24,ET010208,1
25,ET010209,1
26,ET010210,1
27,ET010211,0
28,ET010212,0
29,ET010213,0
30,ET010214,1
31,ET010215,1
32,ET010216,1
33,ET010217,1
34,ET010218,1
35,ET010219,1
36,ET010220,0
37,ET010221,1
38,ET010222,1
39,ET010301,1
40,ET010302,1
41,ET010303,1
42,ET010304,1
43,ET010305,1
44,ET010306,1
45,ET010307,1
46,ET010308,0
47,ET010309,0
48,ET010310,1
49,ET010311,0
50,ET010312,0
51,ET010313,0
52,ET010314,1
53,ET010315,0
54,ET010316,1
55,ET010317,1
56,ET010318,0
57,ET010401,1
58,ET010402,1
59,ET010403,1
60,ET010404,1
61,ET010405,1
62,ET010406,1
63,ET010407,1
64,ET010408,1
65,ET010409,0
66,ET010410,0
67,ET010411,0
68,ET010412,0
69,ET010413,1
70,ET010414,1
71,ET010501,1
72,ET010502,1
73,ET010503,1
74,ET010504,1
75,ET010505,1
76,ET010506,0
77,ET010507,1
78,ET010508,1
79,ET010509,1
80,ET010601,1
81,ET010602,1
82,ET010603,1
83,ET010604,1
84,ET010605,0
85,ET010606,1
86,ET010607,1
87,ET010608,1
88,ET010701,1
89,ET020101,1
90,ET020102,1
91,ET020103,1
92,ET020104,1
93,ET020105,2
94,ET020106,1
95,ET020107,0
96,ET020108,1
97,ET020109,1
98,ET020110,1
99,ET020111,0
100,ET020198,0
101,ET020201,1
102,ET020202,1
103,ET020203,2
104,ET020204,1
105,ET020205,1
106,ET020206,1
107,ET020207,1
108,ET020208,1
109,ET020209,0
110,ET020301,1
111,ET020302,1
112,ET020303,1
113,ET020304,2
114,ET020305,2
115,ET020306,1
116,ET020307,1
117,ET020396,0
118,ET020401,1
119,ET020402,2
120,ET020403,1
121,ET020404,1
122,ET020405,2
123,ET020501,1
124,ET020502,1
125,ET020503,2
126,ET020504,1
127,ET020505,2
128,ET030101,2
129,ET030102,1
130,ET030103,1
131,ET030104,2
132,ET030105,2
133,ET030106,0
134,ET030119,1
135,ET030198,0
136,ET030201,3
137,ET030202,0
138,ET030203,0
139,ET030204,0
140,ET030205,3
141,ET030206,2
142,ET030207,2
143,ET030208,0
144,ET030209,0
145,ET030210,0
146,ET030211,0
147,ET030212,2
148,ET030213,1
149,ET030214,1
150,ET030215,0
151,ET030293,0
152,ET030298,0
153,ET030299,0
154,ET030301,1
155,ET030302,2
156,ET030303,2
157,ET030304,3
158,ET030305,2
159,ET030307,2
160,ET030308,2
161,ET030309,0
162,ET030310,2
163,ET030311,2
164,ET030312,2
165,ET030313,2
166,ET030397,0
167,ET030398,0
168,ET030399,0
169,ET030401,0
170,ET030402,0
171,ET030403,0
172,ET030404,0
173,ET030405,0
174,ET030406,0
175,ET030407,0
176,ET030408,0
177,ET030409,0
178,ET030410,0
179,ET030411,0
180,ET030412,0
181,ET030413,0
182,ET030414,0
183,ET030415,0
184,ET030416,0
185,ET030417,0
186,ET030418,0
187,ET030419,0
188,ET030420,0
189,ET030421,0
190,ET030422,0
191,ET030423,0
192,ET030498,0
193,ET030499,0
194,ET030401,3
195,ET030402,3
196,ET030503,0
197,ET030504,0
198,ET030403,3
199,ET030404,3
200,ET030405,3
201,ET030406,2
202,ET030407,3
203,ET030408,3
204,ET030511,0
205,ET030409,3
206,ET030513,0
207,ET030410,2
208,ET030411,3
209,ET030516,0
210,ET030412,3
211,ET030518,0
212,ET030413,3
213,ET030520,0
214,ET030415,3
215,ET030416,3
216,ET030523,0
217,ET030595,0
218,ET030597,0
219,ET030598,0
220,ET030599,0
221,ET030419,3
222,ET030602,0
223,ET030420,2
224,ET030421,3
225,ET030605,0
226,ET030606,0
227,ET030607,0
228,ET030608,0
229,ET030609,0
230,ET030422,2
231,ET030611,0
232,ET030501,2
233,ET030502,2
234,ET030505,2
235,ET030615,0
236,ET030506,1
237,ET030617,0
238,ET030619,0
239,ET030694,0
240,ET030698,0
241,ET030699,0
242,ET030701,0
243,ET030702,0
244,ET030703,0
245,ET030704,0
246,ET030705,0
247,ET030706,0
248,ET030707,0
249,ET030708,0
250,ET030709,0
251,ET030710,0
252,ET030711,0
253,ET030712,0
254,ET030713,0
255,ET030714,0
256,ET030715,0
257,ET030717,0
258,ET030718,0
259,ET030797,0
260,ET030798,0
261,ET030799,0
262,ET030507,2
263,ET030508,2
264,ET030509,2
265,ET030510,3
266,ET030512,3
267,ET030514,1
268,ET030807,0
269,ET030515,2
270,ET030901,0
271,ET030902,0
272,ET030903,0
273,ET030904,0
274,ET030905,0
275,ET030906,0
276,ET030907,0
277,ET030908,0
278,ET030996,0
279,ET030997,0
280,ET030998,0
281,ET030999,0
282,ET030517,1
283,ET030519,3
284,ET030521,2
285,ET030522,2
286,ET030601,2
287,ET031006,0
288,ET031099,0
289,ET031106,0
290,ET031107,0
291,ET030603,2
292,ET030604,2
293,ET030610,2
294,ET031111,0
295,ET031112,0
296,ET031115,0
297,ET030612,2
298,ET030613,2
299,ET031118,0
300,ET031120,0
301,ET031121,0
302,ET030614,2
303,ET031125,0
304,ET031199,0
305,ET031206,0
306,ET031213,0
307,ET031214,0
308,ET031223,0
309,ET031224,0
310,ET031292,0
311,ET040101,3
312,ET040102,3
313,ET040103,3
314,ET040104,3
315,ET040105,3
316,ET040106,3
317,ET040107,0
318,ET040108,0
319,ET040109,0
320,ET040110,0
321,ET040111,0
322,ET040112,0
323,ET040113,0
324,ET040114,0
325,ET040115,0
326,ET040116,0
327,ET040117,0
328,ET040118,0
329,ET040119,0
330,ET040193,0
331,ET040197,3
332,ET040198,0
333,ET040199,0
334,ET040201,0
335,ET040202,0
336,ET040203,3
337,ET040204,3
338,ET040205,0
339,ET040206,0
340,ET040207,0
341,ET040208,0
342,ET040209,0
343,ET040210,3
344,ET040211,3
345,ET040212,0
346,ET040213,3
347,ET040214,0
348,ET040215,0
349,ET040216,0
350,ET040217,0
351,ET040297,0
352,ET040301,0
353,ET040302,0
354,ET040309,0
355,ET040310,0
356,ET040311,0
357,ET040312,0
358,ET040313,0
359,ET040314,0
360,ET040315,0
361,ET040316,0
362,ET040317,0
363,ET040319,0
364,ET040320,0
365,ET040324,0
366,ET040401,0
367,ET040402,0
368,ET040403,0
369,ET040404,0
370,ET040405,0
371,ET040406,0
372,ET040407,0
373,ET040408,0
374,ET040409,0
375,ET040410,0
376,ET040411,0
377,ET040412,0
378,ET040413,0
379,ET040414,0
380,ET040415,0
381,ET040416,0
382,ET040417,0
383,ET040418,0
384,ET040490,0
385,ET040491,0
386,ET040495,0
387,ET040499,0
388,ET040500,0
389,ET040501,0
390,ET040502,0
391,ET040503,0
392,ET040504,0
393,ET040505,0
394,ET040506,0
395,ET040507,0
396,ET040508,0
397,ET040509,0
398,ET040510,0
399,ET040511,0
400,ET040513,0
401,ET040514,0
402,ET040515,0
403,ET040516,0
404,ET040517,0
405,ET040518,0
406,ET040519,0
407,ET040590,0
408,ET040592,0
409,ET040594,0
410,ET040597,0
411,ET040601,3
412,ET040602,3
413,ET040603,3
414,ET040604,3
415,ET040605,3
416,ET040606,3
417,ET040607,3
418,ET040608,3
419,ET040609,3
420,ET040610,3
421,ET040613,0
422,ET040614,3
423,ET040615,3
424,ET040617,3
425,ET040701,3
426,ET040702,3
427,ET040703,3
428,ET040704,0
429,ET040705,0
430,ET040706,0
431,ET040707,3
432,ET040708,3
433,ET040709,0
434,ET040710,0
435,ET040711,0
436,ET040714,0
437,ET040797,0
438,ET040799,0
439,ET040801,2
440,ET040802,1
441,ET040803,1
442,ET040804,0
443,ET040805,0
444,ET040806,2
445,ET040807,0
446,ET040808,0
447,ET040809,0
448,ET040810,1
449,ET040811,1
450,ET040812,2
451,ET040813,0
452,ET040814,3
453,ET040815,0
454,ET040816,0
455,ET040817,0
456,ET040818,0
457,ET040819,0
458,ET040820,0
459,ET040821,0
460,ET040822,0
461,ET040823,0
462,ET040824,0
463,ET040825,0
464,ET040893,1
465,ET040894,0
466,ET040901,1
467,ET040902,1
468,ET040903,2
469,ET040904,2
470,ET040905,0
471,ET040906,2
472,ET040907,2
473,ET040908,3
474,ET040909,2
475,ET040910,1
476,ET040911,3
477,ET040912,2
478,ET040913,2
479,ET040914,0
480,ET040915,1
481,ET040991,1
482,ET040998,1
483,ET041000,0
484,ET041001,1
485,ET041002,1
486,ET041003,1
487,ET041004,2
488,ET041005,1
489,ET041006,2
490,ET041007,2
491,ET041008,1
492,ET041009,2
493,ET041010,2
494,ET041011,1
495,ET041012,3
496,ET041013,1
497,ET041014,1
498,ET041015,2
499,ET041016,2
500,ET041017,2
501,ET041018,3
502,ET041019,0
503,ET041089,2
504,ET041097,0
505,ET041098,1
506,ET041099,0
507,ET041104,3
508,ET041106,3
509,ET041109,0
510,ET041110,0
511,ET041111,1
512,ET041112,1
513,ET041113,1
514,ET041114,1
515,ET041115,1
516,ET041116,2
517,ET041119,0
518,ET041120,0
519,ET041122,0
520,ET041199,1
521,ET041207,1
522,ET041208,1
523,ET041210,2
524,ET041211,1
525,ET041212,2
526,ET041216,1
527,ET041219,1
528,ET041220,1
529,ET041223,1
530,ET041290,1
531,ET041291,1
532,ET041295,1
533,ET041296,0
534,ET041298,1
535,ET041301,0
536,ET041302,0
537,ET041303,0
538,ET041304,0
539,ET041305,0
540,ET041307,0
541,ET041308,0
542,ET041309,0
543,ET041310,0
544,ET041311,0
545,ET041312,0
546,ET041314,0
547,ET041401,0
548,ET041402,0
549,ET041403,0
550,ET041404,1
551,ET041405,0
552,ET041407,1
553,ET041408,0
554,ET041410,0
555,ET041411,0
556,ET041412,1
557,ET041413,1
558,ET041414,0
559,ET041482,1
560,ET041490,0
561,ET041492,0
562,ET041497,1
563,ET041499,0
564,ET041501,1
565,ET041502,2
566,ET041509,1
567,ET041513,1
568,ET041515,1
569,ET041517,3
570,ET041518,1
571,ET041587,0
572,ET041594,1
573,ET041596,1
574,ET041603,0
575,ET041604,0
576,ET041605,0
577,ET041606,0
578,ET041607,0
579,ET041608,0
580,ET041618,0
581,ET041621,0
582,ET041622,0
583,ET041623,0
584,ET041700,0
585,ET041701,1
586,ET041702,1
587,ET041703,3
588,ET041704,2
589,ET041705,0
590,ET041706,2
591,ET041707,2
592,ET041708,0
593,ET041709,2
594,ET041710,3
595,ET041711,0
596,ET041712,1
597,ET041783,2
598,ET041797,3
599,ET041798,0
600,ET041799,0
601,ET041801,0
602,ET041802,0
603,ET041803,0
604,ET041804,0
605,ET041805,0
606,ET041806,0
607,ET041807,3
608,ET041808,0
609,ET041809,0
610,ET041810,0
611,ET041811,0
612,ET041812,0
613,ET041901,0
614,ET041902,0
615,ET041903,0
616,ET041904,0
617,ET041905,0
618,ET041906,0
619,ET041907,0
620,ET041908,0
621,ET041909,0
622,ET041910,0
623,ET041911,0
624,ET041912,0
625,ET042001,0
626,ET042004,0
627,ET042005,0
628,ET042006,0
629,ET042008,0
630,ET042009,0
631,ET042011,0
632,ET042012,0
633,ET042013,0
634,ET042014,0
635,ET042016,0
636,ET042018,0
637,ET042020,0
638,ET042098,0
639,ET042101,1
640,ET042102,1
641,ET042103,1
642,ET042104,2
643,ET042105,1
644,ET042106,1
645,ET042107,0
646,ET050101,2
647,ET050102,2
648,ET050103,2
649,ET050104,2
650,ET050105,1
651,ET050106,2
652,ET050107,2
653,ET050198,1
654,ET050199,1
655,ET050202,2
656,ET050203,2
657,ET050204,2
658,ET050205,2
659,ET050206,1
660,ET050207,1
661,ET050283,1
662,ET050290,1
663,ET050293,0
664,ET050295,0
665,ET050296,0
666,ET050297,1
667,ET050298,1
668,ET050299,1
669,ET050301,1
670,ET050302,0
671,ET050303,0
672,ET050304,0
673,ET050305,1
674,ET050306,0
675,ET050307,0
676,ET050382,0
677,ET050392,1
678,ET050394,0
679,ET050395,0
680,ET050399,0
681,ET050402,1
682,ET050404,1
683,ET050407,1
684,ET050408,1
685,ET050497,2
686,ET050498,1
687,ET050499,1
688,ET050501,1
689,ET050502,1
690,ET050503,1
691,ET050504,1
692,ET050586,1
693,ET050592,0
694,ET050595,1
695,ET050596,1
696,ET050597,1
697,ET050598,1
698,ET050599,1
699,ET050601,1
700,ET050602,1
701,ET050603,1
702,ET050604,1
703,ET050605,1
704,ET050606,1
705,ET050607,1
706,ET050608,1
707,ET050696,0
708,ET050698,1
709,ET050699,1
710,ET050701,1
711,ET050702,1
712,ET050703,2
713,ET050704,1
714,ET050788,1
715,ET050798,1
716,ET050799,1
717,ET050802,1
718,ET050804,2
719,ET050805,1
720,ET050806,1
721,ET050807,1
722,ET050808,1
723,ET050809,1
724,ET050898,1
725,ET050899,1
726,ET050901,1
727,ET050902,1
728,ET050903,1
729,ET050904,1
730,ET050905,2
731,ET050991,2
732,ET050999,1
733,ET051001,2
734,ET051002,2
735,ET051003,2
736,ET051005,1
737,ET051006,1
738,ET051095,2
739,ET051096,1
740,ET051103,1
741,ET051104,1
742,ET051187,1
743,ET051198,1
744,ET060201,2
745,ET060202,1
746,ET060203,1
747,ET060204,1
748,ET060205,1
749,ET060206,0
750,ET060207,1
751,ET060301,0
752,ET060302,0
753,ET060303,0
754,ET060304,0
755,ET060305,0
756,ET060306,0
757,ET060307,0
758,ET060308,0
759,ET060401,0
760,ET060402,0
761,ET060403,0
762,ET060404,0
763,ET060405,0
764,ET060508,0
765,ET070101,3
766,ET070102,3
767,ET070103,3
768,ET070104,3
769,ET070105,3
770,ET070106,2
771,ET070107,1
772,ET070108,3
773,ET070109,3
774,ET070110,3
775,ET070111,3
776,ET070112,3
777,ET070113,3
778,ET070114,0
779,ET070115,0
780,ET070116,0
781,ET070117,0
782,ET070118,1
783,ET070119,2
784,ET070120,2
785,ET070201,3
786,ET070202,3
787,ET070203,3
788,ET070204,2
789,ET070205,2
790,ET070206,3
791,ET070207,3
792,ET070208,3
793,ET070209,2
794,ET070210,3
795,ET070211,0
796,ET070212,0
797,ET070213,0
798,ET070214,0
799,ET070215,3
800,ET070216,3
801,ET070217,2
802,ET070301,3
803,ET070302,3
804,ET070303,3
805,ET070304,3
806,ET070305,3
807,ET070306,3
808,ET070307,3
809,ET070308,0
810,ET070309,2
811,ET070310,0
812,ET070312,0
813,ET070501,1
814,ET070502,1
815,ET070503,1
816,ET070504,3
817,ET070505,1
818,ET070506,3
819,ET070507,0
820,ET070508,0
821,ET070509,3
822,ET070510,2
823,ET070511,0
824,ET070512,0
825,ET070601,3
826,ET070602,3
827,ET070603,3
828,ET070604,2
829,ET070605,3
830,ET070606,3
831,ET070607,3
832,ET070608,3
833,ET070609,3
834,ET070610,3
835,ET070611,3
836,ET070612,1
837,ET070613,0
838,ET070614,0
839,ET070615,0
840,ET070616,0
841,ET070617,0
842,ET070618,0
843,ET070619,2
844,ET070620,2
845,ET070621,1
846,ET070622,3
847,ET070701,3
848,ET070702,1
849,ET070703,2
850,ET070704,1
851,ET070705,1
852,ET070706,1
853,ET070707,1
854,ET070708,1
855,ET070709,0
856,ET070710,3
857,ET070711,3
858,ET070801,0
859,ET070802,0
860,ET070803,0
861,ET070804,0
862,ET070805,0
863,ET070901,0
864,ET070902,0
865,ET070903,0
866,ET070904,0
867,ET070905,0
868,ET070906,0
869,ET070907,0
870,ET070908,0
871,ET070909,0
872,ET070910,0
873,ET070911,0
874,ET070912,0
875,ET070913,0
876,ET070914,0
877,ET071003,0
878,ET071004,3
879,ET071005,3
880,ET071006,3
881,ET071007,3
882,ET071008,2
883,ET071009,3
884,ET071010,3
885,ET071011,2
886,ET071012,0
887,ET071013,1
888,ET071014,3
889,ET071015,3
890,ET071016,2
891,ET071017,3
892,ET071018,1
893,ET071019,3
894,ET071021,0
895,ET071101,3
896,ET071102,3
897,ET071103,2
898,ET071104,3
899,ET071105,3
900,ET071106,3
901,ET071107,0
902,ET071108,0
903,ET071205,1
904,ET071301,0
905,ET071302,1
906,ET071303,1
907,ET071304,1
908,ET071401,0
909,ET071402,2
910,ET071403,2
911,ET071404,2
912,ET071501,3
913,ET071502,1
914,ET071503,1
915,ET071504,1
916,ET071505,1
917,ET071506,3
918,ET071507,0
919,ET071508,0
920,ET071509,3
921,ET071601,0
922,ET071701,1
923,ET071702,1
924,ET071703,1
925,ET071704,1
926,ET071705,1
927,ET071706,1
928,ET071707,2
929,ET071708,2
930,ET071709,1
931,ET071710,2
932,ET071711,0
933,ET071801,0
934,ET071802,0
