id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,2,ETH,malaria_risk,3
2,ET010102,2,ETH,malaria_risk,3
3,ET010103,2,ETH,malaria_risk,3
4,ET010104,2,ETH,malaria_risk,3
5,ET010105,2,ETH,malaria_risk,3
6,ET010106,2,ETH,malaria_risk,3
7,ET010107,2,ETH,malaria_risk,3
8,ET010108,2,ETH,malaria_risk,3
9,ET010109,2,ETH,malaria_risk,3
10,ET010110,2,ETH,malaria_risk,3
11,ET010111,2,ETH,malaria_risk,3
12,ET010112,2,ETH,malaria_risk,3
13,ET010113,2,ETH,malaria_risk,3
14,ET010114,2,ETH,malaria_risk,3
15,ET010115,2,ETH,malaria_risk,3
16,ET010116,2,ETH,malaria_risk,3
17,ET010201,2,ETH,malaria_risk,3
18,ET010202,1,ETH,malaria_risk,3
19,ET010203,2,ETH,malaria_risk,3
20,ET010204,1,ETH,malaria_risk,3
21,ET010205,1,ETH,malaria_risk,3
22,ET010206,2,ETH,malaria_risk,3
23,ET010207,2,ETH,malaria_risk,3
24,ET010208,2,ETH,malaria_risk,3
25,ET010209,2,ETH,malaria_risk,3
26,ET010210,2,ETH,malaria_risk,3
27,ET010211,2,ETH,malaria_risk,3
28,ET010212,1,ETH,malaria_risk,3
29,ET010213,1,ETH,malaria_risk,3
30,ET010214,1,ETH,malaria_risk,3
31,ET010215,1,ETH,malaria_risk,3
32,ET010216,1,ETH,malaria_risk,3
33,ET010217,1,ETH,malaria_risk,3
34,ET010218,2,ETH,malaria_risk,3
35,ET010219,1,ETH,malaria_risk,3
36,ET010220,1,ETH,malaria_risk,3
37,ET010221,2,ETH,malaria_risk,3
38,ET010222,2,ETH,malaria_risk,3
39,ET010301,1,ETH,malaria_risk,3
40,ET010302,1,ETH,malaria_risk,3
41,ET010303,1,ETH,malaria_risk,3
42,ET010304,1,ETH,malaria_risk,3
43,ET010305,1,ETH,malaria_risk,3
44,ET010306,1,ETH,malaria_risk,3
45,ET010307,1,ETH,malaria_risk,3
46,ET010308,1,ETH,malaria_risk,3
47,ET010309,1,ETH,malaria_risk,3
48,ET010310,1,ETH,malaria_risk,3
49,ET010311,1,ETH,malaria_risk,3
50,ET010312,1,ETH,malaria_risk,3
51,ET010313,1,ETH,malaria_risk,3
52,ET010314,1,ETH,malaria_risk,3
53,ET010315,1,ETH,malaria_risk,3
54,ET010316,1,ETH,malaria_risk,3
55,ET010317,1,ETH,malaria_risk,3
56,ET010318,1,ETH,malaria_risk,3
57,ET010401,2,ETH,malaria_risk,3
58,ET010402,2,ETH,malaria_risk,3
59,ET010403,2,ETH,malaria_risk,3
60,ET010404,2,ETH,malaria_risk,3
61,ET010405,2,ETH,malaria_risk,3
62,ET010406,2,ETH,malaria_risk,3
63,ET010407,2,ETH,malaria_risk,3
64,ET010408,2,ETH,malaria_risk,3
65,ET010409,2,ETH,malaria_risk,3
66,ET010410,2,ETH,malaria_risk,3
67,ET010411,2,ETH,malaria_risk,3
68,ET010412,2,ETH,malaria_risk,3
69,ET010413,2,ETH,malaria_risk,3
70,ET010414,2,ETH,malaria_risk,3
71,ET010501,2,ETH,malaria_risk,3
72,ET010502,2,ETH,malaria_risk,3
73,ET010503,2,ETH,malaria_risk,3
74,ET010504,1,ETH,malaria_risk,3
75,ET010505,2,ETH,malaria_risk,3
76,ET010506,2,ETH,malaria_risk,3
77,ET010507,2,ETH,malaria_risk,3
78,ET010508,2,ETH,malaria_risk,3
79,ET010509,2,ETH,malaria_risk,3
80,ET010601,2,ETH,malaria_risk,3
81,ET010602,2,ETH,malaria_risk,3
82,ET010603,2,ETH,malaria_risk,3
83,ET010604,2,ETH,malaria_risk,3
84,ET010605,1,ETH,malaria_risk,3
85,ET010606,2,ETH,malaria_risk,3
86,ET010607,2,ETH,malaria_risk,3
87,ET010608,2,ETH,malaria_risk,3
88,ET010701,1,ETH,malaria_risk,3
89,ET020101,2,ETH,malaria_risk,3
90,ET020102,1,ETH,malaria_risk,3
91,ET020103,1,ETH,malaria_risk,3
92,ET020104,1,ETH,malaria_risk,3
93,ET020105,2,ETH,malaria_risk,3
94,ET020106,2,ETH,malaria_risk,3
95,ET020107,1,ETH,malaria_risk,3
96,ET020108,2,ETH,malaria_risk,3
97,ET020109,2,ETH,malaria_risk,3
98,ET020110,2,ETH,malaria_risk,3
99,ET020111,2,ETH,malaria_risk,3
100,ET020198,1,ETH,malaria_risk,3
101,ET020201,1,ETH,malaria_risk,3
102,ET020202,2,ETH,malaria_risk,3
103,ET020203,2,ETH,malaria_risk,3
104,ET020204,2,ETH,malaria_risk,3
105,ET020205,1,ETH,malaria_risk,3
106,ET020206,1,ETH,malaria_risk,3
107,ET020207,1,ETH,malaria_risk,3
108,ET020208,1,ETH,malaria_risk,3
109,ET020209,2,ETH,malaria_risk,3
110,ET020301,2,ETH,malaria_risk,3
