countryCodeISO3,adminLevel,placeCode,indicator,value
AGO,1,AO01,populationTotal,492164
AGO,1,AO02,populationTotal,3079329
AGO,1,AO03,populationTotal,2008259
AGO,1,AO04,populationTotal,988191
AGO,1,AO05,populationTotal,736924
AGO,1,AO06,populationTotal,611875
AGO,1,AO07,populationTotal,2596996
AGO,1,AO08,populationTotal,1366322
AGO,1,AO09,populationTotal,3446453
AGO,1,AO10,populationTotal,2786994
AGO,1,AO11,populationTotal,9584674
AGO,1,AO12,populationTotal,1190339
AGO,1,AO13,populationTotal,741877
AGO,1,AO14,populationTotal,1361189
AGO,1,AO15,populationTotal,1046830
AGO,1,AO16,populationTotal,683556
AGO,1,AO17,populationTotal,2046706
AGO,1,AO18,populationTotal,820311
AGO,2,AO01001,populationTotal,31338
AGO,2,AO01002,populationTotal,307092
AGO,2,AO01005,populationTotal,84022
AGO,2,AO01040,populationTotal,18566
AGO,2,AO01043,populationTotal,41482
AGO,2,AO01047,populationTotal,9664
AGO,2,AO02006,populationTotal,148818
AGO,2,AO02007,populationTotal,150375
AGO,2,AO02008,populationTotal,775258
AGO,2,AO02009,populationTotal,227273
AGO,2,AO02010,populationTotal,125352
AGO,2,AO02011,populationTotal,120441
AGO,2,AO02012,populationTotal,421776
AGO,2,AO02013,populationTotal,324969
AGO,2,AO02014,populationTotal,542450
AGO,2,AO02164,populationTotal,242617
AGO,2,AO03015,populationTotal,356266
AGO,2,AO03016,populationTotal,213803
AGO,2,AO03017,populationTotal,174747
AGO,2,AO03018,populationTotal,178529
AGO,2,AO03019,populationTotal,107859
AGO,2,AO03020,populationTotal,78605
AGO,2,AO03021,populationTotal,101882
AGO,2,AO03022,populationTotal,622218
AGO,2,AO03023,populationTotal,174350
AGO,2,AO04024,populationTotal,26997
AGO,2,AO04025,populationTotal,45253
AGO,2,AO04026,populationTotal,862017
AGO,2,AO04027,populationTotal,53924
AGO,2,AO05028,populationTotal,31259
AGO,2,AO05029,populationTotal,39276
AGO,2,AO05030,populationTotal,59300
AGO,2,AO05031,populationTotal,56345
AGO,2,AO05032,populationTotal,20873
AGO,2,AO05033,populationTotal,37531
AGO,2,AO05034,populationTotal,442862
