countryCodeISO3,adminLevel,placeCode,indicator,value
BWA,1,BW01,populationTotal,297698
BWA,1,BW02,populationTotal,121313
BWA,1,BW03,populationTotal,28599
BWA,1,BW04,populationTotal,49469
BWA,1,BW05,populationTotal,10086
BWA,1,BW06,populationTotal,21959
BWA,1,BW07,populationTotal,4647
BWA,1,BW08,populationTotal,242387
BWA,1,BW09,populationTotal,128844
BWA,1,BW10,populationTotal,442132
BWA,1,BW11,populationTotal,121287
BWA,1,BW12,populationTotal,719300
BWA,1,BW13,populationTotal,82898
BWA,1,BW14,populationTotal,198111
BWA,1,BW15,populationTotal,34185
BWA,1,BW16,populationTotal,61813
BWA,1,BW17,populationTotal,65565
BWA,2,BW0101,populationTotal,297698
BWA,2,BW0201,populationTotal,121313
BWA,2,BW0301,populationTotal,28599
BWA,2,BW0401,populationTotal,49469
BWA,2,BW0501,populationTotal,10086
BWA,2,BW0601,populationTotal,21959
BWA,2,BW0701,populationTotal,4647
BWA,2,BW0801,populationTotal,153051
BWA,2,BW0802,populationTotal,70178
BWA,2,BW0803,populationTotal,19158
BWA,2,BW0901,populationTotal,128844
BWA,2,BW1001,populationTotal,381147
BWA,2,BW1002,populationTotal,60985
BWA,2,BW1101,populationTotal,121287
BWA,2,BW1201,populationTotal,231553
BWA,2,BW1202,populationTotal,133485
BWA,2,BW1203,populationTotal,81119
BWA,2,BW1204,populationTotal,73581
BWA,2,BW1205,populationTotal,199562
BWA,2,BW1301,populationTotal,82898
BWA,2,BW1401,populationTotal,118686
BWA,2,BW1402,populationTotal,77029
BWA,2,BW1403,populationTotal,2396
BWA,2,BW1501,populationTotal,34185
BWA,2,BW1601,populationTotal,61721
BWA,2,BW1602,populationTotal,92
BWA,2,BW1701,populationTotal,37883
BWA,2,BW1702,populationTotal,27682
BWA,3,BW010101,populationTotal,110293
BWA,3,BW020101,populationTotal,90575
BWA,3,BW030101,populationTotal,56221
BWA,3,BW040101,populationTotal,41212
