countryCodeISO3,adminLevel,placeCode,indicator,value
CPV,1,CV01,populationTotal,22948
CPV,1,CV02,populationTotal,5507
CPV,1,CV03,populationTotal,8357
CPV,1,CV04,populationTotal,9584
CPV,1,CV05,populationTotal,5361
CPV,1,CV06,populationTotal,17284
CPV,1,CV07,populationTotal,184818
CPV,1,CV08,populationTotal,6998
CPV,1,CV09,populationTotal,15522
CPV,1,CV10,populationTotal,8996
CPV,1,CV11,populationTotal,45698
CPV,1,CV12,populationTotal,50019
CPV,1,CV13,populationTotal,5383
CPV,1,CV14,populationTotal,26798
CPV,1,CV15,populationTotal,14853
CPV,1,CV16,populationTotal,20905
CPV,1,CV17,populationTotal,7134
CPV,1,CV18,populationTotal,14007
CPV,1,CV19,populationTotal,8922
CPV,1,CV20,populationTotal,89929
CPV,1,CV21,populationTotal,18745
CPV,1,CV22,populationTotal,5382
CPV,2,CV0101,populationTotal,19787
CPV,2,CV0102,populationTotal,3161
CPV,2,CV0201,populationTotal,2277
CPV,2,CV0202,populationTotal,3230
CPV,2,CV0301,populationTotal,8357
CPV,2,CV0401,populationTotal,9584
CPV,2,CV0501,populationTotal,5361
CPV,2,CV0601,populationTotal,4444
CPV,2,CV0602,populationTotal,12840
CPV,2,CV0701,populationTotal,184818
CPV,2,CV0801,populationTotal,1311
CPV,2,CV0802,populationTotal,5687
CPV,2,CV0901,populationTotal,1370
CPV,2,CV0902,populationTotal,4499
CPV,2,CV0903,populationTotal,6328
CPV,2,CV0904,populationTotal,3325
CPV,2,CV1001,populationTotal,6131
CPV,2,CV1003,populationTotal,2865
CPV,2,CV1101,populationTotal,45698
CPV,2,CV1201,populationTotal,50019
CPV,2,CV1301,populationTotal,5383
CPV,2,CV1401,populationTotal,26798
CPV,2,CV1501,populationTotal,5865
CPV,2,CV1502,populationTotal,8988
CPV,2,CV1601,populationTotal,10425
CPV,2,CV1602,populationTotal,10480
CPV,2,CV1701,populationTotal,7134
CPV,2,CV1801,populationTotal,14007
CPV,2,CV1901,populationTotal,8922
CPV,2,CV2001,populationTotal,89929
CPV,2,CV2101,populationTotal,18745
CPV,2,CV2201,populationTotal,5382
