adminLevel,placeCode,indicator,value,countryCodeISO3
1,Disputed-1,populationTotal,0,EGY
1,Disputed-2,populationTotal,6525,EGY
1,EG001,populationTotal,327569,EGY
1,EG002,populationTotal,6248332,EGY
1,EG003,populationTotal,6446849,EGY
1,EG004,populationTotal,3323981,EGY
1,EG005,populationTotal,5040895,EGY
1,EG006,populationTotal,4536078,EGY
1,EG007,populationTotal,7872761,EGY
1,EG008,populationTotal,3993261,EGY
1,EG009,populationTotal,5339947,EGY
1,EG010,populationTotal,8980181,EGY
1,EG011,populationTotal,5161874,EGY
1,EG012,populationTotal,1131956,EGY
1,EG013,populationTotal,1238356,EGY
1,EG014,populationTotal,605492,EGY
1,EG015,populationTotal,6361527,EGY
1,EG016,populationTotal,1180656,EGY
1,EG017,populationTotal,4346773,EGY
1,EG018,populationTotal,2953947,EGY
1,EG019,populationTotal,10062,EGY
1,EG020,populationTotal,1366885,EGY
1,EG021,populationTotal,132696,EGY
1,EG022,populationTotal,3817371,EGY
1,EG027,populationTotal,786208,EGY
1,EG023,populationTotal,506398,EGY
1,EG024,populationTotal,3322438,EGY
1,EG025,populationTotal,434535,EGY
1,EG026,populationTotal,4551210,EGY
1,LB101,populationTotal,0,EGY
1,LB102,populationTotal,0,EGY
1,LB103,populationTotal,0,EGY
1,LB104,populationTotal,0,EGY
1,LB105,populationTotal,0,EGY
1,LY006,populationTotal,0,EGY
1,LY005,populationTotal,0,EGY
1,LY001,populationTotal,39,EGY
1,LY002,populationTotal,0,EGY
1,LY021,populationTotal,0,EGY
1,LY003,populationTotal,0,EGY
1,LY015,populationTotal,0,EGY
1,LY012,populationTotal,0,EGY
1,LY017,populationTotal,0,EGY
1,LY007,populationTotal,0,EGY
1,LY004,populationTotal,0,EGY
1,LY009,populationTotal,0,EGY
1,LY010,populationTotal,0,EGY
1,LY022,populationTotal,0,EGY
1,LY016,populationTotal,0,EGY
1,LY014,populationTotal,0,EGY
1,LY019,populationTotal,0,EGY
1,LY008,populationTotal,0,EGY
1,LY011,populationTotal,0,EGY
1,LY020,populationTotal,0,EGY
1,LY018,populationTotal,0,EGY
1,LY013,populationTotal,0,EGY
1,PS001,populationTotal,0,EGY
1,PS002,populationTotal,0,EGY
1,PS003,populationTotal,0,EGY
1,PS004,populationTotal,0,EGY
1,PS005,populationTotal,0,EGY
1,PS006,populationTotal,0,EGY
1,PS007,populationTotal,0,EGY
1,PS008,populationTotal,0,EGY
1,PS009,populationTotal,0,EGY
1,PS010,populationTotal,0,EGY
1,PS011,populationTotal,0,EGY
1,PS012,populationTotal,978,EGY
1,PS013,populationTotal,0,EGY
1,PS014,populationTotal,0,EGY
1,PS015,populationTotal,0,EGY
1,PS016,populationTotal,0,EGY
1,SA006,populationTotal,0,EGY
1,SA012,populationTotal,0,EGY
1,SA005,populationTotal,0,EGY
1,SA008,populationTotal,0,EGY
1,SA013,populationTotal,0,EGY
1,SA010,populationTotal,0,EGY
1,SA003,populationTotal,0,EGY
1,SA002,populationTotal,0,EGY
1,SA011,populationTotal,0,EGY
1,SA009,populationTotal,0,EGY
1,SA004,populationTotal,0,EGY
1,SA001,populationTotal,0,EGY
1,SA007,populationTotal,17,EGY
1,SD201,populationTotal,0,EGY
1,SD202,populationTotal,0,EGY
1,SD203,populationTotal,0,EGY
1,SD204,populationTotal,0,EGY
1,SD205,populationTotal,0,EGY
1,SD206,populationTotal,0,EGY
1,SD207,populationTotal,0,EGY
1,SD208,populationTotal,0,EGY
1,SD209,populationTotal,0,EGY
1,SD210,populationTotal,0,EGY
1,SD211,populationTotal,0,EGY
1,SD212,populationTotal,0,EGY
1,SD213,populationTotal,0,EGY
1,SD214,populationTotal,0,EGY
1,SD215,populationTotal,0,EGY
1,SD216,populationTotal,0,EGY
1,SD218,populationTotal,0,EGY
1,SD217,populationTotal,0,EGY
