countryCodeISO3,adminLevel,placeCode,indicator,value
ERI,1,ER1,populationTotal,87953
ERI,1,ER2,populationTotal,539423
ERI,1,ER3,populationTotal,930306
ERI,1,ER4,populationTotal,514512
ERI,1,ER5,populationTotal,788719
ERI,1,ER6,populationTotal,823118
ERI,2,ER101,populationTotal,21146
ERI,2,ER102,populationTotal,3014
ERI,2,ER103,populationTotal,13887
ERI,2,ER104,populationTotal,49906
ERI,2,ER201,populationTotal,78071
ERI,2,ER202,populationTotal,99122
ERI,2,ER203,populationTotal,109116
ERI,2,ER204,populationTotal,28803
ERI,2,ER205,populationTotal,72759
ERI,2,ER206,populationTotal,84842
ERI,2,ER207,populationTotal,66710
ERI,2,ER301,populationTotal,68951
ERI,2,ER302,populationTotal,95272
ERI,2,ER303,populationTotal,10092
ERI,2,ER304,populationTotal,205579
ERI,2,ER305,populationTotal,213490
ERI,2,ER306,populationTotal,58823
ERI,2,ER307,populationTotal,209330
ERI,2,ER308,populationTotal,29136
ERI,2,ER309,populationTotal,30587
ERI,2,ER310,populationTotal,9046
ERI,2,ER401,populationTotal,51462
ERI,2,ER402,populationTotal,64449
ERI,2,ER403,populationTotal,103458
ERI,2,ER404,populationTotal,65467
ERI,2,ER405,populationTotal,81081
ERI,2,ER406,populationTotal,25889
ERI,2,ER407,populationTotal,26682
ERI,2,ER408,populationTotal,33128
ERI,2,ER409,populationTotal,15152
ERI,2,ER410,populationTotal,4705
ERI,2,ER411,populationTotal,43039
ERI,2,ER501,populationTotal,42786
ERI,2,ER502,populationTotal,68922
ERI,2,ER503,populationTotal,28230
ERI,2,ER504,populationTotal,31448
ERI,2,ER505,populationTotal,32351
ERI,2,ER506,populationTotal,40640
ERI,2,ER507,populationTotal,49602
ERI,2,ER508,populationTotal,61801
ERI,2,ER509,populationTotal,46433
ERI,2,ER510,populationTotal,48315
ERI,2,ER511,populationTotal,60132
ERI,2,ER512,populationTotal,129407
ERI,2,ER513,populationTotal,96313
ERI,2,ER514,populationTotal,52339
ERI,2,ER601,populationTotal,76354
ERI,2,ER602,populationTotal,47112
ERI,2,ER603,populationTotal,106619
ERI,2,ER604,populationTotal,88527
ERI,2,ER605,populationTotal,63247
ERI,2,ER606,populationTotal,37814
ERI,2,ER607,populationTotal,65094
ERI,2,ER608,populationTotal,39126
ERI,2,ER609,populationTotal,123434
ERI,2,ER610,populationTotal,62278
ERI,2,ER611,populationTotal,59753
ERI,2,ER612,populationTotal,53760
