index,countryCodeISO3,adminLevel,placeCode,indicator,value
1,ETH,1,ET01,populationTotal,6567855
2,ETH,1,ET02,populationTotal,2046174
3,ETH,1,ET03,populationTotal,24709075
4,ETH,1,ET04,populationTotal,43934951
5,ETH,1,ET05,populationTotal,6941218
6,ETH,1,ET06,populationTotal,1264155
7,ETH,1,ET07,populationTotal,15108738
8,ETH,1,ET11,populationTotal,3702726
9,ETH,1,ET12,populationTotal,633264
10,ETH,1,ET13,populationTotal,284661
11,ETH,1,ET14,populationTotal,3950051
12,ETH,1,ET15,populationTotal,521596
13,ETH,1,ET16,populationTotal,5121298
14,ETH,2,ET0101,populationTotal,1102929
15,ETH,2,ET0102,populationTotal,1765465
16,ETH,2,ET0103,populationTotal,1162694
17,ETH,2,ET0104,populationTotal,933873
18,ETH,2,ET0105,populationTotal,543183
19,ETH,2,ET0106,populationTotal,627176
20,ETH,2,ET0107,populationTotal,432534
21,ETH,2,ET0201,populationTotal,601394
22,ETH,2,ET0202,populationTotal,536570
23,ETH,2,ET0203,populationTotal,271731
24,ETH,2,ET0204,populationTotal,356438
25,ETH,2,ET0205,populationTotal,280042
26,ETH,2,ET0301,populationTotal,931546
27,ETH,2,ET0302,populationTotal,2927469
28,ETH,2,ET0303,populationTotal,1970061
29,ETH,2,ET0304,populationTotal,3838177
30,ETH,2,ET0305,populationTotal,2645170
31,ETH,2,ET0306,populationTotal,3109242
32,ETH,2,ET0307,populationTotal,3330373
33,ETH,2,ET0308,populationTotal,612663
34,ETH,2,ET0309,populationTotal,1420872
35,ETH,2,ET0310,populationTotal,660114
36,ETH,2,ET0311,populationTotal,2836067
37,ETH,2,ET0312,populationTotal,427323
38,ETH,2,ET0401,populationTotal,2143545
39,ETH,2,ET0402,populationTotal,1945572
40,ETH,2,ET0403,populationTotal,1155253
41,ETH,2,ET0404,populationTotal,4243253
42,ETH,2,ET0405,populationTotal,3116655
43,ETH,2,ET0406,populationTotal,1947130
44,ETH,2,ET0407,populationTotal,2492809
45,ETH,2,ET0408,populationTotal,4240748
46,ETH,2,ET0409,populationTotal,3005350
47,ETH,2,ET0410,populationTotal,4494564
48,ETH,2,ET0411,populationTotal,1514697
49,ETH,2,ET0412,populationTotal,612245
50,ETH,2,ET0413,populationTotal,1516199
51,ETH,2,ET0414,populationTotal,1671686
52,ETH,2,ET0415,populationTotal,1544768
53,ETH,2,ET0416,populationTotal,955749
54,ETH,2,ET0417,populationTotal,3217187
55,ETH,2,ET0418,populationTotal,1328660
56,ETH,2,ET0419,populationTotal,937914
57,ETH,2,ET0420,populationTotal,1082750
58,ETH,2,ET0421,populationTotal,768216
59,ETH,2,ET0501,populationTotal,881925
60,ETH,2,ET0502,populationTotal,1631849
61,ETH,2,ET0503,populationTotal,631237
62,ETH,2,ET0504,populationTotal,393385
63,ETH,2,ET0505,populationTotal,462882
64,ETH,2,ET0506,populationTotal,722515
65,ETH,2,ET0507,populationTotal,336898
66,ETH,2,ET0508,populationTotal,691214
67,ETH,2,ET0509,populationTotal,565745
68,ETH,2,ET0510,populationTotal,228712
69,ETH,2,ET0511,populationTotal,394856
70,ETH,2,ET0602,populationTotal,518073
71,ETH,2,ET0603,populationTotal,503722
72,ETH,2,ET0604,populationTotal,161536
73,ETH,2,ET0605,populationTotal,80824
74,ETH,2,ET0701,populationTotal,1953650
75,ETH,2,ET0702,populationTotal,1960181
76,ETH,2,ET0703,populationTotal,1094015
77,ETH,2,ET0705,populationTotal,1378613
78,ETH,2,ET0706,populationTotal,2441761
79,ETH,2,ET0707,populationTotal,947438
80,ETH,2,ET0710,populationTotal,1800780
81,ETH,2,ET0712,populationTotal,61055
82,ETH,2,ET0713,populationTotal,411607
83,ETH,2,ET0714,populationTotal,408465
84,ETH,2,ET0715,populationTotal,728729
85,ETH,2,ET0716,populationTotal,90292
86,ETH,2,ET0720,populationTotal,1242352
87,ETH,2,ET0721,populationTotal,249228
88,ETH,2,ET0722,populationTotal,82406
