countryCodeISO3,adminLevel,placeCode,indicator,value
GMB,1,GM01,populationTotal,43208
GMB,1,GM02,populationTotal,343070
GMB,1,GM03,populationTotal,1028517
GMB,1,GM04,populationTotal,179187
GMB,1,GM05,populationTotal,539730
GMB,1,GM06,populationTotal,317340
GMB,1,GM07,populationTotal,139257
GMB,1,GM08,populationTotal,115678
GMB,2,GM0101,populationTotal,14044
GMB,2,GM0102,populationTotal,10622
GMB,2,GM0103,populationTotal,18542
GMB,2,GM0201,populationTotal,82548
GMB,2,GM0202,populationTotal,54572
GMB,2,GM0203,populationTotal,33737
GMB,2,GM0204,populationTotal,51934
GMB,2,GM0205,populationTotal,50907
GMB,2,GM0206,populationTotal,38797
GMB,2,GM0207,populationTotal,30575
GMB,2,GM0301,populationTotal,17231
GMB,2,GM0302,populationTotal,8727
GMB,2,GM0303,populationTotal,16919
GMB,2,GM0304,populationTotal,7947
GMB,2,GM0305,populationTotal,15904
GMB,2,GM0306,populationTotal,195335
GMB,2,GM0307,populationTotal,54784
GMB,2,GM0308,populationTotal,575876
GMB,2,GM0309,populationTotal,135794
GMB,2,GM0401,populationTotal,54396
GMB,2,GM0402,populationTotal,5864
GMB,2,GM0403,populationTotal,7930
GMB,2,GM0404,populationTotal,37049
GMB,2,GM0405,populationTotal,9817
GMB,2,GM0406,populationTotal,64131
GMB,2,GM0501,populationTotal,72680
GMB,2,GM0502,populationTotal,100212
GMB,2,GM0503,populationTotal,303
GMB,2,GM0504,populationTotal,53285
GMB,2,GM0505,populationTotal,159901
GMB,2,GM0506,populationTotal,153349
GMB,2,GM0601,populationTotal,32090
GMB,2,GM0602,populationTotal,43597
GMB,2,GM0603,populationTotal,11125
GMB,2,GM0604,populationTotal,81387
GMB,2,GM0605,populationTotal,70767
GMB,2,GM0606,populationTotal,43997
GMB,2,GM0607,populationTotal,34377
GMB,2,GM0701,populationTotal,21266
GMB,2,GM0702,populationTotal,43217
GMB,2,GM0703,populationTotal,13311
GMB,2,GM0704,populationTotal,34509
GMB,2,GM0705,populationTotal,26954
GMB,2,GM0801,populationTotal,11807
GMB,2,GM0802,populationTotal,26345
GMB,2,GM0803,populationTotal,37291
GMB,2,GM0804,populationTotal,11312
GMB,2,GM0805,populationTotal,9213
GMB,2,GM0806,populationTotal,19710
GMB,3,GM010101,populationTotal,2302
GMB,3,GM010102,populationTotal,3360
GMB,3,GM010103,populationTotal,5730
GMB,3,GM010201,populationTotal,2649
GMB,3,GM010202,populationTotal,4761
GMB,3,GM010203,populationTotal,1295
GMB,3,GM010301,populationTotal,5235
GMB,3,GM010302,populationTotal,5349
GMB,3,GM010303,populationTotal,4706
GMB,3,GM020101,populationTotal,39956
GMB,3,GM020102,populationTotal,18445
GMB,3,GM020201,populationTotal,29202
GMB,3,GM020202,populationTotal,26345
GMB,3,GM020301,populationTotal,18508
GMB,3,GM020302,populationTotal,15404
GMB,3,GM020401,populationTotal,24715
GMB,3,GM020402,populationTotal,36828
GMB,3,GM020502,populationTotal,33184
GMB,3,GM020504,populationTotal,29020
GMB,3,GM020601,populationTotal,16969
GMB,3,GM020602,populationTotal,12211
GMB,3,GM020701,populationTotal,15514
GMB,3,GM020703,populationTotal,20341
GMB,3,GM030101,populationTotal,6362
GMB,3,GM030102,populationTotal,13660
GMB,3,GM030201,populationTotal,3802
GMB,3,GM030202,populationTotal,5832
GMB,3,GM030301,populationTotal,12337
GMB,3,GM030302,populationTotal,7756
GMB,3,GM030401,populationTotal,4630
GMB,3,GM030402,populationTotal,4998
GMB,3,GM030501,populationTotal,8803
GMB,3,GM030502,populationTotal,10257
GMB,3,GM030601,populationTotal,71226
GMB,3,GM030602,populationTotal,106117
GMB,3,GM030603,populationTotal,30140
GMB,3,GM030604,populationTotal,29871
GMB,3,GM030701,populationTotal,26173
GMB,3,GM030702,populationTotal,22965
GMB,3,GM030703,populationTotal,16883
GMB,3,GM030801,populationTotal,86210
GMB,3,GM030802,populationTotal,260412
GMB,3,GM030803,populationTotal,138482
GMB,3,GM030804,populationTotal,181829
GMB,3,GM030901,populationTotal,48925
GMB,3,GM030902,populationTotal,28231
GMB,3,GM030903,populationTotal,102998
GMB,3,GM040101,populationTotal,18503
GMB,3,GM040102,populationTotal,16342
GMB,3,GM040103,populationTotal,16510
GMB,3,GM040201,populationTotal,5300
GMB,3,GM040301,populationTotal,7074
GMB,3,GM040401,populationTotal,8666
GMB,3,GM040402,populationTotal,26522
GMB,3,GM040501,populationTotal,8393
GMB,3,GM040601,populationTotal,17360
GMB,3,GM040602,populationTotal,8796
GMB,3,GM040603,populationTotal,9927
GMB,3,GM040604,populationTotal,20889
GMB,3,GM050101,populationTotal,55327
GMB,3,GM050102,populationTotal,69989
GMB,3,GM050201,populationTotal,23230
GMB,3,GM050202,populationTotal,23206
GMB,3,GM050203,populationTotal,34909
GMB,3,GM050301,populationTotal,44318
GMB,3,GM050401,populationTotal,13195
GMB,3,GM050402,populationTotal,7212
GMB,3,GM050403,populationTotal,11275
GMB,3,GM050501,populationTotal,25360
GMB,3,GM050502,populationTotal,26297
GMB,3,GM050503,populationTotal,7803
GMB,3,GM050504,populationTotal,24883
GMB,3,GM050601,populationTotal,16265
GMB,3,GM050602,populationTotal,12171
GMB,3,GM050603,populationTotal,40300
GMB,3,GM050604,populationTotal,13141
GMB,3,GM050605,populationTotal,46064
