countryCodeISO3,adminLevel,placeCode,indicator,value
GNB,1,GW01,populationTotal,359878
GNB,1,GW02,populationTotal,184774
GNB,1,GW03,populationTotal,55792
GNB,1,GW04,populationTotal,314305
GNB,1,GW05,populationTotal,392645
GNB,1,GW06,populationTotal,385745
GNB,1,GW07,populationTotal,108194
GNB,1,GW08,populationTotal,148760
GNB,1,GW09,populationTotal,155470
GNB,2,GW0101,populationTotal,133233
GNB,2,GW0102,populationTotal,55681
GNB,2,GW0103,populationTotal,88469
GNB,2,GW0104,populationTotal,12428
GNB,2,GW0105,populationTotal,36130
GNB,2,GW0106,populationTotal,33937
GNB,2,GW0201,populationTotal,70965
GNB,2,GW0202,populationTotal,81329
GNB,2,GW0203,populationTotal,32480
GNB,2,GW0301,populationTotal,19108
GNB,2,GW0302,populationTotal,16135
GNB,2,GW0303,populationTotal,4731
GNB,2,GW0304,populationTotal,15818
GNB,2,GW0401,populationTotal,91827
GNB,2,GW0402,populationTotal,56328
GNB,2,GW0403,populationTotal,29534
GNB,2,GW0404,populationTotal,18771
GNB,2,GW0405,populationTotal,70511
GNB,2,GW0406,populationTotal,47334
GNB,2,GW0501,populationTotal,20192
GNB,2,GW0502,populationTotal,172021
GNB,2,GW0503,populationTotal,51535
GNB,2,GW0504,populationTotal,86929
GNB,2,GW0505,populationTotal,61968
GNB,2,GW0601,populationTotal,111164
GNB,2,GW0602,populationTotal,84348
GNB,2,GW0603,populationTotal,88785
GNB,2,GW0604,populationTotal,83907
GNB,2,GW0605,populationTotal,17541
GNB,2,GW0701,populationTotal,34721
GNB,2,GW0702,populationTotal,31011
GNB,2,GW0703,populationTotal,22439
GNB,2,GW0704,populationTotal,20023
GNB,2,GW0800,populationTotal,148760
GNB,2,GW0901,populationTotal,41767
GNB,2,GW0902,populationTotal,26307
GNB,2,GW0903,populationTotal,43196
GNB,2,GW0904,populationTotal,29516
GNB,2,GW0905,populationTotal,14684
