countryCodeISO3,adminLevel,placeCode,indicator,value
GNQ,1,GQ198,populationTotal,6819
GNQ,1,GQ199,populationTotal,421630
GNQ,1,GQ200,populationTotal,47265
GNQ,1,GQ201,populationTotal,185317
GNQ,1,GQ202,populationTotal,242979
GNQ,1,GQ203,populationTotal,505021
GNQ,1,GQ204,populationTotal,265873
GNQ,2,GQ198001,populationTotal,270
GNQ,2,GQ198002,populationTotal,6549
GNQ,2,GQ199001,populationTotal,39831
GNQ,2,GQ199002,populationTotal,228903
GNQ,2,GQ199003,populationTotal,152896
GNQ,2,GQ200001,populationTotal,20541
GNQ,2,GQ200002,populationTotal,26724
GNQ,2,GQ201001,populationTotal,48003
GNQ,2,GQ201002,populationTotal,29571
GNQ,2,GQ201003,populationTotal,43226
GNQ,2,GQ201004,populationTotal,45285
GNQ,2,GQ201005,populationTotal,19232
GNQ,2,GQ202001,populationTotal,27585
GNQ,2,GQ202002,populationTotal,102862
GNQ,2,GQ202003,populationTotal,45989
GNQ,2,GQ202004,populationTotal,31386
GNQ,2,GQ202005,populationTotal,14305
GNQ,2,GQ202006,populationTotal,20852
GNQ,2,GQ203001,populationTotal,406349
GNQ,2,GQ203002,populationTotal,250
GNQ,2,GQ203003,populationTotal,23444
GNQ,2,GQ203004,populationTotal,3673
GNQ,2,GQ203005,populationTotal,34595
GNQ,2,GQ203006,populationTotal,33356
GNQ,2,GQ203007,populationTotal,3354
GNQ,2,GQ204001,populationTotal,9737
GNQ,2,GQ204002,populationTotal,79777
GNQ,2,GQ204003,populationTotal,6673
GNQ,2,GQ204004,populationTotal,13439
GNQ,2,GQ204005,populationTotal,22031
GNQ,2,GQ204006,populationTotal,115625
GNQ,2,GQ204007,populationTotal,18591
