"adminLevel","placeCode","indicator","value"
"1","KE030","population",663209
"1","KE036","population",905528
"1","KE039","population",1585645
"1","KE040","population",832858
"1","KE028","population",451656
"1","KE014","population",564980
"1","KE007","population",953817
"1","KE043","population",1073184
"1","KE019","population",751341
"1","KE011","population",179140
"1","KE034","population",820221
"1","KE037","population",1901100
"1","KE035","population",920258
"1","KE022","population",1640133
"1","KE003","population",1271196
"1","KE020","population",588955
"1","KE045","population",1299051
"1","KE042","population",1079740
"1","KE015","population",1131314
"1","KE002","population",723227
"1","KE031","population",487463
"1","KE016","population",1201378
"1","KE017","population",999623
"1","KE009","population",1703340
"1","KE025","population",272673
"1","KE010","population",328915
"1","KE012","population",1533604
"1","KE044","population",1019592
"1","KE021","population",1035489
"1","KE047","population",4028847
"1","KE032","population",1965093
"1","KE029","population",924896
"1","KE046","population",662933
"1","KE018","population",651626
"1","KE041","population",964640
"1","KE006","population",332265
"1","KE004","population",323426
"1","KE013","population",398430
"1","KE026","population",985194
"1","KE023","population",1032986
"1","KE027","population",1108225
"1","KE038","population",641799
"1","KE008","population",1100549
"1","KE024","population",622100
"1","KE033","population",1047303
"1","KE001","population",851241
"1","KE005","population",89991
