countryCodeISO3,adminLevel,placeCode,indicator,value
LBY,1,LY01,populationTotal,1942793
LBY,1,LY02,populationTotal,4337153
LBY,1,LY03,populationTotal,532394
LBY,2,LY0101,populationTotal,196046
LBY,2,LY0102,populationTotal,221525
LBY,2,LY0103,populationTotal,812777
LBY,2,LY0104,populationTotal,189637
LBY,2,LY0105,populationTotal,215670
LBY,2,LY0106,populationTotal,248940
LBY,2,LY0107,populationTotal,58198
LBY,2,LY0208,populationTotal,169957
LBY,2,LY0209,populationTotal,112904
LBY,2,LY0210,populationTotal,515231
LBY,2,LY0211,populationTotal,1278701
LBY,2,LY0212,populationTotal,545121
LBY,2,LY0213,populationTotal,353363
LBY,2,LY0214,populationTotal,654434
LBY,2,LY0215,populationTotal,342857
LBY,2,LY0216,populationTotal,364585
LBY,2,LY0317,populationTotal,62737
LBY,2,LY0318,populationTotal,94566
LBY,2,LY0319,populationTotal,160428
LBY,2,LY0320,populationTotal,91839
LBY,2,LY0321,populationTotal,27928
LBY,2,LY0322,populationTotal,94896
