countryCodeISO3,adminLevel,placeCode,indicator,value
MLI,1,ML01,populationTotal,2895635
MLI,1,ML02,populationTotal,4323232
MLI,1,ML03,populationTotal,3973271
MLI,1,ML04,populationTotal,3261527
MLI,1,ML05,populationTotal,2815555
MLI,1,ML06,populationTotal,1066881
MLI,1,ML07,populationTotal,812477
MLI,1,ML08,populationTotal,131083
MLI,1,ML09,populationTotal,3233076
MLI,1,ML10,populationTotal,80845
MLI,2,ML0101,populationTotal,314701
MLI,2,ML0102,populationTotal,308814
MLI,2,ML0103,populationTotal,799842
MLI,2,ML0104,populationTotal,274934
MLI,2,ML0105,populationTotal,619275
MLI,2,ML0106,populationTotal,312644
MLI,2,ML0107,populationTotal,265425
MLI,2,ML0201,populationTotal,249486
MLI,2,ML0202,populationTotal,710388
MLI,2,ML0203,populationTotal,125417
MLI,2,ML0204,populationTotal,2325081
MLI,2,ML0205,populationTotal,284765
MLI,2,ML0206,populationTotal,282657
MLI,2,ML0207,populationTotal,345438
MLI,2,ML0301,populationTotal,677812
MLI,2,ML0302,populationTotal,506612
MLI,2,ML0303,populationTotal,284917
MLI,2,ML0304,populationTotal,888144
MLI,2,ML0305,populationTotal,1033280
MLI,2,ML0306,populationTotal,270025
MLI,2,ML0307,populationTotal,312481
MLI,2,ML0401,populationTotal,256416
MLI,2,ML0402,populationTotal,391163
MLI,2,ML0403,populationTotal,322411
MLI,2,ML0404,populationTotal,577404
MLI,2,ML0405,populationTotal,437144
MLI,2,ML0406,populationTotal,986406
MLI,2,ML0407,populationTotal,290583
MLI,2,ML0501,populationTotal,415719
MLI,2,ML0502,populationTotal,348898
MLI,2,ML0503,populationTotal,316205
MLI,2,ML0504,populationTotal,403789
MLI,2,ML0505,populationTotal,478454
MLI,2,ML0506,populationTotal,505271
MLI,2,ML0507,populationTotal,205380
MLI,2,ML0508,populationTotal,141839
MLI,2,ML0601,populationTotal,153253
MLI,2,ML0602,populationTotal,211488
MLI,2,ML0603,populationTotal,202502
MLI,2,ML0604,populationTotal,251561
MLI,2,ML0605,populationTotal,248077
MLI,2,ML0701,populationTotal,214936
MLI,2,ML0702,populationTotal,173247
MLI,2,ML0703,populationTotal,424294
MLI,2,ML0801,populationTotal,14956
MLI,2,ML0802,populationTotal,69885
MLI,2,ML0803,populationTotal,21777
MLI,2,ML0804,populationTotal,24465
MLI,2,ML0901,populationTotal,3233076
MLI,2,ML1001,populationTotal,33689
MLI,2,ML1002,populationTotal,25709
MLI,2,ML1003,populationTotal,11012
MLI,2,ML1004,populationTotal,10435
MLI,3,ML010101,populationTotal,27487
MLI,3,ML010102,populationTotal,22590
MLI,3,ML010103,populationTotal,51090
MLI,3,ML010104,populationTotal,23038
MLI,3,ML010105,populationTotal,18765
MLI,3,ML010106,populationTotal,11985
MLI,3,ML010107,populationTotal,33409
MLI,3,ML010108,populationTotal,18947
MLI,3,ML010109,populationTotal,38081
MLI,3,ML010110,populationTotal,13151
MLI,3,ML010111,populationTotal,31475
MLI,3,ML010112,populationTotal,12012
MLI,3,ML010113,populationTotal,49341
MLI,3,ML010201,populationTotal,35594
MLI,3,ML010202,populationTotal,42957
MLI,3,ML010203,populationTotal,18025
MLI,3,ML010204,populationTotal,52077
MLI,3,ML010205,populationTotal,18902
MLI,3,ML010206,populationTotal,26334
MLI,3,ML010207,populationTotal,8680
MLI,3,ML010208,populationTotal,15766
MLI,3,ML010209,populationTotal,14016
MLI,3,ML010210,populationTotal,20076
MLI,3,ML010211,populationTotal,7487
MLI,3,ML010212,populationTotal,28275
MLI,3,ML010213,populationTotal,25334
MLI,3,ML010214,populationTotal,23845
MLI,3,ML010215,populationTotal,7340
MLI,3,ML010301,populationTotal,24197
MLI,3,ML010302,populationTotal,17356
MLI,3,ML010303,populationTotal,17222
MLI,3,ML010304,populationTotal,35377
MLI,3,ML010305,populationTotal,14630
MLI,3,ML010306,populationTotal,6178
MLI,3,ML010307,populationTotal,12646
MLI,3,ML010308,populationTotal,6104
MLI,3,ML010309,populationTotal,30366
MLI,3,ML010310,populationTotal,9929
MLI,3,ML010311,populationTotal,21040
MLI,3,ML010312,populationTotal,256054
MLI,3,ML010313,populationTotal,23415
MLI,3,ML010314,populationTotal,43608
MLI,3,ML010315,populationTotal,10213
MLI,3,ML010316,populationTotal,35607
MLI,3,ML010317,populationTotal,30838
MLI,3,ML010318,populationTotal,15607
MLI,3,ML010319,populationTotal,29246
MLI,3,ML010320,populationTotal,12330
MLI,3,ML010321,populationTotal,85549
MLI,3,ML010322,populationTotal,22096
MLI,3,ML010323,populationTotal,17947
MLI,3,ML010324,populationTotal,38404
MLI,3,ML010325,populationTotal,36787
MLI,3,ML010326,populationTotal,10830
MLI,3,ML010327,populationTotal,13419
MLI,3,ML010328,populationTotal,13589
MLI,3,ML010401,populationTotal,21203
MLI,3,ML010402,populationTotal,27264
MLI,3,ML010403,populationTotal,23645
MLI,3,ML010404,populationTotal,6925
MLI,3,ML010405,populationTotal,24532
MLI,3,ML010406,populationTotal,9582
MLI,3,ML010407,populationTotal,4768
MLI,3,ML010408,populationTotal,23803
MLI,3,ML010409,populationTotal,51537
MLI,3,ML010410,populationTotal,22540
MLI,3,ML010411,populationTotal,21778
MLI,3,ML010412,populationTotal,69347
MLI,3,ML010501,populationTotal,9353
MLI,3,ML010502,populationTotal,13055
MLI,3,ML010503,populationTotal,13863
MLI,3,ML010504,populationTotal,7399
MLI,3,ML010505,populationTotal,18608
MLI,3,ML010506,populationTotal,15985
MLI,3,ML010507,populationTotal,23435
MLI,3,ML010508,populationTotal,11126
MLI,3,ML010509,populationTotal,42533
MLI,3,ML010510,populationTotal,19825
MLI,3,ML010511,populationTotal,17678
MLI,3,ML010512,populationTotal,42397
MLI,3,ML010513,populationTotal,81712
MLI,3,ML010514,populationTotal,13312
MLI,3,ML010515,populationTotal,25902
MLI,3,ML010516,populationTotal,20024
MLI,3,ML010517,populationTotal,36815
MLI,3,ML010518,populationTotal,15785
MLI,3,ML010519,populationTotal,21833
MLI,3,ML010520,populationTotal,10102
MLI,3,ML010521,populationTotal,15833
MLI,3,ML010522,populationTotal,16173
MLI,3,ML010523,populationTotal,17886
MLI,3,ML010524,populationTotal,7112
MLI,3,ML010525,populationTotal,5861
MLI,3,ML010526,populationTotal,63198
MLI,3,ML010527,populationTotal,17991
MLI,3,ML010528,populationTotal,22455
MLI,3,ML010529,populationTotal,9501
MLI,3,ML010530,populationTotal,13632
MLI,3,ML010531,populationTotal,15703
MLI,3,ML010532,populationTotal,16692
MLI,3,ML010533,populationTotal,8094
MLI,3,ML010601,populationTotal,7177
MLI,3,ML010602,populationTotal,12668
MLI,3,ML010603,populationTotal,9750
MLI,3,ML010604,populationTotal,22508
MLI,3,ML010605,populationTotal,25669
MLI,3,ML010606,populationTotal,20031
MLI,3,ML010607,populationTotal,12367
MLI,3,ML010608,populationTotal,13503
MLI,3,ML010609,populationTotal,27609
MLI,3,ML010610,populationTotal,55179
MLI,3,ML010611,populationTotal,18874
MLI,3,ML010612,populationTotal,42981
MLI,3,ML010613,populationTotal,34675
MLI,3,ML010614,populationTotal,16900
MLI,3,ML010615,populationTotal,16642
MLI,3,ML010616,populationTotal,13497
MLI,3,ML010701,populationTotal,14141
MLI,3,ML010702,populationTotal,31348
MLI,3,ML010703,populationTotal,12685
MLI,3,ML010704,populationTotal,19940
MLI,3,ML010705,populationTotal,63294
MLI,3,ML010706,populationTotal,57048
MLI,3,ML010707,populationTotal,8573
MLI,3,ML010708,populationTotal,19847
MLI,3,ML010709,populationTotal,9027
MLI,3,ML010710,populationTotal,7589
MLI,3,ML010711,populationTotal,19426
MLI,3,ML010712,populationTotal,17136
MLI,3,ML020101,populationTotal,45965
MLI,3,ML020102,populationTotal,13302
MLI,3,ML020103,populationTotal,51850
MLI,3,ML020104,populationTotal,61816
MLI,3,ML020105,populationTotal,18298
MLI,3,ML020106,populationTotal,42725
MLI,3,ML020107,populationTotal,5772
MLI,3,ML020108,populationTotal,21740
MLI,3,ML020109,populationTotal,17130
MLI,3,ML020201,populationTotal,47856
MLI,3,ML020202,populationTotal,11412
MLI,3,ML020203,populationTotal,32312
MLI,3,ML020204,populationTotal,15585
MLI,3,ML020205,populationTotal,12717
MLI,3,ML020206,populationTotal,53072
MLI,3,ML020207,populationTotal,49461
MLI,3,ML020208,populationTotal,22344
MLI,3,ML020209,populationTotal,91168
MLI,3,ML020210,populationTotal,9819
MLI,3,ML020211,populationTotal,69705
MLI,3,ML020212,populationTotal,38089
MLI,3,ML020213,populationTotal,23886
MLI,3,ML020214,populationTotal,21606
MLI,3,ML020215,populationTotal,74670
MLI,3,ML020216,populationTotal,27565
MLI,3,ML020217,populationTotal,33831
MLI,3,ML020218,populationTotal,26023
MLI,3,ML020219,populationTotal,33982
MLI,3,ML020220,populationTotal,18229
MLI,3,ML020221,populationTotal,23328
MLI,3,ML020222,populationTotal,24956
MLI,3,ML020223,populationTotal,31379
MLI,3,ML020301,populationTotal,9797
MLI,3,ML020302,populationTotal,12851
MLI,3,ML020303,populationTotal,23388
MLI,3,ML020304,populationTotal,7761
MLI,3,ML020305,populationTotal,21034
MLI,3,ML020306,populationTotal,26498
