countryCodeISO3,adminLevel,placeCode,indicator,value
MOZ,1,MZ01,populationTotal,2779480
MOZ,1,MZ02,populationTotal,1701281
MOZ,1,MZ03,populationTotal,1783116
MOZ,1,MZ04,populationTotal,2269862
MOZ,1,MZ05,populationTotal,2338681
MOZ,1,MZ06,populationTotal,1324067
MOZ,1,MZ07,populationTotal,6720839
MOZ,1,MZ08,populationTotal,2100501
MOZ,1,MZ09,populationTotal,2692614
MOZ,1,MZ10,populationTotal,3127703
MOZ,1,MZ11,populationTotal,6131378
MOZ,2,MZ0101,populationTotal,195299
MOZ,2,MZ0102,populationTotal,215391
MOZ,2,MZ0103,populationTotal,366765
MOZ,2,MZ0104,populationTotal,245783
MOZ,2,MZ0105,populationTotal,14959
MOZ,2,MZ0106,populationTotal,140149
MOZ,2,MZ0107,populationTotal,75417
MOZ,2,MZ0108,populationTotal,44983
MOZ,2,MZ0109,populationTotal,106470
MOZ,2,MZ0110,populationTotal,156525
MOZ,2,MZ0111,populationTotal,333468
MOZ,2,MZ0112,populationTotal,208790
MOZ,2,MZ0113,populationTotal,121175
MOZ,2,MZ0114,populationTotal,300594
MOZ,2,MZ0115,populationTotal,109961
MOZ,2,MZ0116,populationTotal,82150
MOZ,2,MZ0118,populationTotal,61601
MOZ,2,MZ0201,populationTotal,172785
MOZ,2,MZ0202,populationTotal,266160
MOZ,2,MZ0203,populationTotal,33197
MOZ,2,MZ0204,populationTotal,27063
MOZ,2,MZ0205,populationTotal,265994
MOZ,2,MZ0206,populationTotal,145746
MOZ,2,MZ0207,populationTotal,174000
MOZ,2,MZ0208,populationTotal,110306
MOZ,2,MZ0209,populationTotal,184334
MOZ,2,MZ0210,populationTotal,47365
MOZ,2,MZ0211,populationTotal,168001
MOZ,2,MZ0212,populationTotal,34859
MOZ,2,MZ0213,populationTotal,26428
MOZ,2,MZ0214,populationTotal,45043
MOZ,2,MZ0301,populationTotal,100651
MOZ,2,MZ0302,populationTotal,54102
MOZ,2,MZ0303,populationTotal,44240
MOZ,2,MZ0304,populationTotal,140802
MOZ,2,MZ0305,populationTotal,138854
MOZ,2,MZ0306,populationTotal,69909
MOZ,2,MZ0307,populationTotal,129070
MOZ,2,MZ0308,populationTotal,62565
MOZ,2,MZ0309,populationTotal,290410
MOZ,2,MZ0310,populationTotal,159329
MOZ,2,MZ0311,populationTotal,167893
MOZ,2,MZ0312,populationTotal,53891
MOZ,2,MZ0313,populationTotal,185946
MOZ,2,MZ0314,populationTotal,185454
MOZ,2,MZ0401,populationTotal,227536
MOZ,2,MZ0402,populationTotal,445331
MOZ,2,MZ0403,populationTotal,235714
MOZ,2,MZ0404,populationTotal,119063
MOZ,2,MZ0405,populationTotal,103483
MOZ,2,MZ0406,populationTotal,155033
MOZ,2,MZ0407,populationTotal,56543
MOZ,2,MZ0408,populationTotal,263812
MOZ,2,MZ0409,populationTotal,249716
MOZ,2,MZ0410,populationTotal,206455
MOZ,2,MZ0411,populationTotal,65572
MOZ,2,MZ0412,populationTotal,141604
MOZ,2,MZ0501,populationTotal,257842
MOZ,2,MZ0502,populationTotal,1265137
MOZ,2,MZ0503,populationTotal,76355
MOZ,2,MZ0504,populationTotal,251328
MOZ,2,MZ0505,populationTotal,268162
MOZ,2,MZ0506,populationTotal,53518
MOZ,2,MZ0507,populationTotal,108574
MOZ,2,MZ0508,populationTotal,57765
MOZ,2,MZ0601,populationTotal,1324067
MOZ,2,MZ0701,populationTotal,425525
MOZ,2,MZ0702,populationTotal,931774
MOZ,2,MZ0703,populationTotal,475211
MOZ,2,MZ0704,populationTotal,79151
MOZ,2,MZ0705,populationTotal,131599
MOZ,2,MZ0706,populationTotal,120587
MOZ,2,MZ0707,populationTotal,109403
MOZ,2,MZ0708,populationTotal,261082
MOZ,2,MZ0709,populationTotal,274257
MOZ,2,MZ0710,populationTotal,254064
MOZ,2,MZ0711,populationTotal,402585
MOZ,2,MZ0712,populationTotal,120333
MOZ,2,MZ0713,populationTotal,452157
MOZ,2,MZ0714,populationTotal,397660
MOZ,2,MZ0715,populationTotal,482686
MOZ,2,MZ0716,populationTotal,214053
MOZ,2,MZ0717,populationTotal,164584
MOZ,2,MZ0718,populationTotal,226421
MOZ,2,MZ0719,populationTotal,352425
MOZ,2,MZ0720,populationTotal,149196
MOZ,2,MZ0721,populationTotal,178275
MOZ,2,MZ0722,populationTotal,203863
MOZ,2,MZ0723,populationTotal,313948
MOZ,2,MZ0801,populationTotal,88865
MOZ,2,MZ0802,populationTotal,296863
MOZ,2,MZ0803,populationTotal,328392
MOZ,2,MZ0806,populationTotal,131108
MOZ,2,MZ0807,populationTotal,0
MOZ,2,MZ0808,populationTotal,49032
MOZ,2,MZ0809,populationTotal,259817
MOZ,2,MZ0810,populationTotal,95367
MOZ,2,MZ0811,populationTotal,83665
