countryCodeISO3,adminLevel,placeCode,indicator,value
MWI,1,MW2,populationTotal,8316262
MWI,1,MW1,populationTotal,2797148
MWI,1,MW3,populationTotal,8090435
MWI,2,MW312,populationTotal,498945
MWI,2,MW305,populationTotal,503167
MWI,2,MW315,populationTotal,623226
MWI,2,MW310,populationTotal,622942
MWI,2,MW304,populationTotal,404941
MWI,2,MW101,populationTotal,353776
MWI,2,MW208,populationTotal,957881
MWI,2,MW204,populationTotal,937427
MWI,2,MW102,populationTotal,358701
MWI,2,MW201,populationTotal,1045114
MWI,2,MW106,populationTotal,8941
MWI,2,MW206,populationTotal,1842258
MWI,2,MW210,populationTotal,825346
MWI,2,MW302,populationTotal,731334
MWI,2,MW301,populationTotal,1228515
MWI,2,MW207,populationTotal,643765
MWI,2,MW308,populationTotal,692922
MWI,2,MW306,populationTotal,147135
MWI,2,MW105,populationTotal,1339671
MWI,2,MW107,populationTotal,217069
MWI,2,MW313,populationTotal,177004
MWI,2,MW103,populationTotal,254848
MWI,2,MW202,populationTotal,405233
MWI,2,MW311,populationTotal,286094
MWI,2,MW209,populationTotal,784601
MWI,2,MW203,populationTotal,425550
MWI,2,MW309,populationTotal,514717
MWI,2,MW104,populationTotal,264141
MWI,2,MW205,populationTotal,449087
MWI,2,MW307,populationTotal,652237
MWI,2,MW303,populationTotal,916214
MWI,2,MW314,populationTotal,91041
MWI,3,MW31011,populationTotal,12990
MWI,3,MW31010,populationTotal,6401
MWI,3,MW21031,populationTotal,6673
MWI,3,MW21040,populationTotal,5576
MWI,3,MW21041,populationTotal,492
MWI,3,MW21042,populationTotal,4936
MWI,3,MW21043,populationTotal,929
MWI,3,MW21044,populationTotal,1939
MWI,3,MW21045,populationTotal,2154
MWI,3,MW21046,populationTotal,250
MWI,3,MW21047,populationTotal,833
MWI,3,MW21048,populationTotal,10638
MWI,3,MW21049,populationTotal,158
MWI,3,MW21032,populationTotal,4458
MWI,3,MW21050,populationTotal,523
MWI,3,MW21051,populationTotal,26486
MWI,3,MW21052,populationTotal,22215
MWI,3,MW21053,populationTotal,35740
MWI,3,MW21054,populationTotal,24277
MWI,3,MW21055,populationTotal,87412
MWI,3,MW21056,populationTotal,7380
MWI,3,MW21057,populationTotal,4196
MWI,3,MW21058,populationTotal,5200
MWI,3,MW21059,populationTotal,4209
MWI,3,MW21033,populationTotal,9979
MWI,3,MW21060,populationTotal,2233
MWI,3,MW21061,populationTotal,271
MWI,3,MW21062,populationTotal,1288
MWI,3,MW21063,populationTotal,1784
MWI,3,MW21064,populationTotal,1302
MWI,3,MW21065,populationTotal,3777
MWI,3,MW21066,populationTotal,58284
MWI,3,MW21067,populationTotal,3545
MWI,3,MW21068,populationTotal,26238
MWI,3,MW21069,populationTotal,7077
MWI,3,MW21034,populationTotal,2831
MWI,3,MW21070,populationTotal,364
MWI,3,MW21071,populationTotal,5993
MWI,3,MW21072,populationTotal,357
MWI,3,MW21073,populationTotal,11179
MWI,3,MW21074,populationTotal,39914
MWI,3,MW21075,populationTotal,13214
MWI,3,MW21076,populationTotal,8388
MWI,3,MW21077,populationTotal,21460
MWI,3,MW21078,populationTotal,4064
MWI,3,MW21079,populationTotal,54913
MWI,3,MW21035,populationTotal,1293
MWI,3,MW21080,populationTotal,55971
MWI,3,MW21081,populationTotal,4331
MWI,3,MW21082,populationTotal,8683
MWI,3,MW21083,populationTotal,20387
MWI,3,MW21084,populationTotal,7618
MWI,3,MW21085,populationTotal,28275
MWI,3,MW21086,populationTotal,44963
MWI,3,MW21087,populationTotal,51733
MWI,3,MW21088,populationTotal,33061
MWI,3,MW21036,populationTotal,2561
MWI,3,MW21037,populationTotal,13510
MWI,3,MW21038,populationTotal,13192
MWI,3,MW21039,populationTotal,4640
MWI,3,MW31220,populationTotal,31595
MWI,3,MW31546,populationTotal,15398
MWI,3,MW31542,populationTotal,8504
MWI,3,MW31543,populationTotal,8145
MWI,3,MW31541,populationTotal,21685
MWI,3,MW31441,populationTotal,4007
MWI,3,MW10740,populationTotal,3379
MWI,3,MW10735,populationTotal,10361
MWI,3,MW31544,populationTotal,9412
MWI,3,MW31555,populationTotal,34737
MWI,3,MW31435,populationTotal,8134
MWI,3,MW31434,populationTotal,3844
MWI,3,MW31020,populationTotal,8149
MWI,3,MW31540,populationTotal,22535
MWI,3,MW10734,populationTotal,21720
MWI,3,MW30420,populationTotal,2926
MWI,3,MW31436,populationTotal,13020
MWI,3,MW31437,populationTotal,4462
MWI,3,MW10120,populationTotal,18871
MWI,3,MW20820,populationTotal,29419
MWI,3,MW20420,populationTotal,7768
MWI,3,MW10738,populationTotal,2292
MWI,3,MW10743,populationTotal,2764
MWI,3,MW10220,populationTotal,63344
MWI,3,MW20120,populationTotal,50087
MWI,3,MW20115,populationTotal,2763
MWI,3,MW10741,populationTotal,2503
MWI,3,MW10737,populationTotal,19769
MWI,3,MW30399,populationTotal,311
MWI,3,MW30904,populationTotal,0
MWI,3,MW30299,populationTotal,53
MWI,3,MW30111,populationTotal,1319
MWI,3,MW20511,populationTotal,29
MWI,3,MW30199,populationTotal,2640
MWI,3,MW31008,populationTotal,3336
MWI,3,MW31443,populationTotal,19852
MWI,3,MW31444,populationTotal,4447
MWI,3,MW31438,populationTotal,6990
MWI,3,MW31539,populationTotal,58242
MWI,3,MW10620,populationTotal,913
MWI,3,MW31549,populationTotal,5423
MWI,3,MW31548,populationTotal,26215
MWI,3,MW31550,populationTotal,12033
MWI,3,MW30213,populationTotal,2653
MWI,3,MW30222,populationTotal,43440
MWI,3,MW30721,populationTotal,13672
MWI,3,MW10732,populationTotal,43529
MWI,3,MW30220,populationTotal,1603
MWI,3,MW31009,populationTotal,712
MWI,3,MW31305,populationTotal,353
MWI,3,MW30120,populationTotal,44111
MWI,3,MW31533,populationTotal,33086
MWI,3,MW10742,populationTotal,3228
MWI,3,MW31433,populationTotal,1317
MWI,3,MW31431,populationTotal,5622
MWI,3,MW10736,populationTotal,33971
MWI,3,MW20720,populationTotal,19541
MWI,3,MW31531,populationTotal,62697
MWI,3,MW31554,populationTotal,32118
MWI,3,MW30121,populationTotal,15221
MWI,3,MW31556,populationTotal,8347
MWI,3,MW10745,populationTotal,2957
MWI,3,MW31432,populationTotal,5733
MWI,3,MW30820,populationTotal,12752
MWI,3,MW30807,populationTotal,6061
MWI,3,MW10739,populationTotal,5043
MWI,3,MW31110,populationTotal,9210
MWI,3,MW30620,populationTotal,20833
MWI,3,MW31545,populationTotal,24934
MWI,3,MW10520,populationTotal,28995
MWI,3,MW31547,populationTotal,23944
MWI,3,MW31553,populationTotal,22174
MWI,3,MW31535,populationTotal,15904
MWI,3,MW31536,populationTotal,35620
MWI,3,MW31537,populationTotal,10369
MWI,3,MW31320,populationTotal,1768
MWI,3,MW10746,populationTotal,39520
MWI,3,MW10320,populationTotal,9457
MWI,3,MW10731,populationTotal,5757
MWI,3,MW20220,populationTotal,32506
MWI,3,MW20207,populationTotal,1160
MWI,3,MW31534,populationTotal,26632
MWI,3,MW31120,populationTotal,27032
MWI,3,MW20920,populationTotal,23735
MWI,3,MW20320,populationTotal,7914
MWI,3,MW31538,populationTotal,11223
MWI,3,MW10106,populationTotal,1142
MWI,3,MW10206,populationTotal,507
MWI,3,MW10410,populationTotal,3244
MWI,3,MW30920,populationTotal,5447
MWI,3,MW10420,populationTotal,23230
MWI,3,MW31442,populationTotal,8596
MWI,3,MW20520,populationTotal,34761
MWI,3,MW20402,populationTotal,190188
MWI,3,MW30204,populationTotal,37833
MWI,3,MW20905,populationTotal,26753
MWI,3,MW10406,populationTotal,2234
MWI,3,MW20805,populationTotal,22985
MWI,3,MW30207,populationTotal,64761
MWI,3,MW20802,populationTotal,86015
MWI,3,MW20305,populationTotal,123379
MWI,3,MW20109,populationTotal,58309
MWI,3,MW20104,populationTotal,7945
MWI,3,MW20605,populationTotal,57438
MWI,3,MW30209,populationTotal,28795
MWI,3,MW30106,populationTotal,157029
MWI,3,MW20706,populationTotal,75826
MWI,3,MW10307,populationTotal,11080
MWI,3,MW20908,populationTotal,160057
MWI,3,MW10504,populationTotal,22412
MWI,3,MW30806,populationTotal,125721
MWI,3,MW10405,populationTotal,14240
MWI,3,MW20202,populationTotal,22158
MWI,3,MW20506,populationTotal,21338
MWI,3,MW20504,populationTotal,42191
MWI,3,MW20808,populationTotal,48920
MWI,3,MW10503,populationTotal,107353
MWI,3,MW20107,populationTotal,72957
MWI,3,MW20403,populationTotal,133771
MWI,3,MW10508,populationTotal,78064
MWI,3,MW30706,populationTotal,50734
MWI,3,MW30802,populationTotal,80582
MWI,3,MW20106,populationTotal,64539
MWI,3,MW20103,populationTotal,52089
MWI,3,MW31109,populationTotal,8741
MWI,3,MW20904,populationTotal,133546
MWI,3,MW10304,populationTotal,25130
MWI,3,MW20702,populationTotal,125123
MWI,3,MW30703,populationTotal,38738
MWI,3,MW31106,populationTotal,57907
MWI,3,MW30305,populationTotal,218864
MWI,3,MW30105,populationTotal,129985
MWI,3,MW20704,populationTotal,112462
MWI,3,MW10311,populationTotal,1678
MWI,3,MW20405,populationTotal,139475
MWI,3,MW10308,populationTotal,11309
MWI,3,MW30303,populationTotal,6774
MWI,3,MW30206,populationTotal,59849
MWI,3,MW20204,populationTotal,30881
MWI,3,MW30705,populationTotal,51413
MWI,3,MW20407,populationTotal,86368
MWI,3,MW30205,populationTotal,34103
MWI,3,MW20510,populationTotal,4763
MWI,3,MW20609,populationTotal,73347
MWI,3,MW10403,populationTotal,23571
MWI,3,MW10202,populationTotal,24186
MWI,3,MW10404,populationTotal,28866
MWI,3,MW10407,populationTotal,34447
MWI,3,MW20206,populationTotal,36321
MWI,3,MW20508,populationTotal,31966
MWI,3,MW10205,populationTotal,31662
MWI,3,MW30109,populationTotal,54951
MWI,3,MW30208,populationTotal,30074
MWI,3,MW20613,populationTotal,52492
MWI,3,MW20108,populationTotal,65799
MWI,3,MW20303,populationTotal,41150
MWI,3,MW10310,populationTotal,19333
MWI,3,MW20102,populationTotal,53800
