countryCodeISO3,adminLevel,placeCode,indicator,value
NAM,1,NA01,populationTotal,104996
NAM,1,NA02,populationTotal,224329
NAM,1,NA03,populationTotal,107551
NAM,1,NA04,populationTotal,88382
NAM,1,NA05,populationTotal,173713
NAM,1,NA06,populationTotal,497020
NAM,1,NA07,populationTotal,112938
NAM,1,NA08,populationTotal,266784
NAM,1,NA09,populationTotal,78037
NAM,1,NA10,populationTotal,261834
NAM,1,NA11,populationTotal,196850
NAM,1,NA12,populationTotal,211586
NAM,1,NA13,populationTotal,163097
NAM,1,NA14,populationTotal,79895
NAM,2,NA0101,populationTotal,14069
NAM,2,NA0102,populationTotal,18675
NAM,2,NA0103,populationTotal,36146
NAM,2,NA0104,populationTotal,7409
NAM,2,NA0105,populationTotal,17298
NAM,2,NA0106,populationTotal,11399
NAM,2,NA0201,populationTotal,13764
NAM,2,NA0202,populationTotal,12641
NAM,2,NA0203,populationTotal,14823
NAM,2,NA0204,populationTotal,10453
NAM,2,NA0205,populationTotal,79319
NAM,2,NA0206,populationTotal,46362
NAM,2,NA0207,populationTotal,46967
NAM,2,NA0301,populationTotal,12804
NAM,2,NA0302,populationTotal,16957
NAM,2,NA0303,populationTotal,3858
NAM,2,NA0304,populationTotal,34137
NAM,2,NA0305,populationTotal,25985
NAM,2,NA0306,populationTotal,13810
NAM,2,NA0401,populationTotal,12551
NAM,2,NA0402,populationTotal,17308
NAM,2,NA0403,populationTotal,8234
NAM,2,NA0404,populationTotal,24429
NAM,2,NA0405,populationTotal,13173
NAM,2,NA0406,populationTotal,12687
NAM,2,NA0503,populationTotal,15372
NAM,2,NA0505,populationTotal,28207
NAM,2,NA0506,populationTotal,21886
NAM,2,NA0507,populationTotal,56778
NAM,2,NA0508,populationTotal,23102
NAM,2,NA0509,populationTotal,28368
NAM,2,NA0601,populationTotal,62948
NAM,2,NA0602,populationTotal,28900
NAM,2,NA0603,populationTotal,19383
NAM,2,NA0604,populationTotal,71630
NAM,2,NA0605,populationTotal,16636
NAM,2,NA0606,populationTotal,89137
NAM,2,NA0607,populationTotal,29845
NAM,2,NA0608,populationTotal,24737
NAM,2,NA0609,populationTotal,69106
NAM,2,NA0610,populationTotal,84698
NAM,2,NA0701,populationTotal,24487
NAM,2,NA0702,populationTotal,11307
NAM,2,NA0703,populationTotal,13854
NAM,2,NA0704,populationTotal,36453
NAM,2,NA0705,populationTotal,17389
NAM,2,NA0706,populationTotal,9448
NAM,2,NA0801,populationTotal,24072
NAM,2,NA0802,populationTotal,26511
NAM,2,NA0803,populationTotal,27261
NAM,2,NA0804,populationTotal,17882
NAM,2,NA0805,populationTotal,17044
NAM,2,NA0806,populationTotal,31144
NAM,2,NA0807,populationTotal,7590
NAM,2,NA0808,populationTotal,25985
NAM,2,NA0809,populationTotal,22512
NAM,2,NA0810,populationTotal,32907
NAM,2,NA0811,populationTotal,33876
NAM,2,NA0901,populationTotal,12231
NAM,2,NA0902,populationTotal,29996
NAM,2,NA0903,populationTotal,6034
NAM,2,NA0904,populationTotal,6821
NAM,2,NA0905,populationTotal,7191
NAM,2,NA0906,populationTotal,10600
NAM,2,NA0907,populationTotal,5164
NAM,2,NA1001,populationTotal,14348
NAM,2,NA1002,populationTotal,12056
NAM,2,NA1003,populationTotal,35105
NAM,2,NA1004,populationTotal,19504
NAM,2,NA1005,populationTotal,17349
NAM,2,NA1006,populationTotal,32848
NAM,2,NA1007,populationTotal,13333
NAM,2,NA1008,populationTotal,10056
NAM,2,NA1009,populationTotal,43958
NAM,2,NA1010,populationTotal,20201
NAM,2,NA1011,populationTotal,29144
NAM,2,NA1012,populationTotal,13932
NAM,2,NA1101,populationTotal,17667
NAM,2,NA1102,populationTotal,14238
NAM,2,NA1103,populationTotal,3659
NAM,2,NA1104,populationTotal,4907
NAM,2,NA1105,populationTotal,43442
NAM,2,NA1106,populationTotal,44419
NAM,2,NA1107,populationTotal,30886
NAM,2,NA1108,populationTotal,21624
NAM,2,NA1109,populationTotal,12155
NAM,2,NA1110,populationTotal,3853
NAM,2,NA1201,populationTotal,32011
NAM,2,NA1202,populationTotal,12951
NAM,2,NA1203,populationTotal,19522
NAM,2,NA1204,populationTotal,9947
NAM,2,NA1205,populationTotal,18957
NAM,2,NA1206,populationTotal,29243
NAM,2,NA1207,populationTotal,15344
NAM,2,NA1208,populationTotal,25199
NAM,2,NA1209,populationTotal,21333
NAM,2,NA1210,populationTotal,27079
NAM,2,NA1301,populationTotal,26146
NAM,2,NA1302,populationTotal,33974
NAM,2,NA1303,populationTotal,23827
NAM,2,NA1304,populationTotal,11116
NAM,2,NA1305,populationTotal,12624
NAM,2,NA1306,populationTotal,44402
NAM,2,NA1307,populationTotal,11008
NAM,2,NA1401,populationTotal,28677
NAM,2,NA1402,populationTotal,27820
NAM,2,NA1404,populationTotal,23398
