countryCodeISO3,adminLevel,placeCode,indicator,value
NER,1,NE001,populationTotal,731274
NER,1,NE002,populationTotal,962060
NER,1,NE003,populationTotal,2858986
NER,1,NE004,populationTotal,5020084
NER,1,NE005,populationTotal,5497591
NER,1,NE006,populationTotal,3913428
NER,1,NE007,populationTotal,5735881
NER,1,NE008,populationTotal,1488675
NER,2,NE001001,populationTotal,64469
NER,2,NE001002,populationTotal,142756
NER,2,NE001003,populationTotal,20335
NER,2,NE001004,populationTotal,58671
NER,2,NE001005,populationTotal,83940
NER,2,NE001006,populationTotal,361103
NER,2,NE002001,populationTotal,135303
NER,2,NE002002,populationTotal,231816
NER,2,NE002003,populationTotal,140802
NER,2,NE002004,populationTotal,202934
NER,2,NE002005,populationTotal,109268
NER,2,NE002006,populationTotal,141937
NER,2,NE003001,populationTotal,360927
NER,2,NE003002,populationTotal,155274
NER,2,NE003003,populationTotal,522003
NER,2,NE003004,populationTotal,684795
NER,2,NE003005,populationTotal,146765
NER,2,NE003006,populationTotal,385164
NER,2,NE003007,populationTotal,238617
NER,2,NE003008,populationTotal,365441
NER,2,NE004001,populationTotal,324732
NER,2,NE004002,populationTotal,193367
NER,2,NE004003,populationTotal,860138
NER,2,NE004004,populationTotal,281070
NER,2,NE004005,populationTotal,900470
NER,2,NE004006,populationTotal,502972
NER,2,NE004007,populationTotal,444223
NER,2,NE004008,populationTotal,788894
NER,2,NE004009,populationTotal,724218
NER,2,NE005001,populationTotal,665299
NER,2,NE005002,populationTotal,104783
NER,2,NE005003,populationTotal,482852
NER,2,NE005004,populationTotal,684855
NER,2,NE005005,populationTotal,509858
NER,2,NE005006,populationTotal,506117
NER,2,NE005007,populationTotal,883060
NER,2,NE005008,populationTotal,320182
NER,2,NE005009,populationTotal,687884
NER,2,NE005010,populationTotal,31833
NER,2,NE005011,populationTotal,325731
NER,2,NE005012,populationTotal,77349
NER,2,NE005013,populationTotal,217788
NER,2,NE006001,populationTotal,207338
NER,2,NE006002,populationTotal,107189
NER,2,NE006003,populationTotal,121941
NER,2,NE006004,populationTotal,106050
NER,2,NE006005,populationTotal,103347
NER,2,NE006006,populationTotal,431218
NER,2,NE006007,populationTotal,367786
NER,2,NE006008,populationTotal,635658
NER,2,NE006009,populationTotal,439422
NER,2,NE006010,populationTotal,248010
NER,2,NE006011,populationTotal,596197
NER,2,NE006012,populationTotal,291877
NER,2,NE006013,populationTotal,257395
NER,2,NE007001,populationTotal,128641
NER,2,NE007002,populationTotal,616964
NER,2,NE007003,populationTotal,518787
NER,2,NE007004,populationTotal,515017
NER,2,NE007005,populationTotal,620601
NER,2,NE007006,populationTotal,1094585
NER,2,NE007007,populationTotal,619246
NER,2,NE007008,populationTotal,264611
NER,2,NE007009,populationTotal,645645
NER,2,NE007010,populationTotal,54694
NER,2,NE007011,populationTotal,657090
NER,2,NE008001,populationTotal,1488675
NER,3,NE001001001,populationTotal,69409
NER,3,NE001002001,populationTotal,21873
NER,3,NE001002002,populationTotal,58835
NER,3,NE001002003,populationTotal,73760
NER,3,NE001003001,populationTotal,3895
NER,3,NE001003002,populationTotal,3556
NER,3,NE001003003,populationTotal,11615
NER,3,NE001003004,populationTotal,2536
NER,3,NE001004001,populationTotal,36049
NER,3,NE001004002,populationTotal,13491
NER,3,NE001005001,populationTotal,100574
NER,3,NE001006001,populationTotal,57831
NER,3,NE001006002,populationTotal,61193
NER,3,NE001006003,populationTotal,74795
NER,3,NE001006004,populationTotal,187825
NER,3,NE002001001,populationTotal,135880
NER,3,NE002001002,populationTotal,3654
NER,3,NE002002001,populationTotal,87321
NER,3,NE002002002,populationTotal,61314
NER,3,NE002002003,populationTotal,76555
NER,3,NE002003001,populationTotal,155511
NER,3,NE002004001,populationTotal,11198
NER,3,NE002004002,populationTotal,171076
NER,3,NE002004003,populationTotal,33916
NER,3,NE002005001,populationTotal,117163
NER,3,NE002006001,populationTotal,73282
NER,3,NE002006002,populationTotal,97954
NER,3,NE003001001,populationTotal,96187
NER,3,NE003001002,populationTotal,56807
NER,3,NE003001003,populationTotal,41078
NER,3,NE003001004,populationTotal,40629
NER,3,NE003001005,populationTotal,29375
NER,3,NE003001006,populationTotal,31288
NER,3,NE003001007,populationTotal,44882
NER,3,NE003001008,populationTotal,41623
NER,3,NE003002001,populationTotal,72010
NER,3,NE003002002,populationTotal,73358
NER,3,NE003002003,populationTotal,18058
NER,3,NE003003001,populationTotal,130796
NER,3,NE003003002,populationTotal,96191
NER,3,NE003003003,populationTotal,83829
NER,3,NE003003004,populationTotal,42339
NER,3,NE003003005,populationTotal,158483
NER,3,NE003003006,populationTotal,44767
NER,3,NE003004001,populationTotal,153223
NER,3,NE003004002,populationTotal,83343
NER,3,NE003004003,populationTotal,47019
NER,3,NE003004004,populationTotal,67476
NER,3,NE003004005,populationTotal,42970
NER,3,NE003004006,populationTotal,65184
