countryCodeISO3,adminLevel,placeCode,indicator,value
PHL,3,PH012801000,populationTotal,1792
PHL,3,PH012802000,populationTotal,32215
PHL,3,PH012803000,populationTotal,31616
PHL,3,PH012804000,populationTotal,14672
PHL,3,PH012805000,populationTotal,55201
PHL,3,PH012806000,populationTotal,9777
PHL,3,PH012807000,populationTotal,1567
PHL,3,PH012808000,populationTotal,12184
PHL,3,PH012809000,populationTotal,38562
PHL,3,PH012810000,populationTotal,2947
PHL,3,PH012811000,populationTotal,19438
PHL,3,PH012812000,populationTotal,111125
PHL,3,PH012813000,populationTotal,17777
PHL,3,PH012814000,populationTotal,9506
PHL,3,PH012815000,populationTotal,23770
PHL,3,PH012816000,populationTotal,24866
PHL,3,PH012817000,populationTotal,28980
PHL,3,PH012818000,populationTotal,21497
PHL,3,PH012819000,populationTotal,17300
PHL,3,PH012820000,populationTotal,36736
PHL,3,PH012821000,populationTotal,25212
PHL,3,PH012822000,populationTotal,24121
PHL,3,PH012823000,populationTotal,32220
PHL,3,PH012901000,populationTotal,6695
PHL,3,PH012902000,populationTotal,7748
PHL,3,PH012903000,populationTotal,35731
PHL,3,PH012904000,populationTotal,12224
PHL,3,PH012905000,populationTotal,37501
PHL,3,PH012906000,populationTotal,60623
PHL,3,PH012907000,populationTotal,19861
PHL,3,PH012908000,populationTotal,17211
PHL,3,PH012909000,populationTotal,10748
PHL,3,PH012910000,populationTotal,4875
PHL,3,PH012911000,populationTotal,4647
PHL,3,PH012912000,populationTotal,30792
PHL,3,PH012913000,populationTotal,5259
PHL,3,PH012914000,populationTotal,44006
PHL,3,PH012915000,populationTotal,8573
PHL,3,PH012916000,populationTotal,11288
PHL,3,PH012917000,populationTotal,7407
PHL,3,PH012918000,populationTotal,8349
PHL,3,PH012919000,populationTotal,7787
PHL,3,PH012920000,populationTotal,26411
PHL,3,PH012921000,populationTotal,12758
PHL,3,PH012922000,populationTotal,15340
PHL,3,PH012923000,populationTotal,13945
PHL,3,PH012924000,populationTotal,39868
PHL,3,PH012925000,populationTotal,25402
