countryCodeISO3,adminLevel,placeCode,indicator,value
SLE,1,SL01,populationTotal,1992876
SLE,1,SL02,populationTotal,3043955
SLE,1,SL03,populationTotal,1748917
SLE,1,SL04,populationTotal,1820412
SLE,2,SL0101,populationTotal,638718
SLE,2,SL0102,populationTotal,740047
SLE,2,SL0103,populationTotal,614111
SLE,2,SL0201,populationTotal,735989
SLE,2,SL0202,populationTotal,419206
SLE,2,SL0203,populationTotal,497191
SLE,2,SL0204,populationTotal,746711
SLE,2,SL0205,populationTotal,644858
SLE,2,SL0301,populationTotal,698297
SLE,2,SL0302,populationTotal,243632
SLE,2,SL0303,populationTotal,386584
SLE,2,SL0304,populationTotal,420404
SLE,2,SL0401,populationTotal,539087
SLE,2,SL0402,populationTotal,1281325
SLE,3,SL010101,populationTotal,19223
SLE,3,SL010102,populationTotal,73170
SLE,3,SL010103,populationTotal,24133
SLE,3,SL010104,populationTotal,41593
SLE,3,SL010105,populationTotal,60251
SLE,3,SL010106,populationTotal,23801
SLE,3,SL010107,populationTotal,25098
SLE,3,SL010108,populationTotal,123526
SLE,3,SL010109,populationTotal,38516
SLE,3,SL010110,populationTotal,48706
SLE,3,SL010111,populationTotal,64982
SLE,3,SL010112,populationTotal,27242
SLE,3,SL010113,populationTotal,51190
SLE,3,SL010114,populationTotal,17895
SLE,3,SL010201,populationTotal,39482
SLE,3,SL010202,populationTotal,20076
SLE,3,SL010203,populationTotal,34852
SLE,3,SL010204,populationTotal,57402
SLE,3,SL010205,populationTotal,37456
SLE,3,SL010206,populationTotal,22541
SLE,3,SL010207,populationTotal,2200
SLE,3,SL010208,populationTotal,131428
SLE,3,SL010209,populationTotal,28550
SLE,3,SL010210,populationTotal,15657
SLE,3,SL010211,populationTotal,9899
SLE,3,SL010212,populationTotal,115345
SLE,3,SL010213,populationTotal,40722
SLE,3,SL010214,populationTotal,63316
SLE,3,SL010215,populationTotal,36229
SLE,3,SL010216,populationTotal,28098
SLE,3,SL010291,populationTotal,231477
SLE,3,SL010301,populationTotal,10892
SLE,3,SL010302,populationTotal,15491
SLE,3,SL010303,populationTotal,4875
SLE,3,SL010304,populationTotal,16510
SLE,3,SL010305,populationTotal,13798
SLE,3,SL010306,populationTotal,15098
SLE,3,SL010307,populationTotal,20958
SLE,3,SL010308,populationTotal,8587
SLE,3,SL010309,populationTotal,55913
SLE,3,SL010310,populationTotal,27896
SLE,3,SL010311,populationTotal,58179
SLE,3,SL010312,populationTotal,25839
SLE,3,SL010313,populationTotal,18621
SLE,3,SL010314,populationTotal,2557
SLE,3,SL010391,populationTotal,91590
SLE,3,SL020101,populationTotal,45588
SLE,3,SL020102,populationTotal,27103
SLE,3,SL020103,populationTotal,44443
SLE,3,SL020104,populationTotal,51550
SLE,3,SL020106,populationTotal,12617
SLE,3,SL020107,populationTotal,73508
SLE,3,SL020108,populationTotal,24449
SLE,3,SL020109,populationTotal,38322
SLE,3,SL020191,populationTotal,132848
SLE,3,SL020302,populationTotal,35201
SLE,3,SL020304,populationTotal,27525
SLE,3,SL020307,populationTotal,65649
SLE,3,SL020308,populationTotal,22490
SLE,3,SL020310,populationTotal,38817
SLE,3,SL020311,populationTotal,44534
SLE,3,SL020501,populationTotal,81627
SLE,3,SL020502,populationTotal,32850
SLE,3,SL020503,populationTotal,31339
SLE,3,SL020504,populationTotal,24039
SLE,3,SL020505,populationTotal,95721
SLE,3,SL020506,populationTotal,28788
SLE,3,SL020507,populationTotal,72699
SLE,3,SL020508,populationTotal,27966
SLE,3,SL020509,populationTotal,38870
SLE,3,SL020510,populationTotal,38947
SLE,3,SL020511,populationTotal,142867
SLE,3,SL020601,populationTotal,15831
SLE,3,SL020602,populationTotal,38102
SLE,3,SL020603,populationTotal,79189
SLE,3,SL020604,populationTotal,58451
SLE,3,SL020606,populationTotal,41490
SLE,3,SL030101,populationTotal,22483
SLE,3,SL030102,populationTotal,54967
SLE,3,SL030103,populationTotal,24644
SLE,3,SL030104,populationTotal,98140
SLE,3,SL030105,populationTotal,64670
SLE,3,SL030106,populationTotal,11360
SLE,3,SL030107,populationTotal,53524
SLE,3,SL030108,populationTotal,53640
SLE,3,SL030109,populationTotal,28506
SLE,3,SL030110,populationTotal,41318
SLE,3,SL030111,populationTotal,22679
SLE,3,SL030112,populationTotal,9361
