countryCodeISO3,adminLevel,placeCode,indicator,value
SWZ,1,SZ1,populationTotal,354495
SWZ,1,SZ2,populationTotal,395348
SWZ,1,SZ3,populationTotal,215699
SWZ,1,SZ4,populationTotal,236129
SWZ,2,SZ101,populationTotal,10767
SWZ,2,SZ102,populationTotal,26259
SWZ,2,SZ103,populationTotal,18379
SWZ,2,SZ104,populationTotal,31107
SWZ,2,SZ105,populationTotal,24003
SWZ,2,SZ106,populationTotal,20682
SWZ,2,SZ107,populationTotal,23753
SWZ,2,SZ108,populationTotal,20178
SWZ,2,SZ109,populationTotal,18960
SWZ,2,SZ110,populationTotal,39061
SWZ,2,SZ111,populationTotal,21461
SWZ,2,SZ112,populationTotal,50133
SWZ,2,SZ113,populationTotal,16630
SWZ,2,SZ114,populationTotal,33122
SWZ,2,SZ215,populationTotal,29875
SWZ,2,SZ216,populationTotal,23981
SWZ,2,SZ217,populationTotal,19953
SWZ,2,SZ218,populationTotal,21406
SWZ,2,SZ219,populationTotal,53160
SWZ,2,SZ220,populationTotal,16535
SWZ,2,SZ221,populationTotal,47574
SWZ,2,SZ222,populationTotal,35663
SWZ,2,SZ223,populationTotal,21535
SWZ,2,SZ224,populationTotal,14745
SWZ,2,SZ225,populationTotal,17065
SWZ,2,SZ226,populationTotal,15651
SWZ,2,SZ227,populationTotal,11146
SWZ,2,SZ228,populationTotal,7466
SWZ,2,SZ229,populationTotal,33695
SWZ,2,SZ230,populationTotal,25898
SWZ,2,SZ331,populationTotal,6495
SWZ,2,SZ332,populationTotal,7716
SWZ,2,SZ333,populationTotal,19279
SWZ,2,SZ334,populationTotal,16862
SWZ,2,SZ335,populationTotal,27285
SWZ,2,SZ336,populationTotal,27915
SWZ,2,SZ337,populationTotal,13436
SWZ,2,SZ338,populationTotal,9622
SWZ,2,SZ339,populationTotal,17139
SWZ,2,SZ340,populationTotal,13785
SWZ,2,SZ341,populationTotal,21514
SWZ,2,SZ342,populationTotal,12004
SWZ,2,SZ343,populationTotal,17261
SWZ,2,SZ344,populationTotal,5386
SWZ,2,SZ445,populationTotal,15690
SWZ,2,SZ446,populationTotal,34240
SWZ,2,SZ447,populationTotal,17729
SWZ,2,SZ448,populationTotal,28395
SWZ,2,SZ449,populationTotal,22736
SWZ,2,SZ450,populationTotal,16053
SWZ,2,SZ451,populationTotal,16966
SWZ,2,SZ452,populationTotal,32431
SWZ,2,SZ453,populationTotal,7828
SWZ,2,SZ454,populationTotal,19209
SWZ,2,SZ455,populationTotal,24852
