countryCodeISO3,adminLevel,placeCode,indicator,value
SYC,1,SC1,populationTotal,88819
SYC,1,SC2,populationTotal,11039
SYC,1,SC3,populationTotal,3906
SYC,1,SC4,populationTotal,3353
SYC,2,SC11,populationTotal,13910
SYC,2,SC12,populationTotal,14331
SYC,2,SC13,populationTotal,27651
SYC,2,SC14,populationTotal,15838
SYC,2,SC15,populationTotal,17089
SYC,2,SC26,populationTotal,11039
SYC,2,SC36,populationTotal,3906
SYC,2,SC47,populationTotal,3353
SYC,3,SC1109BA,populationTotal,3424
SYC,3,SC1116ER,populationTotal,5313
SYC,3,SC1117MB,populationTotal,4320
SYC,3,SC1122SL,populationTotal,4396
SYC,3,SC1127PI,populationTotal,1085
SYC,3,SC1218MF,populationTotal,3254
SYC,3,SC1219PA,populationTotal,5990
SYC,3,SC1224LM,populationTotal,4249
SYC,3,SC1225RC,populationTotal,3458
SYC,3,SC1301AA,populationTotal,5468
SYC,3,SC1304AC,populationTotal,7764
SYC,3,SC1305AR,populationTotal,6353
SYC,3,SC1311CA,populationTotal,6695
SYC,3,SC1320PL,populationTotal,3021
SYC,3,SC1323TA,populationTotal,3945
SYC,3,SC1402AB,populationTotal,5210
SYC,3,SC1406BL,populationTotal,5928
SYC,3,SC1413GM,populationTotal,5142
SYC,3,SC1421PG,populationTotal,3886
SYC,3,SC1503AE,populationTotal,5470
SYC,3,SC1508BV,populationTotal,6017
SYC,3,SC1510BO,populationTotal,5022
SYC,3,SC1512GL,populationTotal,5120
SYC,3,SC2607BS,populationTotal,8214
SYC,3,SC2614GP,populationTotal,5273
SYC,3,SC3615LD,populationTotal,4620
SYC,3,SC4726OI,populationTotal,4140
