countryCodeISO3,adminLevel,placeCode,indicator,value
TGO,1,TG01,populationTotal,882912
TGO,1,TG02,populationTotal,1099839
TGO,1,TG03,populationTotal,3737501
TGO,1,TG04,populationTotal,1959100
TGO,1,TG05,populationTotal,1169343
TGO,2,TG0101,populationTotal,291001
TGO,2,TG0102,populationTotal,9754
TGO,2,TG0103,populationTotal,98807
TGO,2,TG0104,populationTotal,236146
TGO,2,TG0105,populationTotal,247204
TGO,2,TG0201,populationTotal,143041
TGO,2,TG0202,populationTotal,147541
TGO,2,TG0203,populationTotal,80610
TGO,2,TG0204,populationTotal,251694
TGO,2,TG0205,populationTotal,80793
TGO,2,TG0206,populationTotal,134934
TGO,2,TG0207,populationTotal,261226
TGO,2,TG0301,populationTotal,95304
TGO,2,TG0302,populationTotal,100136
TGO,2,TG0303,populationTotal,810124
TGO,2,TG0304,populationTotal,216943
TGO,2,TG0305,populationTotal,719633
TGO,2,TG0306,populationTotal,214801
TGO,2,TG0307,populationTotal,182927
TGO,2,TG0308,populationTotal,336261
TGO,2,TG0309,populationTotal,1061372
TGO,2,TG0401,populationTotal,152512
TGO,2,TG0402,populationTotal,116911
TGO,2,TG0403,populationTotal,96703
TGO,2,TG0404,populationTotal,42035
TGO,2,TG0405,populationTotal,226596
TGO,2,TG0406,populationTotal,379320
TGO,2,TG0407,populationTotal,103836
TGO,2,TG0408,populationTotal,101692
TGO,2,TG0409,populationTotal,241723
TGO,2,TG0410,populationTotal,72796
TGO,2,TG0411,populationTotal,234521
TGO,2,TG0412,populationTotal,190455
TGO,2,TG0513,populationTotal,75748
TGO,2,TG0514,populationTotal,147769
TGO,2,TG0515,populationTotal,159977
TGO,2,TG0516,populationTotal,407601
TGO,2,TG0517,populationTotal,112239
TGO,2,TG0518,populationTotal,137688
TGO,2,TG0519,populationTotal,128321
TGO,3,TG010101,populationTotal,5966
TGO,3,TG010102,populationTotal,3422
TGO,3,TG010103,populationTotal,65774
TGO,3,TG010104,populationTotal,143280
TGO,3,TG010105,populationTotal,2752
TGO,3,TG010106,populationTotal,1271
TGO,3,TG010107,populationTotal,10343
TGO,3,TG010108,populationTotal,3909
TGO,3,TG010109,populationTotal,8523
TGO,3,TG010110,populationTotal,13552
TGO,3,TG010111,populationTotal,5641
TGO,3,TG010112,populationTotal,15351
TGO,3,TG010113,populationTotal,3545
TGO,3,TG010114,populationTotal,3290
TGO,3,TG010115,populationTotal,5789
TGO,3,TG010116,populationTotal,1773
TGO,3,TG010117,populationTotal,4293
TGO,3,TG010118,populationTotal,3321
TGO,3,TG010119,populationTotal,7792
TGO,3,TG010120,populationTotal,7184
TGO,3,TG010121,populationTotal,6376
TGO,3,TG010201,populationTotal,6935
TGO,3,TG010202,populationTotal,6374
TGO,3,TG010203,populationTotal,4951
TGO,3,TG010204,populationTotal,1913
TGO,3,TG010205,populationTotal,7910
TGO,3,TG010301,populationTotal,13403
TGO,3,TG010302,populationTotal,14932
TGO,3,TG010303,populationTotal,2083
TGO,3,TG010304,populationTotal,5000
TGO,3,TG010305,populationTotal,2033
TGO,3,TG010306,populationTotal,4743
TGO,3,TG010307,populationTotal,3244
TGO,3,TG010308,populationTotal,14282
TGO,3,TG010309,populationTotal,4028
TGO,3,TG010310,populationTotal,15043
TGO,3,TG010311,populationTotal,4111
TGO,3,TG010401,populationTotal,9209
TGO,3,TG010402,populationTotal,22339
TGO,3,TG010403,populationTotal,20492
TGO,3,TG010404,populationTotal,14192
TGO,3,TG010405,populationTotal,15994
TGO,3,TG010406,populationTotal,73192
TGO,3,TG010407,populationTotal,50220
TGO,3,TG010408,populationTotal,10186
TGO,3,TG010409,populationTotal,7868
TGO,3,TG010410,populationTotal,35938
TGO,3,TG010501,populationTotal,21079
TGO,3,TG010502,populationTotal,28591
TGO,3,TG010503,populationTotal,23493
TGO,3,TG010504,populationTotal,9230
TGO,3,TG010505,populationTotal,7712
TGO,3,TG010506,populationTotal,53942
TGO,3,TG010507,populationTotal,36650
TGO,3,TG010508,populationTotal,21530
TGO,3,TG010509,populationTotal,6813
TGO,3,TG010510,populationTotal,31847
TGO,3,TG010511,populationTotal,16004
TGO,3,TG010512,populationTotal,3459
TGO,3,TG020101,populationTotal,12010
TGO,3,TG020102,populationTotal,17394
TGO,3,TG020103,populationTotal,4818
TGO,3,TG020104,populationTotal,6082
TGO,3,TG020105,populationTotal,3731
TGO,3,TG020106,populationTotal,14474
TGO,3,TG020201,populationTotal,11102
TGO,3,TG020202,populationTotal,12578
TGO,3,TG020203,populationTotal,48418
TGO,3,TG020204,populationTotal,9066
TGO,3,TG020205,populationTotal,9914
TGO,3,TG020206,populationTotal,27461
TGO,3,TG020207,populationTotal,6686
TGO,3,TG020208,populationTotal,4533
TGO,3,TG020209,populationTotal,4703
TGO,3,TG020210,populationTotal,6626
TGO,3,TG020301,populationTotal,4788
TGO,3,TG020302,populationTotal,9626
TGO,3,TG020303,populationTotal,16692
TGO,3,TG020304,populationTotal,4166
TGO,3,TG020305,populationTotal,30490
TGO,3,TG020306,populationTotal,4948
TGO,3,TG020307,populationTotal,2581
TGO,3,TG020308,populationTotal,5117
TGO,3,TG020309,populationTotal,7448
TGO,3,TG020401,populationTotal,17616
TGO,3,TG020402,populationTotal,71586
TGO,3,TG020403,populationTotal,22449
TGO,3,TG020404,populationTotal,48692
TGO,3,TG020405,populationTotal,17987
