countryCodeISO3,adminLevel,placeCode,indicator,value
TZA,1,TZ01,populationTotal,2866243
TZA,1,TZ02,populationTotal,2450262
TZA,1,TZ03,populationTotal,2171181
TZA,1,TZ04,populationTotal,2895040
TZA,1,TZ05,populationTotal,3104899
TZA,1,TZ06,populationTotal,1518898
TZA,1,TZ07,populationTotal,7872295
TZA,1,TZ08,populationTotal,1118207
TZA,1,TZ09,populationTotal,1630895
TZA,1,TZ10,populationTotal,1890756
TZA,1,TZ11,populationTotal,1202991
TZA,1,TZ12,populationTotal,2629521
TZA,1,TZ13,populationTotal,2027433
TZA,1,TZ14,populationTotal,3389218
TZA,1,TZ15,populationTotal,1581912
TZA,1,TZ16,populationTotal,2771687
TZA,1,TZ17,populationTotal,2119415
TZA,1,TZ18,populationTotal,3825855
TZA,1,TZ19,populationTotal,4101127
TZA,1,TZ20,populationTotal,2449465
TZA,1,TZ21,populationTotal,2156966
TZA,1,TZ22,populationTotal,871927
TZA,1,TZ23,populationTotal,868348
TZA,1,TZ24,populationTotal,2145225
TZA,1,TZ25,populationTotal,2492832
TZA,1,TZ26,populationTotal,1346720
TZA,1,TZ51,populationTotal,279344
TZA,1,TZ52,populationTotal,154923
TZA,1,TZ53,populationTotal,1034292
TZA,1,TZ54,populationTotal,279030
TZA,1,TZ55,populationTotal,250810
TZA,2,TZ0101,populationTotal,348601
TZA,2,TZ0102,populationTotal,411801
TZA,2,TZ0103,populationTotal,432294
TZA,2,TZ0104,populationTotal,470406
TZA,2,TZ0105,populationTotal,565370
TZA,2,TZ0106,populationTotal,309761
TZA,2,TZ0107,populationTotal,328010
TZA,2,TZ0201,populationTotal,253931
TZA,2,TZ0202,populationTotal,349591
TZA,2,TZ0203,populationTotal,599579
TZA,2,TZ0204,populationTotal,326746
TZA,2,TZ0205,populationTotal,259145
TZA,2,TZ0206,populationTotal,461298
TZA,2,TZ0207,populationTotal,199972
TZA,2,TZ0301,populationTotal,317813
TZA,2,TZ0302,populationTotal,171122
TZA,2,TZ0303,populationTotal,376566
TZA,2,TZ0304,populationTotal,601841
TZA,2,TZ0305,populationTotal,290150
TZA,2,TZ0306,populationTotal,247868
TZA,2,TZ0307,populationTotal,165821
TZA,2,TZ0401,populationTotal,662438
TZA,2,TZ0402,populationTotal,324874
TZA,2,TZ0403,populationTotal,262768
TZA,2,TZ0404,populationTotal,346298
TZA,2,TZ0405,populationTotal,74332
TZA,2,TZ0406,populationTotal,430553
TZA,2,TZ0407,populationTotal,413833
TZA,2,TZ0408,populationTotal,164673
TZA,2,TZ0409,populationTotal,92769
TZA,2,TZ0410,populationTotal,122502
TZA,2,TZ0501,populationTotal,608117
TZA,2,TZ0502,populationTotal,359482
TZA,2,TZ0503,populationTotal,565967
TZA,2,TZ0504,populationTotal,390985
TZA,2,TZ0505,populationTotal,468198
TZA,2,TZ0506,populationTotal,421517
TZA,2,TZ0507,populationTotal,290633
TZA,2,TZ0601,populationTotal,456612
TZA,2,TZ0602,populationTotal,101467
TZA,2,TZ0603,populationTotal,123897
TZA,2,TZ0604,populationTotal,290839
TZA,2,TZ0605,populationTotal,266843
TZA,2,TZ0606,populationTotal,59917
TZA,2,TZ0607,populationTotal,219323
TZA,2,TZ0701,populationTotal,3018622
TZA,2,TZ0702,populationTotal,2353183
TZA,2,TZ0703,populationTotal,2500490
TZA,2,TZ0801,populationTotal,243833
TZA,2,TZ0802,populationTotal,212389
TZA,2,TZ0803,populationTotal,222627
TZA,2,TZ0804,populationTotal,124744
TZA,2,TZ0805,populationTotal,160919
TZA,2,TZ0806,populationTotal,153695
TZA,2,TZ0901,populationTotal,294544
TZA,2,TZ0902,populationTotal,262477
TZA,2,TZ0903,populationTotal,314593
TZA,2,TZ0904,populationTotal,292937
TZA,2,TZ0905,populationTotal,135063
TZA,2,TZ0906,populationTotal,195993
TZA,2,TZ0907,populationTotal,135288
TZA,2,TZ1001,populationTotal,403089
TZA,2,TZ1002,populationTotal,214120
TZA,2,TZ1003,populationTotal,477464
TZA,2,TZ1004,populationTotal,324978
