"adminLevel","placeCode","indicator","value"
"2","21UGA012009","population",264202
"2","21UGA003004","population",150801
"2","21UGA010001","population",260996
"2","21UGA013002","population",216791
"2","21UGA003002","population",331341
"2","21UGA008005","population",166282
"2","21UGA014003","population",288376
"2","21UGA004008","population",433457
"2","21UGA005007","population",568939
"2","21UGA003001","population",197200
"2","21UGA015004","population",225767
"2","21UGA003007","population",537787
"2","21UGA004003","population",461078
"2","21UGA012004","population",60774
"2","21UGA011001","population",475267
"2","21UGA011007","population",488676
"2","21UGA010005","population",261649
"2","21UGA010002","population",148107
"2","21UGA001005","population",196331
"2","21UGA002003","population",283444
"2","21UGA011013","population",1607860
"2","21UGA008003","population",494540
"2","21UGA014002","population",158758
"2","21UGA005004","population",377781
"2","21UGA011012","population",168403
"2","21UGA013003","population",229606
"2","21UGA005010","population",272999
"2","21UGA009006","population",347169
"2","21UGA011009","population",365216
"2","21UGA011002","population",64264
"2","21UGA015007","population",143169
"2","21UGA009004","population",189531
"2","21UGA005008","population",298021
"2","21UGA013009","population",385294
"2","21UGA005006","population",245896
"2","21UGA001007","population",147437
"2","21UGA009005","population",103928
"2","21UGA006005","population",119967
"2","21UGA001002","population",196142
"2","21UGA001004","population",291292
"2","21UGA014006","population",183913
"2","21UGA013008","population",350516
"2","21UGA009002","population",275153
"2","21UGA015009","population",242793
"2","21UGA006002","population",84849
"2","21UGA014007","population",439513
"2","21UGA005005","population",553120
"2","21UGA006004","population",133468
"2","21UGA003003","population",253798
"2","21UGA013001","population",352347
"2","21UGA002010","population",240131
"2","21UGA015008","population",709911
"2","21UGA014005","population",852430
"2","21UGA002009","population",136156
"2","21UGA015001","population",464983
"2","21UGA005003","population",301589
"2","21UGA009003","population",237891
"2","21UGA002008","population",527167
"2","21UGA002006","population",494997
"2","21UGA008007","population",110620
"2","21UGA001003","population",293377
"2","21UGA012001","population",163498
"2","21UGA004005","population",137907
"2","21UGA004006","population",261355
"2","21UGA012010","population",229438
"2","21UGA010004","population",212030
"2","21UGA002007","population",214694
"2","21UGA012007","population",284224
"2","21UGA011004","population",392376
"2","21UGA012008","population",87444
"2","21UGA012012","population",240380
"2","21UGA006001","population",214513
"2","21UGA001001","population",355320
"2","21UGA010003","population",190564
"2","21UGA003006","population",266521
"2","21UGA010007","population",459412
"2","21UGA008004","population",289418
"2","21UGA012002","population",106452
"2","21UGA012005","population",188493
"2","21UGA013005","population",204181
"2","21UGA002005","population",343186
"2","21UGA004001","population",89563
"2","21UGA014004","population",367618
"2","21UGA006006","population",183472
"2","21UGA011006","population",214420
"2","21UGA008008","population",225758
"2","21UGA002001","population",110563
"2","21UGA005011","population",243578
"2","21UGA011005","population",192634
"2","21UGA005001","population",503334
"2","21UGA010008","population",98995
"2","21UGA013006","population",298846
"2","21UGA015002","population",874965
"2","21UGA006009","population",264767
"2","21UGA015006","population",242237
"2","21UGA007001","population",1961014
"2","21UGA001008","population",275241
"2","21UGA006007","population",493001
"2","21UGA004004","population",218691
"2","21UGA008001","population",72285
"2","21UGA013007","population",184651
"2","21UGA011010","population",614266
"2","21UGA012006","population",222964
"2","21UGA009001","population",133385
"2","21UGA008002","population",139455
"2","21UGA005009","population",524847
"2","21UGA002002","population",276422
"2","21UGA011011","population",217808
"2","21UGA011008","population",335708
"2","21UGA002004","population",464504
"2","21UGA014008","population",101129
"2","21UGA001006","population",66800
"2","21UGA014001","population",312458
"2","21UGA004007","population",366582
"2","21UGA006008","population",225376
"2","21UGA010009","population",437166
"2","21UGA015003","population",293731
"2","21UGA006003","population",142082
"2","21UGA012003","population",164476
"2","21UGA012011","population",300397
"2","21UGA015005","population",525316
"2","21UGA003005","population",204784
"2","21UGA011003","population",331427
"2","21UGA004002","population",387623
"2","21UGA010006","population",200180
"2","21UGA013004","population",177568
"2","21UGA008006","population",85043
"2","21UGA005002","population",191844
