"adminLevel","placeCode","indicator","value"
"1","ZM10","population",1641334
"1","ZM20","population",2338314
"1","ZM30","population",1886114
"1","ZM40","population",1293584
"1","ZM50","population",2840228
"1","ZM11","population",894335
"1","ZM60","population",1385941
"1","ZM70","population",916642
"1","ZM80","population",1919048
"1","ZM90","population",1034655
"2","ZM8006","population",170942
"2","ZM8011","population",122055
"2","ZM8002","population",65575
"2","ZM8004","population",225691
"2","ZM8001","population",235564
"2","ZM8005","population",134510
"2","ZM8010","population",51568
"2","ZM8008","population",221455
"2","ZM8009","population",114732
"2","ZM9010","population",33292
"2","ZM9005","population",68531
"2","ZM1009","population",95951
"2","ZM5003","population",27131
"2","ZM5007","population",62049
"2","ZM9004","population",156024
"2","ZM1002","population",225118
"2","ZM3001","population",83906
"2","ZM3007","population",80163
"2","ZM3004","population",188532
"2","ZM3008","population",339399
"2","ZM1010","population",32811
"2","ZM2008","population",109790
"2","ZM3010","population",144493
"2","ZM7001","population",39098
"2","ZM3006","population",86946
"2","ZM7003","population",86021
"2","ZM2004","population",680458
"2","ZM2003","population",81355
"2","ZM2009","population",157405
"2","ZM1008","population",81627
"2","ZM3011","population",138568
"2","ZM7006","population",222186
"2","ZM4004","population",41168
"2","ZM7005","population",133904
"2","ZM4007","population",91967
"2","ZM6001","population",105729
"2","ZM4003","population",354653
"2","ZM1112","population",124558
"2","ZM6006","population",82509
"2","ZM1119","population",63801
"2","ZM6005","population",308831
"2","ZM6011","population",168713
"2","ZM4002","population",106918
"2","ZM6009","population",49221
"2","ZM1111","population",148489
"2","ZM4006","population",189538
"2","ZM6010","population",127070
"2","ZM6008","population",59242
"2","ZM4001","population",126651
"2","ZM2007","population",129293
"2","ZM2005","population",162079
"2","ZM2010","population",557704
"2","ZM5006","population",60667
"2","ZM4008","population",59021
"2","ZM1114","population",100562
"2","ZM1004","population",166688
"2","ZM5001","population",245264
"2","ZM1007","population",122264
"2","ZM9011","population",35532
"2","ZM9015","population",47461
"2","ZM9008","population",56866
"2","ZM6004","population",82899
"2","ZM4011","population",29110
"2","ZM8013","population",103727
"2","ZM3013","population",34769
"2","ZM9006","population",56331
"2","ZM1006","population",113232
"2","ZM7010","population",64756
"2","ZM4012","population",56639
"2","ZM8003","population",68966
