id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,9486,ETH,population_u5,3
2,ET010102,7133,ETH,population_u5,3
3,ET010103,8810,ETH,population_u5,3
4,ET010104,11343,ETH,population_u5,3
5,ET010105,12362,ETH,population_u5,3
6,ET010106,10333,ETH,population_u5,3
7,ET010107,4814,ETH,population_u5,3
8,ET010108,13336,ETH,population_u5,3
9,ET010109,10117,ETH,population_u5,3
10,ET010110,5495,ETH,population_u5,3
11,ET010111,2484,ETH,population_u5,3
12,ET010112,5002,ETH,population_u5,3
13,ET010113,10178,ETH,population_u5,3
14,ET010114,1632,ETH,population_u5,3
15,ET010115,10461,ETH,population_u5,3
16,ET010116,1378,ETH,population_u5,3
17,ET010201,8490,ETH,population_u5,3
18,ET010202,13538,ETH,population_u5,3
19,ET010203,6992,ETH,population_u5,3
20,ET010204,16471,ETH,population_u5,3
21,ET010205,10253,ETH,population_u5,3
22,ET010206,11751,ETH,population_u5,3
23,ET010207,10163,ETH,population_u5,3
24,ET010208,10979,ETH,population_u5,3
25,ET010209,9108,ETH,population_u5,3
26,ET010210,10275,ETH,population_u5,3
27,ET010211,4554,ETH,population_u5,3
28,ET010212,11412,ETH,population_u5,3
29,ET010213,12593,ETH,population_u5,3
30,ET010214,6541,ETH,population_u5,3
31,ET010215,6021,ETH,population_u5,3
32,ET010216,6607,ETH,population_u5,3
33,ET010217,8978,ETH,population_u5,3
34,ET010218,7112,ETH,population_u5,3
35,ET010219,7367,ETH,population_u5,3
36,ET010220,1742,ETH,population_u5,3
37,ET010221,9762,ETH,population_u5,3
38,ET010222,6401,ETH,population_u5,3
39,ET010301,10323,ETH,population_u5,3
40,ET010302,4135,ETH,population_u5,3
41,ET010303,8790,ETH,population_u5,3
42,ET010304,13360,ETH,population_u5,3
43,ET010305,14791,ETH,population_u5,3
44,ET010306,11583,ETH,population_u5,3
45,ET010307,11726,ETH,population_u5,3
46,ET010308,16226,ETH,population_u5,3
47,ET010309,8522,ETH,population_u5,3
48,ET010310,3751,ETH,population_u5,3
49,ET010311,2033,ETH,population_u5,3
50,ET010312,1208,ETH,population_u5,3
51,ET010313,1173,ETH,population_u5,3
52,ET010314,11008,ETH,population_u5,3
53,ET010315,1314,ETH,population_u5,3
54,ET010316,9686,ETH,population_u5,3
55,ET010317,3857,ETH,population_u5,3
56,ET010318,1254,ETH,population_u5,3
57,ET010401,4787,ETH,population_u5,3
58,ET010402,3788,ETH,population_u5,3
59,ET010403,2640,ETH,population_u5,3
60,ET010404,8424,ETH,population_u5,3
61,ET010405,10591,ETH,population_u5,3
62,ET010406,13923,ETH,population_u5,3
63,ET010407,11903,ETH,population_u5,3
64,ET010408,14103,ETH,population_u5,3
65,ET010409,6609,ETH,population_u5,3
66,ET010410,4748,ETH,population_u5,3
67,ET010411,9385,ETH,population_u5,3
68,ET010412,2304,ETH,population_u5,3
69,ET010413,5134,ETH,population_u5,3
70,ET010414,8104,ETH,population_u5,3
71,ET010501,15381,ETH,population_u5,3
72,ET010502,15373,ETH,population_u5,3
73,ET010503,12723,ETH,population_u5,3
74,ET010504,6140,ETH,population_u5,3
75,ET010505,2568,ETH,population_u5,3
76,ET010506,2700,ETH,population_u5,3
77,ET010507,5725,ETH,population_u5,3
78,ET010508,1381,ETH,population_u5,3
79,ET010509,1514,ETH,population_u5,3
80,ET010601,10044,ETH,population_u5,3
81,ET010602,16435,ETH,population_u5,3
82,ET010603,12969,ETH,population_u5,3
83,ET010604,9408,ETH,population_u5,3
84,ET010605,1163,ETH,population_u5,3
85,ET010606,10827,ETH,population_u5,3
86,ET010607,1298,ETH,population_u5,3
87,ET010608,7481,ETH,population_u5,3
88,ET010701,68915,ETH,population_u5,3
89,ET020101,14055,ETH,population_u5,3
90,ET020102,18705,ETH,population_u5,3
