index,placeCode,value,countryCodeISO3,adminLevel,indicator
0,PH150708000,2560,PHL,3,total_houses
1,PH150709000,3647,PHL,3,total_houses
2,PH150702000,14751,PHL,3,total_houses
3,PH150710000,2747,PHL,3,total_houses
4,PH150712000,3921,PHL,3,total_houses
5,PH150703000,4440,PHL,3,total_houses
6,PH150704000,6019,PHL,3,total_houses
7,PH150705000,7388,PHL,3,total_houses
8,PH150713000,3069,PHL,3,total_houses
9,PH150706000,3117,PHL,3,total_houses
10,PH150707000,2985,PHL,3,total_houses
11,PH150711000,3060,PHL,3,total_houses
12,PH153601000,2087,PHL,3,total_houses
13,PH153602000,4685,PHL,3,total_houses
14,PH153603000,3960,PHL,3,total_houses
15,PH153604000,2517,PHL,3,total_houses
16,PH153605000,2749,PHL,3,total_houses
17,PH153633000,1550,PHL,3,total_houses
18,PH153606000,2227,PHL,3,total_houses
19,PH153637000,1776,PHL,3,total_houses
20,PH153607000,2491,PHL,3,total_houses
21,PH153632000,1820,PHL,3,total_houses
22,PH153624000,1976,PHL,3,total_houses
23,PH153609000,2390,PHL,3,total_houses
24,PH153610000,1716,PHL,3,total_houses
25,PH153639000,2456,PHL,3,total_houses
26,PH153611000,3336,PHL,3,total_houses
27,PH153641000,835,PHL,3,total_houses
28,PH153612000,2263,PHL,3,total_houses
29,PH153636000,1782,PHL,3,total_houses
30,PH153613000,3332,PHL,3,total_houses
31,PH153614000,2263,PHL,3,total_houses
32,PH153634000,2954,PHL,3,total_houses
33,PH153615000,6172,PHL,3,total_houses
34,PH153616000,4083,PHL,3,total_houses
35,PH153617000,20121,PHL,3,total_houses
36,PH153631000,2790,PHL,3,total_houses
37,PH153618000,3022,PHL,3,total_houses
38,PH153619000,1161,PHL,3,total_houses
39,PH153620000,1331,PHL,3,total_houses
40,PH153621000,3756,PHL,3,total_houses
41,PH153635000,2342,PHL,3,total_houses
42,PH153622000,2469,PHL,3,total_houses
43,PH153623000,1415,PHL,3,total_houses
44,PH153625000,2275,PHL,3,total_houses
45,PH153640000,1223,PHL,3,total_houses
46,PH153638000,1283,PHL,3,total_houses
47,PH153626000,2022,PHL,3,total_houses
48,PH153627000,1987,PHL,3,total_houses
49,PH153628000,1685,PHL,3,total_houses
50,PH153629000,2170,PHL,3,total_houses
51,PH153630000,8900,PHL,3,total_houses
52,PH153801000,3910,PHL,3,total_houses
53,PH153818000,4485,PHL,3,total_houses
54,PH153802000,5540,PHL,3,total_houses
55,PH153803000,7281,PHL,3,total_houses
56,PH153828000,3768,PHL,3,total_houses
57,PH153831000,3796,PHL,3,total_houses
58,PH153830000,3839,PHL,3,total_houses
59,PH153835000,4308,PHL,3,total_houses
60,PH153807000,16943,PHL,3,total_houses
61,PH153805000,4642,PHL,3,total_houses
62,PH153806000,4167,PHL,3,total_houses
63,PH153836000,2597,PHL,3,total_houses
64,PH153826000,4354,PHL,3,total_houses
65,PH153827000,1769,PHL,3,total_houses
