id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET050699,671,ETH,total_idps,3
2,ET020203,941,ETH,total_idps,3
3,ET020209,0,ETH,total_idps,3
4,ET041904,0,ETH,total_idps,3
5,ET130109,125,ETH,total_idps,3
6,ET041905,0,ETH,total_idps,3
7,ET041513,13907,ETH,total_idps,3
8,ET041910,0,ETH,total_idps,3
9,ET070621,3022,ETH,total_idps,3
10,ET030805,0,ETH,total_idps,3
11,ET010210,0,ETH,total_idps,3
12,ET070102,0,ETH,total_idps,3
13,ET010211,0,ETH,total_idps,3
14,ET040609,0,ETH,total_idps,3
15,ET120201,0,ETH,total_idps,3
16,ET130108,169,ETH,total_idps,3
17,ET040516,0,ETH,total_idps,3
18,ET040706,0,ETH,total_idps,3
19,ET041710,179,ETH,total_idps,3
20,ET050602,17205,ETH,total_idps,3
21,ET040703,0,ETH,total_idps,3
22,ET040714,0,ETH,total_idps,3
23,ET040708,0,ETH,total_idps,3
24,ET020109,786,ETH,total_idps,3
25,ET040513,0,ETH,total_idps,3
26,ET030101,0,ETH,total_idps,3
27,ET140108,0,ETH,total_idps,3
28,ET150109,0,ETH,total_idps,3
29,ET010207,0,ETH,total_idps,3
30,ET030799,0,ETH,total_idps,3
31,ET010111,0,ETH,total_idps,3
32,ET010112,0,ETH,total_idps,3
33,ET010308,0,ETH,total_idps,3
34,ET010607,0,ETH,total_idps,3
35,ET070309,0,ETH,total_idps,3
36,ET030299,81,ETH,total_idps,3
37,ET070905,0,ETH,total_idps,3
38,ET041403,0,ETH,total_idps,3
39,ET041492,0,ETH,total_idps,3
40,ET010204,0,ETH,total_idps,3
41,ET010212,0,ETH,total_idps,3
42,ET020104,10615,ETH,total_idps,3
43,ET050105,33952,ETH,total_idps,3
44,ET020207,1719,ETH,total_idps,3
45,ET041482,0,ETH,total_idps,3
46,ET041104,147,ETH,total_idps,3
47,ET040417,0,ETH,total_idps,3
48,ET010316,0,ETH,total_idps,3
49,ET010202,0,ETH,total_idps,3
50,ET010215,0,ETH,total_idps,3
51,ET042012,0,ETH,total_idps,3
52,ET140101,5854,ETH,total_idps,3
53,ET120101,0,ETH,total_idps,3
54,ET010411,0,ETH,total_idps,3
55,ET030408,0,ETH,total_idps,3
56,ET040311,0,ETH,total_idps,3
57,ET040617,0,ETH,total_idps,3
58,ET030599,0,ETH,total_idps,3
59,ET160016,0,ETH,total_idps,3
60,ET160005,0,ETH,total_idps,3
61,ET160021,0,ETH,total_idps,3
62,ET031115,0,ETH,total_idps,3
63,ET040302,0,ETH,total_idps,3
64,ET072001,0,ETH,total_idps,3
65,ET071205,22234,ETH,total_idps,3
