id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,226,ETH,travel_time_cities,3
2,ET010102,185,ETH,travel_time_cities,3
3,ET010103,154,ETH,travel_time_cities,3
4,ET010104,127,ETH,travel_time_cities,3
5,ET010105,162,ETH,travel_time_cities,3
6,ET010106,197,ETH,travel_time_cities,3
7,ET010107,153,ETH,travel_time_cities,3
8,ET010108,0,ETH,travel_time_cities,3
9,ET010109,80,ETH,travel_time_cities,3
10,ET010110,141,ETH,travel_time_cities,3
11,ET010111,123,ETH,travel_time_cities,3
12,ET010112,173,ETH,travel_time_cities,3
13,ET010113,144,ETH,travel_time_cities,3
14,ET010114,13,ETH,travel_time_cities,3
15,ET010115,123,ETH,travel_time_cities,3
16,ET010116,10,ETH,travel_time_cities,3
17,ET010201,153,ETH,travel_time_cities,3
18,ET010202,64,ETH,travel_time_cities,3
19,ET010203,117,ETH,travel_time_cities,3
20,ET010204,50,ETH,travel_time_cities,3
21,ET010205,75,ETH,travel_time_cities,3
22,ET010206,87,ETH,travel_time_cities,3
23,ET010207,135,ETH,travel_time_cities,3
24,ET010208,202,ETH,travel_time_cities,3
25,ET010209,165,ETH,travel_time_cities,3
26,ET010210,190,ETH,travel_time_cities,3
27,ET010211,113,ETH,travel_time_cities,3
28,ET010212,1,ETH,travel_time_cities,3
29,ET010213,0,ETH,travel_time_cities,3
30,ET010214,93,ETH,travel_time_cities,3
31,ET010215,99,ETH,travel_time_cities,3
32,ET010216,119,ETH,travel_time_cities,3
33,ET010217,86,ETH,travel_time_cities,3
34,ET010218,139,ETH,travel_time_cities,3
35,ET010219,97,ETH,travel_time_cities,3
36,ET010220,21,ETH,travel_time_cities,3
37,ET010221,127,ETH,travel_time_cities,3
38,ET010222,157,ETH,travel_time_cities,3
39,ET010301,57,ETH,travel_time_cities,3
40,ET010302,235,ETH,travel_time_cities,3
41,ET010303,140,ETH,travel_time_cities,3
42,ET010304,66,ETH,travel_time_cities,3
43,ET010305,64,ETH,travel_time_cities,3
44,ET010306,40,ETH,travel_time_cities,3
45,ET010307,122,ETH,travel_time_cities,3
46,ET010308,3,ETH,travel_time_cities,3
47,ET010309,23,ETH,travel_time_cities,3
48,ET010310,53,ETH,travel_time_cities,3
49,ET010311,8,ETH,travel_time_cities,3
50,ET010312,30,ETH,travel_time_cities,3
51,ET010313,18,ETH,travel_time_cities,3
52,ET010314,112,ETH,travel_time_cities,3
53,ET010315,47,ETH,travel_time_cities,3
54,ET010316,107,ETH,travel_time_cities,3
55,ET010317,110,ETH,travel_time_cities,3
56,ET010318,18,ETH,travel_time_cities,3
57,ET010401,177,ETH,travel_time_cities,3
58,ET010402,182,ETH,travel_time_cities,3
59,ET010403,169,ETH,travel_time_cities,3
60,ET010404,75,ETH,travel_time_cities,3
61,ET010405,92,ETH,travel_time_cities,3
62,ET010406,139,ETH,travel_time_cities,3
63,ET010407,96,ETH,travel_time_cities,3
64,ET010408,103,ETH,travel_time_cities,3
65,ET010409,9,ETH,travel_time_cities,3
66,ET010410,9,ETH,travel_time_cities,3
67,ET010411,10,ETH,travel_time_cities,3
68,ET010412,25,ETH,travel_time_cities,3
69,ET010413,146,ETH,travel_time_cities,3
70,ET010414,147,ETH,travel_time_cities,3
71,ET010501,231,ETH,travel_time_cities,3
72,ET010502,233,ETH,travel_time_cities,3
73,ET010503,217,ETH,travel_time_cities,3
74,ET010504,147,ETH,travel_time_cities,3
75,ET010505,338,ETH,travel_time_cities,3
76,ET010506,232,ETH,travel_time_cities,3
77,ET010507,180,ETH,travel_time_cities,3
78,ET010508,115,ETH,travel_time_cities,3
79,ET010509,111,ETH,travel_time_cities,3
80,ET010601,134,ETH,travel_time_cities,3
81,ET010602,76,ETH,travel_time_cities,3
82,ET010603,135,ETH,travel_time_cities,3
83,ET010604,120,ETH,travel_time_cities,3
84,ET010605,65,ETH,travel_time_cities,3
85,ET010606,190,ETH,travel_time_cities,3
86,ET010607,25,ETH,travel_time_cities,3
87,ET010608,161,ETH,travel_time_cities,3
88,ET010701,19,ETH,travel_time_cities,3
89,ET020101,331,ETH,travel_time_cities,3
90,ET020102,272,ETH,travel_time_cities,3
91,ET020103,332,ETH,travel_time_cities,3
92,ET020104,487,ETH,travel_time_cities,3
93,ET020105,202,ETH,travel_time_cities,3
94,ET020106,132,ETH,travel_time_cities,3
95,ET020107,128,ETH,travel_time_cities,3
96,ET020108,421,ETH,travel_time_cities,3
97,ET020109,174,ETH,travel_time_cities,3
98,ET020110,592,ETH,travel_time_cities,3
99,ET020111,202,ETH,travel_time_cities,3
100,ET020198,123,ETH,travel_time_cities,3
101,ET020201,366,ETH,travel_time_cities,3
102,ET020202,166,ETH,travel_time_cities,3
103,ET020203,178,ETH,travel_time_cities,3
104,ET020204,431,ETH,travel_time_cities,3
105,ET020205,261,ETH,travel_time_cities,3
106,ET020206,224,ETH,travel_time_cities,3
107,ET020207,450,ETH,travel_time_cities,3
108,ET020208,509,ETH,travel_time_cities,3
109,ET020209,72,ETH,travel_time_cities,3
110,ET020301,97,ETH,travel_time_cities,3
111,ET020302,112,ETH,travel_time_cities,3
112,ET020303,308,ETH,travel_time_cities,3
113,ET020304,217,ETH,travel_time_cities,3
114,ET020305,266,ETH,travel_time_cities,3
115,ET020306,372,ETH,travel_time_cities,3
116,ET020307,201,ETH,travel_time_cities,3
117,ET020396,39,ETH,travel_time_cities,3
118,ET020401,413,ETH,travel_time_cities,3
