id,placeCode,value,countryCodeISO3,indicator,adminLevel
1,ET010101,125,ETH,walking_travel_time_to_health,3
2,ET010102,95,ETH,walking_travel_time_to_health,3
3,ET010103,132,ETH,walking_travel_time_to_health,3
4,ET010104,99,ETH,walking_travel_time_to_health,3
5,ET010105,137,ETH,walking_travel_time_to_health,3
6,ET010106,202,ETH,walking_travel_time_to_health,3
7,ET010107,52,ETH,walking_travel_time_to_health,3
8,ET010108,14,ETH,walking_travel_time_to_health,3
9,ET010109,71,ETH,walking_travel_time_to_health,3
10,ET010110,88,ETH,walking_travel_time_to_health,3
11,ET010111,78,ETH,walking_travel_time_to_health,3
12,ET010112,102,ETH,walking_travel_time_to_health,3
13,ET010113,108,ETH,walking_travel_time_to_health,3
14,ET010114,24,ETH,walking_travel_time_to_health,3
15,ET010115,119,ETH,walking_travel_time_to_health,3
16,ET010116,13,ETH,walking_travel_time_to_health,3
17,ET010201,91,ETH,walking_travel_time_to_health,3
18,ET010202,61,ETH,walking_travel_time_to_health,3
19,ET010203,60,ETH,walking_travel_time_to_health,3
20,ET010204,70,ETH,walking_travel_time_to_health,3
21,ET010205,62,ETH,walking_travel_time_to_health,3
22,ET010206,67,ETH,walking_travel_time_to_health,3
23,ET010207,79,ETH,walking_travel_time_to_health,3
24,ET010208,127,ETH,walking_travel_time_to_health,3
25,ET010209,69,ETH,walking_travel_time_to_health,3
26,ET010210,106,ETH,walking_travel_time_to_health,3
27,ET010211,27,ETH,walking_travel_time_to_health,3
28,ET010212,29,ETH,walking_travel_time_to_health,3
29,ET010213,16,ETH,walking_travel_time_to_health,3
30,ET010214,78,ETH,walking_travel_time_to_health,3
31,ET010215,81,ETH,walking_travel_time_to_health,3
32,ET010216,87,ETH,walking_travel_time_to_health,3
33,ET010217,63,ETH,walking_travel_time_to_health,3
34,ET010218,83,ETH,walking_travel_time_to_health,3
35,ET010219,60,ETH,walking_travel_time_to_health,3
36,ET010220,49,ETH,walking_travel_time_to_health,3
37,ET010221,80,ETH,walking_travel_time_to_health,3
38,ET010222,77,ETH,walking_travel_time_to_health,3
39,ET010301,46,ETH,walking_travel_time_to_health,3
40,ET010302,209,ETH,walking_travel_time_to_health,3
41,ET010303,93,ETH,walking_travel_time_to_health,3
42,ET010304,53,ETH,walking_travel_time_to_health,3
43,ET010305,56,ETH,walking_travel_time_to_health,3
44,ET010306,60,ETH,walking_travel_time_to_health,3
45,ET010307,95,ETH,walking_travel_time_to_health,3
46,ET010308,17,ETH,walking_travel_time_to_health,3
47,ET010309,26,ETH,walking_travel_time_to_health,3
48,ET010310,52,ETH,walking_travel_time_to_health,3
49,ET010311,22,ETH,walking_travel_time_to_health,3
50,ET010312,31,ETH,walking_travel_time_to_health,3
51,ET010313,20,ETH,walking_travel_time_to_health,3
52,ET010314,90,ETH,walking_travel_time_to_health,3
53,ET010315,6,ETH,walking_travel_time_to_health,3
54,ET010316,135,ETH,walking_travel_time_to_health,3
55,ET010317,81,ETH,walking_travel_time_to_health,3
56,ET010318,7,ETH,walking_travel_time_to_health,3
57,ET010401,102,ETH,walking_travel_time_to_health,3
58,ET010402,70,ETH,walking_travel_time_to_health,3
59,ET010403,96,ETH,walking_travel_time_to_health,3
60,ET010404,104,ETH,walking_travel_time_to_health,3
61,ET010405,83,ETH,walking_travel_time_to_health,3
62,ET010406,117,ETH,walking_travel_time_to_health,3
63,ET010407,122,ETH,walking_travel_time_to_health,3
64,ET010408,87,ETH,walking_travel_time_to_health,3
65,ET010409,13,ETH,walking_travel_time_to_health,3
66,ET010410,20,ETH,walking_travel_time_to_health,3
67,ET010411,29,ETH,walking_travel_time_to_health,3
68,ET010412,15,ETH,walking_travel_time_to_health,3
69,ET010413,87,ETH,walking_travel_time_to_health,3
70,ET010414,115,ETH,walking_travel_time_to_health,3
71,ET010501,177,ETH,walking_travel_time_to_health,3
72,ET010502,181,ETH,walking_travel_time_to_health,3
73,ET010503,116,ETH,walking_travel_time_to_health,3
74,ET010504,63,ETH,walking_travel_time_to_health,3
75,ET010505,263,ETH,walking_travel_time_to_health,3
76,ET010506,188,ETH,walking_travel_time_to_health,3
77,ET010507,127,ETH,walking_travel_time_to_health,3
78,ET010508,116,ETH,walking_travel_time_to_health,3
79,ET010509,166,ETH,walking_travel_time_to_health,3
80,ET010601,83,ETH,walking_travel_time_to_health,3
81,ET010602,83,ETH,walking_travel_time_to_health,3
82,ET010603,111,ETH,walking_travel_time_to_health,3
83,ET010604,60,ETH,walking_travel_time_to_health,3
84,ET010605,12,ETH,walking_travel_time_to_health,3
85,ET010606,105,ETH,walking_travel_time_to_health,3
86,ET010607,34,ETH,walking_travel_time_to_health,3
87,ET010608,154,ETH,walking_travel_time_to_health,3
88,ET010701,53,ETH,walking_travel_time_to_health,3
89,ET020101,344,ETH,walking_travel_time_to_health,3
90,ET020102,525,ETH,walking_travel_time_to_health,3
91,ET020103,284,ETH,walking_travel_time_to_health,3
92,ET020104,417,ETH,walking_travel_time_to_health,3
93,ET020105,260,ETH,walking_travel_time_to_health,3
94,ET020106,311,ETH,walking_travel_time_to_health,3
95,ET020107,23,ETH,walking_travel_time_to_health,3
96,ET020108,825,ETH,walking_travel_time_to_health,3
97,ET020109,243,ETH,walking_travel_time_to_health,3
98,ET020110,363,ETH,walking_travel_time_to_health,3
99,ET020111,82,ETH,walking_travel_time_to_health,3
100,ET020198,47,ETH,walking_travel_time_to_health,3
101,ET020201,401,ETH,walking_travel_time_to_health,3
102,ET020202,113,ETH,walking_travel_time_to_health,3
103,ET020203,304,ETH,walking_travel_time_to_health,3
104,ET020204,326,ETH,walking_travel_time_to_health,3
105,ET020205,253,ETH,walking_travel_time_to_health,3
106,ET020206,286,ETH,walking_travel_time_to_health,3
107,ET020207,466,ETH,walking_travel_time_to_health,3
108,ET020208,733,ETH,walking_travel_time_to_health,3
109,ET020209,96,ETH,walking_travel_time_to_health,3
110,ET020301,106,ETH,walking_travel_time_to_health,3
111,ET020302,114,ETH,walking_travel_time_to_health,3
112,ET020303,535,ETH,walking_travel_time_to_health,3
113,ET020304,150,ETH,walking_travel_time_to_health,3
114,ET020305,246,ETH,walking_travel_time_to_health,3
115,ET020306,204,ETH,walking_travel_time_to_health,3
116,ET020307,239,ETH,walking_travel_time_to_health,3
117,ET020396,15,ETH,walking_travel_time_to_health,3
118,ET020401,287,ETH,walking_travel_time_to_health,3
119,ET020402,283,ETH,walking_travel_time_to_health,3
120,ET020403,410,ETH,walking_travel_time_to_health,3
121,ET020404,185,ETH,walking_travel_time_to_health,3
122,ET020405,158,ETH,walking_travel_time_to_health,3
123,ET020501,265,ETH,walking_travel_time_to_health,3
124,ET020502,152,ETH,walking_travel_time_to_health,3
125,ET020503,182,ETH,walking_travel_time_to_health,3
126,ET020504,238,ETH,walking_travel_time_to_health,3
127,ET020505,271,ETH,walking_travel_time_to_health,3
128,ET030101,145,ETH,walking_travel_time_to_health,3
129,ET030102,173,ETH,walking_travel_time_to_health,3
130,ET030103,143,ETH,walking_travel_time_to_health,3
131,ET030104,156,ETH,walking_travel_time_to_health,3
132,ET030105,83,ETH,walking_travel_time_to_health,3
133,ET030106,12,ETH,walking_travel_time_to_health,3
134,ET030119,182,ETH,walking_travel_time_to_health,3
135,ET030198,24,ETH,walking_travel_time_to_health,3
136,ET030201,172,ETH,walking_travel_time_to_health,3
137,ET030202,97,ETH,walking_travel_time_to_health,3
138,ET030203,99,ETH,walking_travel_time_to_health,3
139,ET030204,72,ETH,walking_travel_time_to_health,3
140,ET030205,175,ETH,walking_travel_time_to_health,3
141,ET030206,119,ETH,walking_travel_time_to_health,3
142,ET030207,162,ETH,walking_travel_time_to_health,3
143,ET030208,106,ETH,walking_travel_time_to_health,3
144,ET030209,105,ETH,walking_travel_time_to_health,3
145,ET030210,50,ETH,walking_travel_time_to_health,3
146,ET030211,111,ETH,walking_travel_time_to_health,3
147,ET030212,115,ETH,walking_travel_time_to_health,3
148,ET030213,269,ETH,walking_travel_time_to_health,3
149,ET030214,177,ETH,walking_travel_time_to_health,3
150,ET030215,66,ETH,walking_travel_time_to_health,3
151,ET030216,12,ETH,walking_travel_time_to_health,3
152,ET030217,12,ETH,walking_travel_time_to_health,3
153,ET030218,18,ETH,walking_travel_time_to_health,3
154,ET030293,11,ETH,walking_travel_time_to_health,3
155,ET030298,101,ETH,walking_travel_time_to_health,3
156,ET030299,12,ETH,walking_travel_time_to_health,3
157,ET030301,259,ETH,walking_travel_time_to_health,3
