index,placeCode,value,countryCodeISO3,indicator,adminLevel
0,PH012801000,0.411192214,PHL,vulnerable_group,3
1,PH012802000,0.083322535,PHL,vulnerable_group,3
2,PH012803000,0.208106219,PHL,vulnerable_group,3
3,PH012804000,0.149405772,PHL,vulnerable_group,3
4,PH012805000,0.137431163,PHL,vulnerable_group,3
5,PH012806000,0.158163265,PHL,vulnerable_group,3
6,PH012807000,0.190789474,PHL,vulnerable_group,3
7,PH012808000,0.145598194,PHL,vulnerable_group,3
8,PH012809000,0.187157493,PHL,vulnerable_group,3
9,PH012810000,0.124324324,PHL,vulnerable_group,3
10,PH012811000,0.190454648,PHL,vulnerable_group,3
11,PH012812000,0.075853459,PHL,vulnerable_group,3
12,PH012813000,0.209492217,PHL,vulnerable_group,3
13,PH012814000,0.270853778,PHL,vulnerable_group,3
14,PH012815000,0.2039801,PHL,vulnerable_group,3
15,PH012816000,0.149742458,PHL,vulnerable_group,3
16,PH012817000,0.156652694,PHL,vulnerable_group,3
17,PH012818000,0.142827785,PHL,vulnerable_group,3
18,PH012819000,0.213536201,PHL,vulnerable_group,3
19,PH012820000,0.087815447,PHL,vulnerable_group,3
20,PH012821000,0.095638184,PHL,vulnerable_group,3
21,PH012822000,0.144212524,PHL,vulnerable_group,3
22,PH012823000,0.118006766,PHL,vulnerable_group,3
23,PH012901000,0.388474576,PHL,vulnerable_group,3
24,PH012902000,0.211797753,PHL,vulnerable_group,3
25,PH012903000,0.101789419,PHL,vulnerable_group,3
26,PH012904000,0.172262774,PHL,vulnerable_group,3
27,PH012905000,0.209019508,PHL,vulnerable_group,3
28,PH012906000,0.116669152,PHL,vulnerable_group,3
29,PH012907000,0.142890227,PHL,vulnerable_group,3
30,PH012908000,0.368019613,PHL,vulnerable_group,3
31,PH012909000,0.212278426,PHL,vulnerable_group,3
32,PH012910000,0.447513812,PHL,vulnerable_group,3
33,PH012911000,0.323293173,PHL,vulnerable_group,3
34,PH012912000,0.204018979,PHL,vulnerable_group,3
35,PH012913000,0.344331641,PHL,vulnerable_group,3
36,PH012914000,0.14586153,PHL,vulnerable_group,3
37,PH012915000,0.360197368,PHL,vulnerable_group,3
38,PH012916000,0.270943396,PHL,vulnerable_group,3
39,PH012917000,0.350980392,PHL,vulnerable_group,3
40,PH012918000,0.126326964,PHL,vulnerable_group,3
41,PH012919000,0.098998232,PHL,vulnerable_group,3
42,PH012920000,0.153308405,PHL,vulnerable_group,3
43,PH012921000,0.113002535,PHL,vulnerable_group,3
44,PH012922000,0.104630715,PHL,vulnerable_group,3
45,PH012923000,0.110307414,PHL,vulnerable_group,3
46,PH012924000,0.167664671,PHL,vulnerable_group,3
47,PH012925000,0.212597066,PHL,vulnerable_group,3
48,PH012926000,0.117478941,PHL,vulnerable_group,3
49,PH012927000,0.180442375,PHL,vulnerable_group,3
50,PH012928000,0.126486486,PHL,vulnerable_group,3
51,PH012929000,0.545808967,PHL,vulnerable_group,3
52,PH012930000,0.148501362,PHL,vulnerable_group,3
53,PH012931000,0.402826855,PHL,vulnerable_group,3
54,PH012932000,0.341209451,PHL,vulnerable_group,3
55,PH012933000,0.205016486,PHL,vulnerable_group,3
56,PH012934000,0.098415271,PHL,vulnerable_group,3
57,PH013301000,0.18166219,PHL,vulnerable_group,3
58,PH013302000,0.228886169,PHL,vulnerable_group,3
59,PH013303000,0.132067685,PHL,vulnerable_group,3
60,PH013304000,0.378287256,PHL,vulnerable_group,3
61,PH013305000,0.173508106,PHL,vulnerable_group,3
62,PH013306000,0.236628212,PHL,vulnerable_group,3
63,PH013307000,0.118718707,PHL,vulnerable_group,3
64,PH013308000,0.2965083,PHL,vulnerable_group,3
65,PH013309000,0.189349112,PHL,vulnerable_group,3
66,PH013310000,0.154841861,PHL,vulnerable_group,3
67,PH013311000,0.124136769,PHL,vulnerable_group,3
68,PH013312000,0.159190246,PHL,vulnerable_group,3
69,PH013313000,0.195603298,PHL,vulnerable_group,3
70,PH013314000,0.079893952,PHL,vulnerable_group,3
71,PH013315000,0.331699768,PHL,vulnerable_group,3
72,PH013316000,0.149491846,PHL,vulnerable_group,3
73,PH013317000,0.211979295,PHL,vulnerable_group,3
74,PH013318000,0.352517986,PHL,vulnerable_group,3
75,PH013319000,0.200904737,PHL,vulnerable_group,3
76,PH013320000,0.217671061,PHL,vulnerable_group,3
77,PH015501000,0.321856514,PHL,vulnerable_group,3
78,PH015502000,0.296123851,PHL,vulnerable_group,3
79,PH015503000,0.156655768,PHL,vulnerable_group,3
80,PH015504000,0.145868549,PHL,vulnerable_group,3
81,PH015505000,0.24117584,PHL,vulnerable_group,3
82,PH015506000,0.108772198,PHL,vulnerable_group,3
83,PH015507000,0.166594108,PHL,vulnerable_group,3
84,PH015508000,0.22208589,PHL,vulnerable_group,3
85,PH015509000,0.234567901,PHL,vulnerable_group,3
86,PH015510000,0.209620991,PHL,vulnerable_group,3
87,PH015511000,0.249680051,PHL,vulnerable_group,3
88,PH015512000,0.108968787,PHL,vulnerable_group,3
89,PH015513000,0.175455944,PHL,vulnerable_group,3
90,PH015514000,0.202374865,PHL,vulnerable_group,3
91,PH015515000,0.268282432,PHL,vulnerable_group,3
92,PH015516000,0.269714765,PHL,vulnerable_group,3
93,PH015517000,0.191638765,PHL,vulnerable_group,3
94,PH015518000,0.115111335,PHL,vulnerable_group,3
95,PH015519000,0.2134192,PHL,vulnerable_group,3
96,PH015520000,0.231912607,PHL,vulnerable_group,3
97,PH015521000,0.181984286,PHL,vulnerable_group,3
98,PH015522000,0.215352013,PHL,vulnerable_group,3
99,PH015523000,0.256318306,PHL,vulnerable_group,3
100,PH015524000,0.218777308,PHL,vulnerable_group,3
101,PH015525000,0.159297478,PHL,vulnerable_group,3
102,PH015526000,0.1419663,PHL,vulnerable_group,3
103,PH015527000,0.293635636,PHL,vulnerable_group,3
104,PH015528000,0.152711954,PHL,vulnerable_group,3
105,PH015529000,0.163620387,PHL,vulnerable_group,3
106,PH015530000,0.132243967,PHL,vulnerable_group,3
107,PH015531000,0.141315698,PHL,vulnerable_group,3
108,PH015532000,0.190177894,PHL,vulnerable_group,3
109,PH015533000,0.185614238,PHL,vulnerable_group,3
110,PH015534000,0.182344428,PHL,vulnerable_group,3
111,PH015535000,0.172947858,PHL,vulnerable_group,3
112,PH015536000,0.188122464,PHL,vulnerable_group,3
113,PH015537000,0.171582104,PHL,vulnerable_group,3
114,PH015538000,0.160881028,PHL,vulnerable_group,3
115,PH015539000,0.149640483,PHL,vulnerable_group,3
116,PH015540000,0.140802876,PHL,vulnerable_group,3
117,PH015541000,0.143562476,PHL,vulnerable_group,3
118,PH015542000,0.262632724,PHL,vulnerable_group,3
119,PH015543000,0.112330995,PHL,vulnerable_group,3
120,PH015544000,0.185008538,PHL,vulnerable_group,3
121,PH015545000,0.257535036,PHL,vulnerable_group,3
122,PH015546000,0.126662167,PHL,vulnerable_group,3
123,PH015547000,0.127665505,PHL,vulnerable_group,3
124,PH015548000,0.20170534,PHL,vulnerable_group,3
125,PH021501000,0.130305085,PHL,vulnerable_group,3
126,PH021502000,0.123867729,PHL,vulnerable_group,3
127,PH021503000,0.116655607,PHL,vulnerable_group,3
128,PH021504000,0.153070836,PHL,vulnerable_group,3
129,PH021505000,0.144593128,PHL,vulnerable_group,3
130,PH021506000,0.140286277,PHL,vulnerable_group,3
131,PH021507000,0.117270789,PHL,vulnerable_group,3
132,PH021508000,0.139183734,PHL,vulnerable_group,3
133,PH021509000,0.271954674,PHL,vulnerable_group,3
134,PH021510000,0.10570314,PHL,vulnerable_group,3
135,PH021511000,0.078349626,PHL,vulnerable_group,3
136,PH021512000,0.116624652,PHL,vulnerable_group,3
137,PH021513000,0.12479082,PHL,vulnerable_group,3
138,PH021514000,0.126440837,PHL,vulnerable_group,3
139,PH021515000,0.103789127,PHL,vulnerable_group,3
140,PH021516000,0.088928325,PHL,vulnerable_group,3
141,PH021517000,0.11825773,PHL,vulnerable_group,3
142,PH021518000,0.158651951,PHL,vulnerable_group,3
143,PH021519000,0.121617826,PHL,vulnerable_group,3
144,PH021520000,0.108794198,PHL,vulnerable_group,3
145,PH021521000,0.195883957,PHL,vulnerable_group,3
146,PH021522000,0.11959242,PHL,vulnerable_group,3
147,PH021523000,0.132590962,PHL,vulnerable_group,3
148,PH021524000,0.101020408,PHL,vulnerable_group,3
149,PH021525000,0.115600187,PHL,vulnerable_group,3
150,PH021526000,0.176114303,PHL,vulnerable_group,3
151,PH021527000,0.148596321,PHL,vulnerable_group,3
152,PH021528000,0.135007386,PHL,vulnerable_group,3
153,PH021529000,0.028860868,PHL,vulnerable_group,3
154,PH023101000,0.097820938,PHL,vulnerable_group,3
155,PH023102000,0.158836689,PHL,vulnerable_group,3
156,PH023103000,0.077306142,PHL,vulnerable_group,3
157,PH023104000,0.196704579,PHL,vulnerable_group,3
158,PH023105000,0.132404795,PHL,vulnerable_group,3
159,PH023106000,0.172410298,PHL,vulnerable_group,3
160,PH023107000,0.085214697,PHL,vulnerable_group,3
161,PH023108000,0.081537392,PHL,vulnerable_group,3
162,PH023109000,0.129286828,PHL,vulnerable_group,3
163,PH023110000,0.188771359,PHL,vulnerable_group,3
164,PH023111000,0.263492063,PHL,vulnerable_group,3
165,PH023112000,0.101586103,PHL,vulnerable_group,3
166,PH023113000,0.097509751,PHL,vulnerable_group,3
167,PH023114000,0.112609555,PHL,vulnerable_group,3
168,PH023115000,0.087735939,PHL,vulnerable_group,3
169,PH023116000,0.098751672,PHL,vulnerable_group,3
170,PH023117000,0.265240642,PHL,vulnerable_group,3
171,PH023118000,0.135642356,PHL,vulnerable_group,3
172,PH023119000,0.124934106,PHL,vulnerable_group,3
173,PH023120000,0.146732429,PHL,vulnerable_group,3
174,PH023121000,0.328706129,PHL,vulnerable_group,3
175,PH023122000,0.141519074,PHL,vulnerable_group,3
176,PH023123000,0.124001278,PHL,vulnerable_group,3
177,PH023124000,0.088113497,PHL,vulnerable_group,3
178,PH023125000,0.105181881,PHL,vulnerable_group,3
179,PH023126000,0.095766485,PHL,vulnerable_group,3
180,PH023127000,0.088339223,PHL,vulnerable_group,3
181,PH023128000,0.23960827,PHL,vulnerable_group,3
182,PH023129000,0.098467087,PHL,vulnerable_group,3
183,PH023130000,0.126758694,PHL,vulnerable_group,3
184,PH023131000,0.359186429,PHL,vulnerable_group,3
185,PH023132000,0.079072494,PHL,vulnerable_group,3
186,PH023133000,0.263209779,PHL,vulnerable_group,3
187,PH023134000,0.253715937,PHL,vulnerable_group,3
188,PH023135000,0.057729292,PHL,vulnerable_group,3
189,PH023136000,0.169284112,PHL,vulnerable_group,3
190,PH023137000,0.171982237,PHL,vulnerable_group,3
191,PH025001000,0.188967468,PHL,vulnerable_group,3
192,PH025002000,0.09681214,PHL,vulnerable_group,3
193,PH025003000,0.080606544,PHL,vulnerable_group,3
194,PH025004000,0.079490657,PHL,vulnerable_group,3
195,PH025005000,0.083717257,PHL,vulnerable_group,3
196,PH025006000,0.250511015,PHL,vulnerable_group,3
197,PH025007000,0.097468546,PHL,vulnerable_group,3
198,PH025008000,0.138913428,PHL,vulnerable_group,3
199,PH025009000,0.293166964,PHL,vulnerable_group,3
200,PH025010000,0.360224801,PHL,vulnerable_group,3
201,PH025011000,0.126499898,PHL,vulnerable_group,3
202,PH025012000,0.238108035,PHL,vulnerable_group,3
203,PH025013000,0.053360462,PHL,vulnerable_group,3
204,PH025014000,0.093489525,PHL,vulnerable_group,3
205,PH025015000,0.229949523,PHL,vulnerable_group,3
206,PH025701000,0.199847095,PHL,vulnerable_group,3
207,PH025702000,0.187335092,PHL,vulnerable_group,3
208,PH025703000,0.182675602,PHL,vulnerable_group,3
209,PH025704000,0.104388147,PHL,vulnerable_group,3
210,PH025705000,0.143503393,PHL,vulnerable_group,3
211,PH025706000,0.366182785,PHL,vulnerable_group,3
212,PH030801000,0.089671564,PHL,vulnerable_group,3
213,PH030802000,0.212549933,PHL,vulnerable_group,3
214,PH030803000,0.056451613,PHL,vulnerable_group,3
