station_code,station_name,lat,lon,custom_threshold,2yr_threshold,5yr_threshold,10yr_threshold,20yr_threshold,2yr_threshold_7day,5yr_threshold_7day,10yr_threshold_7day,20yr_threshold_7day,2yr_threshold_3day,5yr_threshold_3day,10yr_threshold_3day,20yr_threshold_3day
G1045,Tendaho,11.75,40.95000076,,1369.364258,1774.294189,2124.471436,2299.560059,884.9006745,1019.409934,1261.36394117896,1209.394034,1183.340117,1496.871513,1691.19105,1868.24244
G1053,Adaitu,11.35000038,40.95000076,,1412.969604,1802.743164,2139.813314,2308.348389,850.5548651,963.9839464,121.367757052516,1100.988042,1160.182732,1433.792888,1583.414988,1707.146252
G1067,Melka Sedi,9.149999619,40.15000153,,1330.382568,1565.818848,1769.420573,1871.221436,563.9391958,666.9272605,4836.50655225742,760.2722594,693.4515587,809.2990344,870.7176794,920.3105546
G1074,Metahara,8.850000381,39.95000076,,656.7110596,803.1309814,929.7527262,993.0635986,441.5904277,544.4542232,5672.67390189929,659.8262481,474.3475964,568.3697021,628.6744762,685.1054243
G1603,Gambella,8.25,34.95000076,,2129.934326,2718.602783,3227.67391,3482.209473,1634.004397,1885.924377,497.268325929454,2154.332584,1449.036132,1755.451663,2022.002949,2338.980403
G1901,Omo River Delta,4.849999905,36.04999924,,5359.516602,5960.061523,6479.403971,6739.075195,4234.884482,4614.279774,19751.982092168,4973.55772,5027.051895,5647.692678,6031.433817,6380.425422
G1902,Na,4.75,42.04999924,,430.7146301,567.6884155,686.141215,745.3676147,201.9060609,253.0966085,5667.29881546498,347.251498,372.807027,468.3935782,526.7258463,579.2390411
G1904,Na,5.050000191,44.84999847,,2989.608154,3504.772949,3950.27946,4173.032715,1212.393547,1515.564196,11615.9937029301,1852.814904,1481.501214,1853.684209,2086.847378,2301.073422
G1905,Na,5.449999809,44.45000076,,3006.280029,3526.245361,3975.903402,4200.732422,,,4892.93773817899,,,,,
G1906,Na,5.550000191,44.15000153,,3027.512695,3547.862061,3997.851807,4222.84668,,,4712.66076479238,,,,,
G1907,Na,6.050000191,43.04999924,,3102.725342,3601.234131,4032.336833,4247.888184,1198.203679,1444.031409,4777.78402436876,1650.160384,1389.72018,1708.33269,1892.973161,2052.665056
G4951,Na,11.14999962,41.65000153,,1265.760864,1659.505005,2000.00883,2170.260742,,,234.059401863283,,,,,
G4953,Bahir Dar,11.55000019,37.34999847,,715.8826294,835.1098633,938.2157796,989.7687378,734.4427822,824.2691198,2574.51251043563,912.0223555,737.806337,829.7594563,879.198714,919.5523834
G4954,Na,11.05000019,41.65000153,,273.4700928,507.6593323,710.1825867,811.4442139,,,1882.61704692018,,,,,
G4957,Nr. BAHIR DAR,11.75,37.65000153,,301.9430847,346.1527405,384.3845927,403.5005188,,,733.965509886333,,,,,
G4960,Na,10.85000038,35.15000153,,14122.14453,15207.31445,16145.75195,16614.9707,,,,,,,,
G4965,Nr. ADDIS ZEMEN,12.05000019,37.75,,315.2519226,364.1978149,406.5254517,427.68927,,,29484.9236898768,,,,,
G4969,Na,10.44999981,35.25,,13586.77051,14644.44727,15559.10872,16016.43945,,,,,,,,
G4977,Nr. MARAWI,11.35000038,37.04999924,,472.4191284,649.8909302,803.3657837,880.1032104,,,38200.8540560614,,,,,
G4979,Na,10.05000019,35.75,,10664.375,11567.81641,12349.09896,12739.74023,,,3223.38506650734,,,,,
G4980,Nr. Kessie,10.05000019,38.15000153,,6225.779297,7028.285156,7722.279297,8069.276367,,,,,,,,
G4983,Na,9.850000381,35.75,,3170.067383,3699.101563,4156.602214,4385.352539,,,,,,,,
G5015,EWASO NGIRO (5BC04),-0.050000001,36.84999847,,309.355011,437.7233887,548.7343343,604.2398071,,,,,,,,
G5036,EWASO NAROK (5AC08),0.449999988,36.84999847,,647.9174805,938.6395264,1190.051473,1315.757446,,,,,,,,
G5041,EWASO NAROK (5AC10),0.449999988,36.75,,197.4281921,372.3023987,523.5309347,599.1452026,,,,,,,,
G5056,Na,8.050000191,33.15000153,,421.5037231,522.0715942,609.0411174,652.5258789,,,4972.32802472667,,,,,
G5068,Na,7.650000095,42.04999924,,418.2839966,744.8453369,1027.250529,1168.453125,,,925.569589780016,,,,,
G5075,Mpologoma at Budumba (82217),0.75,33.75,724,532.4899673,650.3923154,724,806.3448834,,,,,,,,
G5076,Na,7.550000191,41.95000076,,3101.799316,3501.674805,3847.480794,4020.383789,,,658.370873152753,,,,,
G5081,Na,7.349999905,42.15000153,,3221.69165,3683.074219,4082.070638,4281.568848,1097.506335,1319.584674,14589.5920114827,1509.521145,1261.289651,1546.161691,1717.290104,1869.475534
G5082,Na,7.349999905,42.25,,77.19597626,145.2753143,204.1492767,233.5862579,,,3016.699302767,,,,,
G5092,PERKERRA (2EE07A),0.449999988,36.04999924,,384.5867615,585.5407104,759.3225301,846.2134399,,,,,,,,
G5114,Kapiri (82227),1.649999976,33.75,,1051.379884,1239.408453,1320.703348,1376.859946,,,,,,,,
G5115,Na,5.75,40.84999847,,1540.771362,1806.054932,2035.468018,2150.174561,408.0198578,496.6460051,1279.59634260848,604.3295898,983.9108981,1127.660733,1203.969252,1265.645377
G5118,ATHI KIBWEZI (3F05),-2.549999952,38.34999847,,211.0447693,372.2154236,511.5932922,581.2822266,,,,,,,,
G5125,NYANGORES (1LA03),-0.850000024,35.25,,100.4954376,188.7342377,265.0417837,303.1955566,,,,,,,,
G5141,Na,4.349999905,41.95000076,,2257.041504,2595.600098,2888.380208,3034.770264,,,2375.87889328484,,,,,
G5142,ATHI MUNYU (3DA02),-1.149999976,37.15000153,,88.30430603,139.3603058,183.5127513,205.588974,,,,,,,,
G5145,Rwizi at Mbarara water works (81224),-0.649999976,30.64999962,108,78.30170142,95.73337922,108,120.0365445,,,,,,,,
G5147,MARA NAROK (1LA04),-1.25,35.04999924,,407.270813,527.4512329,631.3814494,683.3465576,,,,,,,,
G5159,AMALA (1LB02),-0.75,35.54999924,,427.3656006,550.9013672,657.733195,711.1491089,,,,,,,,
G5160,Mayanja (83218),0.649999976,32.15000153,131,114.4734134,131,138.4834333,144.0202666,,,,,,,,
G5161,MIRIU SONDU (1JG04),-0.349999994,34.75,,677.2489014,909.0155029,1109.443726,1209.657837,,,,,,,,
G5163,Pager at Kitgum,3.25,33.84999847,,185.6648247,239.0554669,266.4713254,288.071008,,,,,,,,
G5164,Aswa (ii) (86202),2.950000048,32.54999924,,484.3737308,582.369949,623.8852556,652.1226632,,,,,,,,
G5170,Na,3.150000095,36.04999924,,2607.006592,2992.773193,3326.378337,3493.180908,,,,,,,,
G5171,SUAM (2B05),1.149999976,34.65000153,,204.9988251,284.7061157,353.6357422,388.1005554,,,,,,,,
G5173,Na,2.849999905,37.45000076,,275.5379333,468.5873413,635.5334676,719.0065308,,,,,,,,
G5179,YALA (1FG02),0.050000001,34.15000153,,415.9732971,541.9798584,650.9484049,705.4326782,,,,,,,,
G5189,Muzizi (85211),0.850000024,30.75,73,63.41041175,73,79.30146293,85.23628424,,,,,,,,
