station_code,station_name,lat,lon
G5015,EWASO NGIRO (5BC04),-0.050000001,36.84999847
G5092,PERKERRA (2EE07A),0.449999988,36.04999924
G5118,ATHI KIBWEZI (3F05),-2.549999952,38.34999847
G5125,NYANGORES (1LA03),-0.850000024,35.25
G5142,ATHI MUNYU (3DA02),-1.149999976,37.15000153
G5147,MARA NAROK (1LA04),-1.25,35.04999924
G5170,Na,3.150000095,36.04999924
G5171,SUAM (2B05),1.149999976,34.65000153
G5173,Na,2.849999905,37.45000076
G5179,YALA (1FG02),0.050000001,34.15000153
G5194,LARGE NZOIA (1BD02),0.75,35.04999924
G5195,NZOIA AT RUAMBWA FERRY (1EF01),0.150000006,34.04999924
G5197,NDO (2C07),0.449999988,35.65000153
G5198,AWACH KABUON (1HD04),-0.449999988,34.65000153
G5216,GUCHA MIGORI (1KB05),-0.949999988,34.25
G5218,TANA SAGANA (4BC02),-0.649999976,37.15000153
G5224,Mutonga (4EA07),-0.349999994,37.84999847
G5299,Thiba (4DD02),-0.75,37.45000076
G5305,TANA HOLA (4G04),-1.450000048,40.04999924
G5332,TSAVO (3G02),-3.049999952,38.34999847
G5450,TANA MURANGA (4BE02),-0.75,37.25
KEGVS11,,-3.049999952,39.25
KEGVS13,,-1.649999976,41.15000153
KEGVS15,,1.25,40.65000153
KEGVS19,,-0.449999988,35.15000153
KEGVS21,,0.75,38.04999924
KEGVS23,,-2.25,38.04999924
KEGVS3,,1.649999976,37.45000076
KEGVS5,,1.850000024,35.45000076
