station_code;station_name;lat;lon;2yr_threshold;5yr_threshold;10yr_threshold;20yr_threshold
G5652;ZambeziBoma;-13.54325008;23.09930992;1911.39624;2640.496826;1034.65517471086;3586.269043
G1343;Shibuyunji;-15.45269012;27.81529045;85.55252075;126.5584564;1197.52787220581;179.7503967
G1264;NearChibote;-9.866600037;29.54999924;346.6451416;425.6069946;2534.43674907556;528.0344849
G1265;ChungaRanch;-9.930000305;32.13000107;184.0177765;256.078186;318.3949178;349.5532837
G1269;MbesumaPontoon60773245;-10;32.16669846;288.4150696;403.3037415;1307.56304609801;552.3346558
G1271;PumpHouse;-10.16660023;30.96660042;216.468399;296.7236938;4204.82316793963;400.8290405
G1279;OldPontoon;-10.94999981;31.06999969;459.0357056;659.9766846;128.097884742341;920.6326294
G1294;ChembeFerry;-11.96660042;28.75;2107.733154;2857.393555;11140.6993547233;3829.835449
G1312;Mpatamato;-13.25;28.13330078;248.510849;359.692688;9578.50808505124;503.9151611
G1314;Ndubeni;-13.39999962;27.81999969;371.3804932;525.1434937;12888.6131026402;724.6012573
G1319;KabompoPontoon60380051;-13.60000038;24.21660042;1303.499512;1611.777832;1357.40877598428;2011.669434
G1320;Kafironda;-13.63329983;27.59000015;496.3341675;704.6599121;2088.01808851942;974.8952637
G1321;MachiyaFerry60334280;-13.64999962;27.61669922;496.3341675;704.6599121;884.8168132;974.8952637
G1323;KelongwaSchool60334550;-13.69999981;26.33329964;639.7056274;852.1246338;8003.65458061684;1127.669678
G1328;Lukulu60370030;-14.38329983;23.23329926;3967.601563;5365.534668;731.186307120281;7178.900879
G1329;Mswebi;-14.41660023;27;1062.361938;1588.392822;9399.20491914086;2270.747803
G1331;Lubungu60334450;-14.56669998;26.45000076;1123.381592;1662.287109;2774.51949292804;2361.343018
G1338;KafueHookBridge60334669;-14.93330002;25.91659927;2079.747803;2860.599854;1573.00536421924;3873.503174
G1339;Kalabo;-14.96660042;22.68330002;404.7800903;651.1028442;4181.30140175037;970.6270142
G1340;LuangwaRoadBridge60332040;-14.9666996;30.2166996;4425.790039;6352.513672;1247.85570569434;8851.814453
G1344;NgwerereConfluence;-15.2166996;28.5;35.05489731;56.7816925;75.57068888;84.96518707
G1351;Nyimba;-15.75;27.03000069;1708.386353;2496.395508;5136.71170710782;3518.582764
G1352;ItezhiTezhi;-15.76669979;26.01659966;1529.986084;2216.591064;6255.32769287918;3107.239258
G1353;Kasaka60334977;-15.81659985;28.21660042;1709.016113;2522.526367;4693.34888463739;3577.792969
G1361;Senanga60370001;-16.11669922;23.25;4374.390625;6162.692871;3725.28811940627;8482.4375
G1373;KatimaMulilo64370001;-17.48329926;24.29999924;4558.645508;6483.30127;8147.714355;8979.920898
G5696;Na;-16.35000038;23.45000076;227.9214325;438.1603088;389.400185323229;710.8772583
no_station;No station;;;0;0;0;0
