pcode;County;station_code
KE030;Baringo;G5092
KE036;Bomet;G5125
KE039;Bungoma;G5194
KE040;Busia;G5195
KE028;Elgeyo-Mar;G5197
KE014;Embu;G5299
KE007;Garissa;KEGVS13
KE043;Homa Bay;G5198
KE019;Nyeri;G5218
KE011;Isiolo;KEGVS21
KE034;Kajiado;no_station
KE037;Kakamega;G5194
KE035;Kericho;KEGVS19
KE022;Kiambu;G5142
KE003;Kilifi;KEGVS11
KE020;Kirinyaga;no_station
KE045;Kisii;no_station
KE042;Kisumu;no_station
KE015;Kitui;G5118
KE002;Kwale;no_station
KE031;Laikipia;G5015
KE016;Machakos;G5142
KE017;Makueni;KEGVS23
KE009;Mandera;G5152
KE025;Samburu;KEGVS3
KE010;Marsabit;G5173
KE012;Meru;no_station
KE044;Migori;G5216
KE021;Murang'a;G5450
KE047;Nairobi;no_station
KE032;Nakuru;no_station
KE029;Nandi;no_station
KE046;Nyamira;no_station
KE018;Nyandarua;no_station
KE041;Siaya;G5179
KE006;Taita Tave;G5332
KE004;Tana River;G5305
KE013;Tharaka-Ni;G5224
KE026;Trans Nzoi;G5171
KE023;Turkana;G5170
KE027;Uasin Gish;no_station
KE038;Vihiga;no_station
KE008;Wajir;KEGVS15
KE024;West Pokot;KEGVS5
KE033;Narok;G5147
KE001;Mombasa;no_station
KE005;Lamu;KEGVS13
