distName,pcode,station_code
Abim,21UGA008001,DWRM14
Adjumani,21UGA015001,no_station
Agago,21UGA001001,no_station
Alebtong,21UGA010001,no_station
Amolatar,21UGA010002,no_station
Amudat,21UGA008002,no_station
Amuria,21UGA013001,DWRM14
Amuru,21UGA001002,no_station
Apac,21UGA010003,no_station
Arua,21UGA015002,no_station
Budaka,21UGA003001,DWRM1
Bududa,21UGA006001,DWRM1
Bugiri,21UGA005001,DWRM3
Bugweri,21UGA005002,no_station
Buhweju,21UGA002001,no_station
Buikwe,21UGA011001,no_station
Bukedea,21UGA013002,no_station
Bukomansimbi,21UGA012001,no_station
Bukwo,21UGA006002,no_station
Bulambuli,21UGA006003,no_station
Buliisa,21UGA004001,no_station
Bundibugyo,21UGA014001,no_station
Bunyangabu,21UGA014002,no_station
Bushenyi,21UGA002002,no_station
Busia,21UGA003002,DWRM2
Butaleja,21UGA003003,DWRM1
Butambala,21UGA012002,no_station
Butebo,21UGA003004,no_station
Buvuma,21UGA011002,no_station
Buyende,21UGA005003,DWRM3
Dokolo,21UGA010004,no_station
Gomba,21UGA012003,no_station
Gulu,21UGA001003,no_station
Hoima,21UGA004002,no_station
Ibanda,21UGA002003,no_station
Iganga,21UGA005004,no_station
Isingiro,21UGA002004,no_station
Jinja,21UGA005005,no_station
Kaabong,21UGA008003,no_station
Kabale,21UGA009001,no_station
Kabarole,21UGA014003,no_station
Kaberamaido,21UGA013003,no_station
Kagadi,21UGA004003,DWRM12
Kakumiro,21UGA004004,no_station
Kalangala,21UGA012004,no_station
Kaliro,21UGA005006,DWRM3
Kalungu,21UGA012005,no_station
Kampala,21UGA007001,no_station
Kamuli,21UGA005007,no_station
Kamwenge,21UGA014004,no_station
Kanungu,21UGA009002,DWRM9
Kapchorwa,21UGA006004,no_station
Kapelebyong,21UGA013004,DWRM14
Kasese,21UGA014005,no_station
Kassanda,21UGA011003,no_station
Katakwi,21UGA013005,DWRM14
Kayunga,21UGA011004,no_station
Kibaale,21UGA004005,no_station
Kiboga,21UGA011005,DWRM10
Kibuku,21UGA003005,DWRM3
Kikuube,21UGA004006,DWRM12
Kiruhura,21UGA002005,no_station
Kiryandongo,21UGA004007,no_station
Kisoro,21UGA009003,no_station
Kitgum,21UGA001004,no_station
Koboko,21UGA015003,no_station
Kole,21UGA010005,no_station
Kotido,21UGA008004,DWRM14
Kumi,21UGA013006,no_station
Kwania,21UGA010006,no_station
Kween,21UGA006005,no_station
Kyankwanzi,21UGA011006,DWRM10
Kyegegwa,21UGA014006,no_station
Kyenjojo,21UGA014007,DWRM7
Kyotara,21UGA012006,no_station
Lamwo,21UGA001005,no_station
Lira,21UGA010007,no_station
Luuka,21UGA005008,no_station
Luwero,21UGA011007,no_station
Lwengo,21UGA012007,no_station
Lyantonde,21UGA012008,no_station
Manafwa,21UGA006006,DWRM1
Maracha,21UGA015004,no_station
Masaka,21UGA012009,no_station
Masindi,21UGA004008,no_station
Mayuge,21UGA005009,no_station
Mbale,21UGA006007,DWRM1
Mbarara,21UGA002006,no_station
Mitooma,21UGA002007,no_station
Mityana,21UGA011008,DWRM10
Moroto,21UGA008005,no_station
Moyo,21UGA015005,no_station
Mpigi,21UGA012010,no_station
Mubende,21UGA011009,no_station
Mukono,21UGA011010,no_station
Nabilatuk,21UGA008006,no_station
Nakapiripirit,21UGA008007,no_station
Nakaseke,21UGA011011,DWRM10
Nakasongola,21UGA011012,no_station
Namayingo,21UGA005010,DWRM2
Namisindwa,21UGA006008,DWRM1
Namutumba,21UGA005011,DWRM3
Napak,21UGA008008,DWRM14
Nebbi,21UGA015006,no_station
Ngora,21UGA013007,no_station
Ntoroko,21UGA014008,DWRM7
Ntungamo,21UGA002008,no_station
Nwoya,21UGA001006,no_station
Omoro,21UGA001007,no_station
Otuke,21UGA010008,no_station
Oyam,21UGA010009,no_station
Pader,21UGA001008,no_station
Pakwach,21UGA015007,no_station
Pallisa,21UGA003006,DWRM3
Rakai,21UGA012011,no_station
Rubanda,21UGA009004,no_station
Rubirizi,21UGA002009,no_station
Rukiga,21UGA009005,no_station
Rukungiri,21UGA009006,DWRM9
Serere,21UGA013008,no_station
Sheema,21UGA002010,no_station
Sironko,21UGA006009,no_station
Soroti,21UGA013009,no_station
Ssembabule,21UGA012012,no_station
Tororo,21UGA003007,DWRM3
Wakiso,21UGA011013,DWRM10
Yumbe,21UGA015008,no_station
Zombo,21UGA015009,no_station
