lon,lat,type,name
36.88899999,-1.250370028,*,Ako Kula (Traditional Healer)
36.89219995,-1.249830066,*,Dr. Samwel (Herbalist)
36.88899999,-1.253700075,*,Faith healer
36.89259993,-1.251280051,*,Faith healer
36.88839993,-1.250020084,*,Faith healer
36.89169997,-1.25169001,*,Faith healer
36.88729997,-1.254270044,*,Faith Healer
36.88579995,-1.256030076,*,Faith Healer
36.89129998,-1.250300039,*,Faith healer
36.89109999,-1.248260052,*,Faith healer
36.88839993,-1.25364006,*,Faith Healer
36.88839993,-1.252580001,*,Herbalist- Dr. Francis Matekwa
36.88929998,-1.25275007,*,Herbalist-Baba Senje
36.891,-1.246390049,*,Mama Fredy/Sister
36.89079992,-1.252370034,*,Tabitha( Traditional Healer)
36.89119999,-1.247720006,*,Traditional Healer
36.88729997,-1.249920004,*,Traditional Healer
36.88859992,-1.249280046,*,Traditional Healer
36.88999995,-1.248620054,*,Traditional Healer
36.88839993,-1.251230011,*,Traditional Healer
34.77849997,-0.088693317,clinic,24 hrs Outpatient Clinic
36.80911702,-1.294457246,clinic,AAR Healthcare Williamson Outpatient Centre
36.809344,-1.294654305,clinic,AAR Williamsom Health Centre
36.87839998,-1.309320037,clinic,Access Afya
36.84279299,-1.310993149,clinic,access afya clinic
36.85251499,-1.265695081,clinic,Access Afya Clinic
36.8784574,-1.309342165,clinic,Access Afya Medical Clinic
39.4584331,3.334386085,clinic,Adadijole Dispensary
36.75176166,-1.292616748,clinic,Afia Medical Centre
36.75176166,-1.292616748,clinic,Afia Medical Centre
34.75428348,-0.121437809,clinic,Afya Check
36.89738986,-1.318924273,clinic,Aga Khan Clinic Embakasi
36.84160745,-1.229991023,clinic,Aga Khan Ridgeways Medical Centre
36.90113338,-1.288816058,clinic,Aga Khan University Hospital - (Greenspan Mall Clinic)
36.92628538,-1.376509876,clinic,Aga Khan University Hospital Medical Center
36.77029087,-1.290824781,clinic,Aga Khan University Hospital Medical Centre
36.78770603,-1.300900583,clinic,Aga Khan University Hospital Medical Centre
36.66246053,-1.245578849,clinic,Agha Khan University Hospital- Kikuyu medical Center
34.78221994,-0.089791766,clinic,Ahava Medical Center
36.86230145,-1.262991079,clinic,AIC Zion Medical Clinic
36.78549069,-1.309746927,clinic,Al- Gadhir Medical Clinic
36.85520432,-1.262167305,clinic,Alphamed clinic
36.88609994,-1.256500049,clinic,Amana Medical Clinic and Family
34.74657339,-0.080316611,clinic,Ambundo Medical Centre
34.75959937,-0.11735884,clinic,Amua Medicare
34.7723117,-0.085448347,clinic,Ani World Vetenary Clinic
39.72358279,2.494190648,clinic,Anole Dispensary
36.77498306,-1.311029861,clinic,Ant-Hill Medical Clinic
36.85523207,-1.262503923,clinic,Aphamed
36.82365777,-1.320563941,clinic,Arawelo Medical Centre Limited
40.36031674,1.669426547,clinic,Argane Dispensary
37.44202497,-1.657874272,clinic,Assumption Sister's Clinic
36.90119164,-1.288818572,clinic,AVENUE HEALTHCARE GREENSPAN
35.89594999,0.570549989,clinic,Barsemoi
40.03602409,1.74154813,clinic,Barwaqo Dispensary
39.74712378,-3.955134829,clinic,BCL Health Care Support
