stationCode,stationName,lat,lon,fid
G1045,Tendaho,11.6833,40.95,G1045
G1053,Adaitu,11.1333,40.7833,G1053
G1067,Melka Sedi,9.39,40.13,G1067
G1074,Metahara,8.85,39.85,G1074
G1603,Gambella,8.25,34.57,G1603
G1901,Omo River Delta,4.825,36.025,G1901
G1902,Na,4.725,42.075,G1902
G1904,Na,5.125,44.825,G1904
G1907,Na,6.075,43.025,G1907
G4951,Na,11.14999962,41.65000153,G4951
G4953,Bahir Dar,11.575,37.425,G4953
G4954,Na,11.05000019,41.65000153,G4954
G4957,Nr. BAHIR DAR,11.825,37.625,G4957
G4965,Nr. ADDIS ZEMEN,12.025,37.675,G4965
G4977,Nr. MARAWI,11.375,37.025,G4977
G4979,Na,10.05000019,35.75,G4979
G5056,Na,8.9,29.9666,G5056
G5068,Na,8.7,38.6,G5068
G5076,Na,8.3833,38.783,G5076
G5081,Na,7.349999905,42.15000153,G5081
G5115,Na,5.75,40.84999847,G5115
G5141,Na,4.349999905,41.95000076,G5141
G5173,Na,2.849999905,37.45000076,G5173
G6107,Abetlti,8.2333,37.5833,G6107
G6108,Woltkite,8.25,37.7666,G6108
G6109,Asetndabo,7.75,37.1833,G6109
G6110,Woltkite,8.3333,37.6,G6110
G6111,Shetbe,7.4166,36.3833,G6111
