StationCode,stationName,lat,lon,fid
G3033,NABOGO a NABOGO,9.725,-0.825,G3033
G1059,Pwalagu,10.5833,-0.85,G1059
G1108,Daboasi,5.1667,-1.6333,G1108
G5096,Ayensu At Okyereko -W-Road-,5.3833,-0.6,G5096
G1064,Nawuni,9.7,-1.08,G1064
G4782,Volta Noire A Bui Amont Dam,8.2833,-2.2333,G4782
G3032,NASIA a NASIA,10.175,-0.825,G3032
G5254,Ankobra At Prestea,5.45,-2.1167,G5254
G1055,Yarugu,10.98,-0.4,G1055
G1078,Bamboi,8.175,-2.025,G1078
G1056,Nangodi,10.8667,-0.6167,G1056
G2011,Volta-Noire- A Vonkoro,9.1667,-2.75,G2011
G1061,Yagaba,10.23,-1.2833,G1061
G1058,Lawra,10.6333,-2.9167,G1058
G5024,Pru At Prang,7.9833,-0.8833,G5024
G1068,Sabari,9.28,0.23,G1068
G4990,Volta Blanche A Daboya,9.5333,-1.38,G4990
