StationCode,stationName,lat,lon,fid
G2350,Jebal Aulia Dam,15.325,32.475,G2350
G1911,Na,14.775,32.275,G1911
G1686,Sennar U S,13.55,33.63,G1686
G1685,Ros Old,11.85,34.38,G1685
G1910,Na,13.825,32.425,G1910
G2340,Sinnar Dam,13.575,33.625,G2340
G2342,Tamaniat,15.975,32.575,G2342
G2351,El Guisi,13.325,34.125,G2351
G1913,Na,13.725,33.625,G1913
G2341,Khartoum,15.625,32.525,G2341
G2346,Wad El Hellewa,14.225,35.975,G2346
G1687,Khartoum,15.6,32.51,G1687
G1914,Na,15.525,32.475,G1914
G2348,Girba Dam,14.975,35.925,G2348
G2343,El Hsanab,17.675,33.975,G2343
G2347,Kubor,14.075,35.975,G2347
G2352,El Hawata,13.425,34.625,G2352
G2344,Merowe Dam,18.525,31.825,G2344
G1688,Dongola,19.16,30.53,G1688
G1909,Na,12.375,32.775,G1909
G2399,Roseires Dam,11.825,34.375,G2399
G1912,Na,13.125,33.975,G1912
G1915,Na,16.525,32.875,G1915
G2398,Diem,11.225,34.925,G2398
