CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,DISTRICT,DATE OPENED,lat,lon,vulnerability,depth,fid
RU140107,Bolero Rural Hospital,Bolero hospital,Government,Hospital,Functional,Rumphi,Jan 1st 80,-10.97843,33.74342,no risk,0,1
MZ160124,Bwengu Health Centre,Bwengu,Government,Health Centre,Functional,Mzimba,Jan 1st 75,-11.06356,33.91646,no risk,0,2
KA150128,"Care Private Clinic, Mphenzi,",Care,Private,Clinic,Functional,Karonga,Oct 27th 10,-9.9394464,33.9229215,no risk,0,3
RU140208,Chilinda,Chilinda clinic,Government,Health Post,Functional,Rumphi,Jan 1st 75,-10.59101,33.80605,no risk,0,4
RU140292,Chitimba Health Centre,Chitimba,Government,Health Centre,Functional,Rumphi,Dec 31st 74,-10.59808,34.17026,no risk,0,5
MZ160308,Chololo,Chololo,Government,Health Post,Functional,Mzimba,Jan 1st 75,-11.014233,33.972657,no risk,0,6
RU140329,David Gordon Memorial,Livingstonia,Christian Health Association of Malawi (CHAM),Clinic,Functional,Rumphi,Jan 1st 75,-10.6036335,34.1109092,no risk,0,7
RU140398,Eva Demaya Private Clinic,Eva demaya,Private,Clinic,Functional,Rumphi,Jan 1st 75,-10.96002,33.64862,no risk,0,8
RU140470,Jalawe Health Centre,Jalawe,Government,Health Centre,Functional,Rumphi,Jan 1st 75,-10.73052,34.16172,no risk,0,9
KA150569,Karonga BLM,BLM,Private,Clinic,Non-functional,Karonga,Jan 1st 75,-9.9402745,33.9242761,no risk,0,10
KA150570,Karonga District Hospital,Chaboma,Government,District Hospital,Functional,Karonga,Jan 1st 31,-9.95545,33.91113,no risk,0,11
CP060571,Karopa,Karopa,Government,Health Post,Functional,Chitipa,Jan 1st 00,-10.216613,33.650444,no risk,0,12
RU140575,Kasambala Private Clinic,Kasambala,Private,Clinic,Functional,Rumphi,Apr 1st 96,-10.77593,34.03908,no risk,0,13
KA150585,Kasoba Health Centre,Kasoba,Government,Health Centre,Functional,Karonga,Dec 31st 74,-9.87355,33.86972,no risk,0,14
