branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
صيدليات,35.696463,-0.629337,,Dr Laribi Mansour,668924528,وهران
صيدلية,36.373699,3.897154,,Dr Laribi Mansour,668924528,البويرة
صيدلية,35.868465,7.119277,,Dr Laribi Mansour,668924528,أم البواقي
صيدلية,35.565746,6.181,,Dr Laribi Mansour,668924528,باتنة
صيدلية,35.543104,6.159222,,Dr Laribi Mansour,668924528,باتنة
صيدلية,34.854682,5.726463,,Dr Laribi Mansour,668924528,بسكرة
صيدلية,34.882921,-1.318091,,Dr Laribi Mansour,668924528,تلمسان
صيدلية,36.588086,2.442796,,Dr Laribi Mansour,668924528,تيبازة
صيدلية,36.189585,5.410006,,Dr Laribi Mansour,668924528,سطيف
صيدلية,36.189689,5.410392,,Dr Laribi Mansour,668924528,سطيف
صيدلية,36.897315,7.750996,,Dr Laribi Mansour,668924528,عنابة
صيدلية,35.745171,0.558384,,Dr Laribi Mansour,668924528,غليزان
صيدلية,36.360757,6.613367,,Dr Laribi Mansour,668924528,قسنطينة
صيدلية,36.451113,6.270804,,Dr Laribi Mansour,668924528,ميلة
صيدلية,36.365215,6.147054,,Dr Laribi Mansour,668924528,ميلة
صيدلية متنقلة,32.494434,3.644383,,Dr Laribi Mansour,668924528,غرداية
عيادات متنقلة,28.052591,9.592099,,Dr Laribi Mansour,668924528,عين أميناس
عيادة متنقلة,27.875804,-0.291636,,Dr Laribi Mansour,668924528,أدرار
عيادة متنقلة,22.787102,5.529991,,Dr Laribi Mansour,668924528,تمنراست
عيادة متنقلة,22.794481,5.536134,,Dr Laribi Mansour,668924528,تمنراست
قاعة علاج,34.883555,-1.319036,,Dr Laribi Mansour,668924528,تلمسان
مركز صحة متنقل,35.699111,-0.636209,,Dr Laribi Mansour,668924528,وهران
مركز صحي,36.282959,7.953407,,Dr Laribi Mansour,668924528,سوق أهراس
مركز صحي,36.363177,6.608408,,Dr Laribi Mansour,668924528,قسنطينة
مركز صحي متنقل,35.700924,-0.629853,,Dr Laribi Mansour,668924528,وهران
مقر بيداغوجي للتوحد,36.364213,6.6123,,Dr Laribi Mansour,668924528,قسنطينة
