branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Benue  Branch Office,7.722032507,8.537948537,,,(234) 803 713 33 45,"No 1 Ogiri Oko Road Opposite Police Headquarters Makurdi Benue State, Nigeria "
Bauchi Branch Office,10.31345767,9.831374737,,,(234) 803 713 33 46,No. 1 Ahmad Abdulkadir Bank Road Behind State Swimming Pool Bauchi
Edo Branch Office,6.31215073,5.625848646,,,(234) 803 713 33 47,"Plot 32A, 8, Red Cross Crescent, Off Ikpokpan Road, G.R.A., Benin, Nigeria"
Kaduna Branch Office,10.5462038,7.434458503,,,(234) 803 713 33 48,"No 6 North Road, Opposite Abakpa Phcn, Kaduna North L.G.A. Kaduna State"
Ekiti Branch Office,7.652921692,5.205867994,,,(234) 803 713 33 49,"K/L 2 Old Iyin Road, Better Life Training Center, Basiri, Ado-Ekiti."
Adamawa Branch Office,9.197215473,12.49012638,,,(234) 803 713 33 50,"Opposite Lamido Zubairu Teaching Hospital,Yola"
Kano Branch Office,12.0010129,8.544298238,,,(234) 803 713 33 51,No 1 Nasarawa Hospital Road Kano
Osun Branch Office,7.768849023,4.541295681,,,(234) 803 713 33 52,"No 3, Omo-Oba Adeyeye Str., Gbodofon, Aregbe Area, Off Gbongan Rd, Osogbo Osun State "
Abia  Branch Office,5.534204002,7.504904822,,,(234) 803 713 33 53,"No 1 Red Cross Avenue, Km 58 Aba-Umuahia Exp.Way, Mgbarakuma Ubakala, Umuahia South Lga "
Jigawa Branch Office,9.921232056,8.905850708,,,(234) 803 713 33 54,Block 24 Old Secretarial Behind Unicef Office
Borno Branch Office,11.85381058,13.14693416,,,(234) 803 713 33 55,"Behind One Million Water Tank, Kirikasamma Maiduguri, Borno State."
Ogun Branch Office,7.147594138,3.30777336,,,(234) 803 713 33 56,"9, Olatunde Abudu Close Ibara Housing Estate Abeokuta "
Anambra Branch Office,6.194826561,7.056745708,,,(234) 803 713 33 57,"No 10 Ziks Avenue By Governor'S Lodge Amawbia, Anambra State"
Enugu Branch Office,6.437997108,7.488400549,,,(234) 803 713 33 58,"1/3 Red Cross Way, Opposite Ogbete Main Market, Enugu "
Rivers Branch Office,4.767261487,7.017518322,,,(234) 803 713 33 59,"23 Station Road, Town, Port Harcourt."
Gombe Branch Office,10.32161243,11.13383217,,,(234) 803 713 33 60,"Along Phcn Transmission Station Adjacent Jibwis College Dukku Road Gombe, Gombe State."
Delta Branch Office,6.215345794,6.683215981,,,(234) 803 713 33 61,"No.5, Amaechi Iyoh Street, Off Mariam Babangida Way ,Asaba."
Ondo Branch Office,7.225338932,5.180244999,,,(234) 803 713 33 62,"No 48, Igbalaye Street, Opposite Commercial Junction ,Oke Aro, Akure"
Akwa Ibom Branch Office,5.017444307,7.921389909,,,(234) 803 713 33 63,"164 Aka Road, Opposite De Choice Eatery, Uyo."
Kebbi Branch Office,12.45772848,4.201269093,,,(234) 803 713 33 64,Inside Malaria Complex Beside Sir Yahaya Memorial Hospital Opposite Union Bank
Oyo Branch Office,7.390998126,3.87955341,,,(234) 803 713 33 65,"No.2 Onireke Layout, Beside Ibadan Northwest Local Govt. Ibadan"
Taraba  Branch Office,8.881364981,11.37571853,,,(234) 803 713 33 66,"Adjacent Ascon Office, Opposite Abbattior ,Wuro Sembe Road, Jalingo"
Kogi  Branch Office,7.807186842,6.737903579,,,(234) 803 713 33 67,"State Universal Basic Education Board Compound,  Taiwo Road Lokoja"
Nasarawa  Branch Office,8.502964116,8.528774623,,,(234) 803 713 33 68," Low Cost Opposite State Water Board, Shendam Road, Lafia, Nasarawa State "
Bayelsa Branch Office,4.893052866,6.29366258,,,(234) 803 713 33 69,"Transparency Plaza, Block B, 6Th Floor, Ox- Bow Lake Road Yenagoa, Bayelsa State."
Niger Branch Office,9.61684212,6.544299117,,,(234) 803 713 33 70,Old Tawiyi Village Off Maitumbi Eastern Bypass Minna
Fct Branch Office,9.052667886,7.466133794,,,(234) 803 713 33 71,"Suite 316B Dbm Plaza Wuse Zone 1, Abuja"
Zamfara Branch Office,12.16288794,6.674460751,,,(234) 803 713 33 72,58 Housing Behind State Eoc Zamfara State
Sokoto Branch Office,13.04291724,5.243784672,,,(234) 803 713 33 73,"Opposite State Sub-Treasury, Ibrahim Dasuki Road Sokoto."
Lagos Branch Office,6.493441678,3.382131941,,,(234) 803 713 33 74,"2, Makoko Road, Adekunle,Yaba, Lagos "
Ebonyi  Branch Office,6.326578067,8.11109775,,,(234) 803 713 33 75,"3 Nsugbe Street Abakaliki, Ebonyi State "
Imo Branch Office,5.486615617,7.014973889,,,(234) 803 713 33 76,No 2 Sam Mbakwe Road By Emmanuel College Wetheral Round About Opposite Deeper Life Church
Kwara Branch Office,8.48762955,4.572941901,,,(234) 803 713 33 77,"No.5 Red Cross Road Off Offa Road, G.R.A, Ilorin, Kwara State."
Plateau Branch Office,9.941620244,8.892458493,,,(234) 803 713 33 78,"Nos 71 Bauchi Road,Opposite University Staff Quarter, Jos,Plateau State"
Katsina  Branch Office,12.96683199,7.600979773,,,(234) 803 713 33 79,"No 1 Bala Abdullahi Road, Sardauna  Estate Katsina"
Cross River Branch Office,4.959623923,8.321363344,,,(234) 803 713 33 80,"No 1 Garden Street, Calabar "
Yobe State  Branch Office,11.72358523,11.96603055,,,(234) 803 713 33 81,"House No. 1, 300 Housing Estate Along Potiskum-Maiduguri Bypass, Damaturu, Yobe State."
"New Market Primary Healthcare Centre, Gembu",6.725119,11.248929,,Egana Abednego,9018740888,Taraba State
NIGERIA RED CROSS CLINIC,6.4474,3.3903,,Asiat Mojisola Yusuf,8170798427,"LAGOS, YABA"
Nigerian Red Cross Medical Center,7.400237,3.952935,,Asiat Mojisola Yusuf,8170798427,Beside Bọlá Ige International Market ibadan
Nigerian Red Cross Medical Center,7.40124,3.953891,,Oluwadamilola,9024684800,Beside Bọlá Ige New Gbàgì market Ibadan
Nigerian Red Cross Society Clinic,4.962263,8.324415,,Asiat Mojisola Yusuf,8170798427,"Watt Market, Garden street Calabar"
PHC BIG QUA,4.97037,8.331908,,Asiat Mojisola Yusuf,8170798427,"6, Asim- Ikang"
