name,description,type,depth,vulnerability,fid,lat,lon
Mzalagwe secondary school borehole ,Near Mzalagwe Health centre ,Borehole or tubewell,0,no risk,5,-11.6116464,33.5659081
Mbiriyawaka Shallow Well,Near Katope trees,Unprotected dug well,0,no risk,7,-11.7828257,33.5019448
Chaluwa water point ,Near  bluegum tree ,Piped into public tap / standpipe / basin,0,no risk,9,-10.9761126,33.7182222
Chigwere Tap 13,Near Baobab tree ,Piped into public tap / standpipe / basin,0,no risk,11,-11.0236744,33.8433463
Msiya Chirwa Borehole ,Near Jandalala -Emoneni Road ,Borehole or tubewell,0,no risk,13,-11.6131466,33.6331581
Domphi kumwenda borehole ,Near msangusangu trees ,Borehole or tubewell,0,no risk,17,-11.0599821,33.8002383
Nkhalamuntheta,,Piped into public tap / standpipe / basin,0,no risk,19,-10.7640361,34.0298160
Manson chinula water point ,Near Keisha tree ,Piped into public tap / standpipe / basin,0,no risk,22,-11.0250182,33.8557628
Makupula,,Piped into public tap / standpipe / basin,0,no risk,29,-10.9635907,33.6929032
Mwenekadzungu,,Piped into public tap / standpipe / basin,0,no risk,31,-10.7379542,34.0426748
Chikalamba,,Piped into public tap / standpipe / basin,0,no risk,35,-11.0154626,33.8492036
Cheyeka,,Piped into public tap / standpipe / basin,0,no risk,36,-10.9513796,33.7500178
Mjuma,,Piped into public tap / standpipe / basin,0,no risk,40,-10.9635907,33.7684987
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,43,-11.0265499,33.8528353
Bongololo,,Piped into public tap / standpipe / basin,0,no risk,44,-10.9790590,33.7430537
Mebo Nyasulu pvt tap,At Mebo Nyasulu's compound,Piped into public tap / standpipe / basin,0,no risk,48,-10.7622564,34.2009954
Mutu FP School Borehole,Near Mangoe Tree,Borehole or tubewell,0,no risk,51,-11.7022212,33.4212882
Chatumbwa,,Piped into public tap / standpipe / basin,0,no risk,52,-11.0189932,33.8422670
Nyachima wp,Private tap,Piped into yard/plot,0,no risk,54,-10.9940467,33.7126821
GVH kayunguna tap,Near chitotho tree ,Piped into yard/plot,0,no risk,55,-10.9888018,33.7742211
Amosi munthali  water point ,Near mango tree ,Piped into public tap / standpipe / basin,0,no risk,56,-11.0084127,33.8448041
Chigwere,,Piped into public tap / standpipe / basin,0,no risk,57,-11.0234731,33.8411099
Mr Mzumala,,Borehole or tubewell,0,no risk,33760,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,21313,-10.4210000,33.7820000
Mr Mzumala,,Borehole or tubewell,0,no risk,26668,-10.4210000,33.7820000
