index,branch_name,contact_address,contact_number,contact_fax,lat,lon,remarks
0,CAIRO BRANCH,Zinhuom Building/ Al-SaidaZienab,23626683,23645332,30.02746479,31.24878848,
1,GIZA BRANCH,Kafr Tohormos/ Talbia,35858483,35858443,30.01656225,31.17472479,doubtful
2,FAYOUM BRANCH,"Lotfy Manshaet, Ahmed Shawky St.",846343369,846186611,29.31657202,30.84073516,doubtful
3,AL-QALYUBIA BRANCH,Corniche El Nil St.,133256057,133255403,29.96670175,31.24937414,doubtful
4,AL-MONUFIA BRANCH,Gamal Abdel Naser St.,482224565,482234274,30.54579704,31.01122474,
5,AL-SHARQIA BRANCH,Saad Zagloul St.,552304222,552304222,30.5886084,31.50469842,doubtful
6,AL-GHARBIA BRANCH,Al-Markz St,403335874,403335223,30.78682505,30.99229669,
7,AL-DAKAHLIA BRANCH,Khaled Ibn Al-Walid St.,502315738,502326674,31.0523467,31.39611775,
8,AL-BEHEIRA BRANCH,Al-Gish St.,453316496,453331685,31.04505052,30.47026164,
9,ALEXANDRIA BRANCH,Al-Horaya Road,33921099,33929647,31.19856493,29.90772039,
10,DAMIETTA BRANCH,Al-Shahabya Buildings/ Abu Hindia,57325509,57322869,31.35816907,31.71500101,indicative (district centre)
11,PORT SAID BRANCH,Abdel Al-Salam Aref St.,663349463,663222722,31.26913821,32.29431219,
12,KAFREL-SHEIKH BRANCH,Al-Gish St.,473223156,473223156,31.11172831,30.94096245,
13,NORTH SINAI BRANCH,Osman EbnAfan St.,683341041,683354341,30.41127506,33.75048207,indicative (district centre)
14,ISMAILIA BRANCH,Tahrir St.,643373721,643923081,30.59171964,32.26933782,
15,SUEZ,Al-Shohada St.,62337758,623337756,29.96899821,32.55107506,
16,SOUTH SINAI BRANCH,New Manshia,693771851,693771854,28.2489004,33.62622808,
17,RED SEA BRANCH,Nasr Road,653546522,653546509,27.25200729,33.81454794,indicative (district centre)
18,BENI SUEF BRANCH,El-Emam Malek St.,822158016,822317456,29.07904235,31.09054967,
19,AL-MINYA BRANCH,Saad Zaghloul St.,862364848,862365231,28.09700828,30.75430257,indicative (district centre)
20,ASYUT BRANCH,El-Shorta St.,882332094,882333367,27.1911717,31.17861715,doubtful
21,SOHAG BRANCH,10th of Ramadan St.,934601011,932332217,26.55906448,31.69563815,doubtful
22,QENA BRANCH,El-helal El-Ahmar St.,965325141,965325720,26.1581916,32.7242891,
23,LUXOR BRANCH,Rural Center/ Saylaet Badran,952383395,952383395,25.56744271,32.48705534,indicative (district centre)
24,ASWAN BRANCH,Shark El-Bandar St.,972312339,9732326334,24.08677197,32.89863518,
25,MATROUH BRANCH,Alexandria St.,464933347,464933293,31.35138003,27.24134511,
26,NEW VALLEY BRANCH,Basaten District/ El-kharga,927920545,927921618,25.43900763,30.5584408,indicative (district centre)
