fid,branch_name,lat,lon
1,ADJUMANI,3.384403111,31.78175665
2,APAC,1.986180451,32.52472533
3,ARUA,3.024493647,30.90898402
4,BUNDIBUGYO,0.701957484,30.06095911
5,BUSHENYI,-0.550906641,30.18302734
6,BUSIA,0.470216204,34.0752465
7,ENTEBBE,0.061773909,32.45606754
8,GULU,2.76595126,32.27992727
9,HOIMA,1.427546101,31.34591082
10,IGANGA,0.609664094,33.47392905
11,JINJA,0.436867578,33.20066717
12,KABALE,-1.257217953,29.97474709
13,KABAROLE,0.652923175,30.27314329
14,KALANGALA,-0.326889607,32.28384617
15,BUBULO,0.885349162,34.26967027
16,KAPCHORWA,1.402201624,34.4410985
17,KASESE,0.162133767,30.08055963
18,KATAKWI,1.916007316,33.952504
19,KISORO,-1.282785154,29.69039812
20,KITGUM,3.297059784,32.87430446
21,KOTIDO,3.012068018,34.11247193
22,KUMI,1.489711251,33.92245923
23,LIRA,2.257080051,32.89412812
24,LUWERO,0.836860958,32.49231366
25,MASAKA,-0.336464092,31.72420556
26,MASINDI,1.687782491,31.70523968
27,KIBAALE,0.764073585,31.07328071
28,MBALE,1.087248366,34.16531173
29,MBARARA,-0.610695047,30.65150743
30,MITYANA,0.40069081,32.02904791
31,MOROTO,2.538041275,34.65537231
32,MUKONO,0.351450771,32.74210552
33,NAKASONGOLA,1.314908198,32.46028772
34,MOYO,3.65692999,31.72346937
35,NEBBI,2.4768057,31.08517044
36,NTUNGAMO,-0.879619115,30.25886675
37,PADER,2.879628299,33.08553315
38,PALIISA,1.170961037,33.70127203
39,RAKAI,-0.710936714,31.39819976
40,MPIGI,0.226643126,32.32155783
41,SIRONKO,1.238891486,34.2389628
42,SOROTI,1.718999699,33.60642933
43,TORORO,0.697359559,34.18024185
44,WAKISO,0.395490609,32.46590387
45,RUKUNGIRI,-0.799442485,29.92712071
46,KAMULI,0.946813702,33.11428538
47,KAMPALA WEST (Rubaga - URCS Hqtrs),0.305351122,32.56062563
48,KAMPALA CENTRAL (Central),0.322412613,32.5880311
49,KAMPALA EAST (Nakawa),0.332035576,32.62543417
50,KAMPALA NORTH (Kawempe),0.369256382,32.58149464
51,KAMPALA SOUTH (Makindye),0.284828502,32.60945616
