evacuationCenterName,lat,lon
Langbaar B Church,6.23523,31.57149
Langbaar B primary school,6.23583,31.57154
Thon-Awai Church and Thon-Awai Primary School,6.23961,31.57171
Malou Dyke,6.229167781741889,31.55253570811904
Malek `s Church,6.066066367781489,31.603091622036914
Malek Primary School,6.068884258426575,31.60550267573208
White Nile River,6.065893826796002,31.60120258889863
Suk zero,6.16639,31.58349
Anyidi Girls primary school,6.19454,31.55139
Pakwau Dyke,6.192857055915584,31.556654829049446
