Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Housing Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall,sum_types_of_material,diff_housing_unit,percentage_,absolute_from_vulnerable_houses
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Akbar,PH150708000,2560,441,1230,0,127,757,0,0,0,0,2555,5,0.2962818,757
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Al-Barka,PH150709000,3647,503,1853,1,24,1253,2,0,3,0,3639,8,0.345699368,1258
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,City of Lamitan (Capital),PH150702000,14751,4972,6284,24,103,3244,10,6,33,23,14699,52,0.225185387,3310
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Mohammad Ajul,PH150710000,2747,510,1218,7,10,991,5,0,1,1,2743,4,0.363835217,998
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Muhtamad,PH150712000,3921,347,1309,5,30,2215,3,0,5,6,3920,1,0.568622449,2229
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Lantawan,PH150703000,4440,667,1044,0,49,2674,3,0,0,0,4437,3,0.603335587,2677
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Maluso,PH150704000,6019,741,2648,2,70,2551,1,0,1,1,6015,4,0.424605154,2554
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Sumisip,PH150705000,7388,920,3463,17,27,2915,11,1,9,18,7381,7,0.40008129,2953
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tabuan-Lasa,PH150713000,3069,97,758,0,13,2201,0,0,0,0,3069,0,0.717171717,2201
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tipo-Tipo,PH150706000,3117,524,1465,0,11,1099,0,0,1,0,3100,17,0.35483871,1100
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tuburan,PH150707000,2985,630,1670,0,44,625,0,0,0,0,2969,16,0.210508589,625
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Ungkaya Pukan,PH150711000,3060,639,1630,2,22,749,10,0,1,4,3057,3,0.24991822,764
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bacolod-Kalawi (Bacolod Grande),PH153601000,2087,821,1034,1,62,158,0,0,0,0,2076,11,0.0761079,158
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balabagan,PH153602000,4685,1923,2460,1,24,271,0,1,3,2,4685,0,0.058911419,276
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balindong (Watu),PH153603000,3960,2161,1723,0,7,17,0,0,0,0,3908,52,0.004350051,17
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bayang,PH153604000,2517,1138,1248,2,8,101,0,1,0,0,2498,19,0.040432346,101
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Binidayan,PH153605000,2749,1001,1361,31,2,51,0,0,0,8,2454,295,0.02404238,59
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Buadiposo-Buntong,PH153633000,1550,812,621,0,1,114,0,0,0,1,1549,1,0.074241446,115
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bubong,PH153606000,2227,889,1331,2,0,3,0,0,0,0,2225,2,0.001348315,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bumbaran,PH153637000,1776,613,1109,0,3,49,0,0,0,0,1774,2,0.027621195,49
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Butig,PH153607000,2491,931,1546,0,2,11,0,0,0,0,2490,1,0.004417671,11
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Calanogas,PH153632000,1820,184,1552,4,0,66,0,1,0,1,1808,12,0.037057522,67
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ditsaan-Ramain,PH153624000,1976,971,914,3,3,84,0,0,1,0,1976,0,0.043016194,85
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ganassi,PH153609000,2390,744,1414,0,11,152,0,4,48,0,2373,17,0.0842815,200
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapai,PH153610000,1716,361,1327,0,12,16,0,0,0,0,1716,0,0.009324009,16
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapatagan,PH153639000,2456,397,1867,0,2,188,0,0,0,0,2454,2,0.076609617,188
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumba-Bayabao (Maguing),PH153611000,3336,1332,1806,0,1,189,0,0,0,0,3328,8,0.056790865,189
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbaca-Unayan,PH153641000,835,286,544,0,1,4,0,0,0,0,835,0,0.004790419,4
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbatan,PH153612000,2263,871,1340,1,2,41,0,0,0,0,2255,8,0.018181818,41
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumbayanague,PH153636000,1782,758,969,0,5,49,0,0,0,0,1781,1,0.027512633,49
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Madalum,PH153613000,3332,745,2059,0,8,409,0,0,1,0,3222,110,0.127250155,410
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Madamba,PH153614000,2263,324,1599,0,3,321,0,0,0,0,2247,16,0.142857143,321
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Maguing,PH153634000,2954,1655,1157,2,7,80,0,0,0,15,2916,38,0.032578875,95
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Malabang,PH153615000,6172,1786,3983,8,11,346,2,1,8,10,6155,17,0.059463851,366
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Marantao,PH153616000,4083,2561,1381,0,29,96,0,3,0,0,4070,13,0.023587224,96
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,City of Marawi (Capital),PH153617000,20121,11652,7596,12,33,623,24,1,4,10,19955,166,0.03312453,661
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Marogong,PH153631000,2790,387,2327,0,1,75,0,0,0,0,2790,0,0.02688172,75
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Masiu,PH153618000,3022,1409,1564,0,5,42,0,1,0,0,3021,1,0.013902681,42
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Mulondo,PH153619000,1161,646,499,0,0,3,0,0,0,0,1148,13,0.00261324,3
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Pagayawan (Tatarikan),PH153620000,1331,211,1051,1,1,53,0,0,0,0,1317,14,0.040242976,53
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Piagapo,PH153621000,3756,678,3041,0,0,31,0,0,0,0,3750,6,0.008266667,31
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Picong (Sultan Gumander),PH153635000,2342,579,1297,1,9,343,4,3,35,67,2338,4,0.192044482,449
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Poona Bayabao (Gata),PH153622000,2469,1032,1422,0,0,2,0,0,0,0,2456,13,0.000814332,2
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Pualas,PH153623000,1415,481,897,2,1,22,0,0,2,0,1405,10,0.017081851,24
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Saguiaran,PH153625000,2275,1058,1157,0,0,30,0,0,17,0,2262,13,0.020778073,47
