Region,PCODE_REG,Province,PCODE_PROV,City_Municipality,PCODE_MUN_CTY,Total # of Active HHs,housing_unit,
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,ADAMS,PH012801000,169,411,0.411192214
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,BACARRA,PH012802000,643,7717,0.083322535
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,BADOC,PH012803000,"1,489",7155,0.208106219
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,BANGUI,PH012804000,528,3534,0.149405772
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,CITY OF BATAC,PH012805000,"1,697",12348,0.137431163
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,BURGOS,PH012806000,372,2352,0.158163265
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,CARASI,PH012807000,58,304,0.190789474
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,CURRIMAO,PH012808000,387,2658,0.145598194
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,DINGRAS,PH012809000,"1,571",8394,0.187157493
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,DUMALNEG,PH012810000,69,555,0.124324324
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,BANNA (ESPIRITU),PH012811000,842,4421,0.190454648
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,CITY OF LAOAG (Capital),PH012812000,"1,762",23229,0.075853459
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,MARCOS,PH012813000,821,3919,0.209492217
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,NUEVA ERA,PH012814000,552,2038,0.270853778
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,PAGUDPUD,PH012815000,"1,107",5427,0.2039801
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,PAOAY,PH012816000,814,5436,0.149742458
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,PASUQUIN,PH012817000,"1,009",6441,0.156652694
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,PIDDIG,PH012818000,695,4866,0.142827785
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,PINILI,PH012819000,814,3812,0.213536201
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,SAN NICOLAS,PH012820000,689,7846,0.087815447
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,SARRAT,PH012821000,535,5594,0.095638184
Region I (Ilocos Region),PH010000000,ILOCOS NORTE,PH012800000,SOLSONA,PH012822000,760,5270,0.144212524
