date,year,month,district,DMP
2012-01-01,2012,1,ABIM,9746
2012-01-01,2012,1,KIBOGA,16634
2012-01-01,2012,1,BUDUDA,5376
2012-01-01,2012,1,NAMUTUMBA,7488
2012-01-01,2012,1,NAMISINDWA,4397
2012-01-01,2012,1,NAMAYINGO,5140
2012-01-01,2012,1,BUGIRI,10534
2012-01-01,2012,1,NAKASONGOLA,29834
2012-01-01,2012,1,NAKASEKE,33461
2012-01-01,2012,1,BUHWEJU,12318
2012-01-01,2012,1,NAKAPIRIPIRIT,20884
2012-01-01,2012,1,MUKONO,26050
2012-01-01,2012,1,BUIKWE,19609
2012-01-01,2012,1,MUBENDE,53550
2012-01-01,2012,1,MPIGI,16694
2012-01-01,2012,1,MOYO,4277
2012-01-01,2012,1,BUKEDEA,8433
2012-01-01,2012,1,ZOMBO,7291
2012-01-01,2012,1,MITYANA,19225
2012-01-01,2012,1,BUKOMANSIMBI,7175
2012-01-01,2012,1,MITOOMA,10591
2012-01-01,2012,1,MBARARA,21534
2012-01-01,2012,1,BUKWO,7519
2012-01-01,2012,1,MBALE,5603
2012-01-01,2012,1,MAYUGE,13453
2012-01-01,2012,1,MASINDI,29743
2012-01-01,2012,1,NAPAK,15402
2012-01-01,2012,1,NEBBI,4995
2012-01-01,2012,1,BUDAKA,3134
2012-01-01,2012,1,BULIISA,7581
2012-01-01,2012,1,MOROTO,20410
2012-01-01,2012,1,MARACHA,1996
2012-01-01,2012,1,RUKIGA,4821
2012-01-01,2012,1,BULAMBULI,7013
2012-01-01,2012,1,RUBANDA,9382
2012-01-01,2012,1,AMUDAT,10685
2012-01-01,2012,1,RUBIRIZI,13611
2012-01-01,2012,1,RUKUNGIRI,19869
2012-01-01,2012,1,AMOLATAR,8079
2012-01-01,2012,1,SERERE,11347
2012-01-01,2012,1,ALEBTONG,9866
2012-01-01,2012,1,SHEEMA,9485
2012-01-01,2012,1,RAKAI,31161
2012-01-01,2012,1,SOROTI,9627
2012-01-01,2012,1,SIRONKO,6628
2012-01-01,2012,1,OTUKE,7414
2012-01-01,2012,1,AMURIA,14988
2012-01-01,2012,1,PAKWACH,3471
2012-01-01,2012,1,PADER,12662
2012-01-01,2012,1,AMURU,12235
2012-01-01,2012,1,OYAM,14546
2012-01-01,2012,1,APAC,20338
2012-01-01,2012,1,OMORO,9645
2012-01-01,2012,1,NWOYA,19470
2012-01-01,2012,1,NTUNGAMO,26415
2012-01-01,2012,1,ARUA,17274
2012-01-01,2012,1,NTOROKO,7591
2012-01-01,2012,1,PALLISA,5470
2012-01-01,2012,1,AGAGO,15562
2012-01-01,2012,1,MASAKA,13856
2012-01-01,2012,1,LYANTONDE,10117
2012-01-01,2012,1,NGORA,4826
2012-01-01,2012,1,LWENGO,12031
2012-01-01,2012,1,KAYUNGA,15824
2012-01-01,2012,1,KATAKWI,12435
2012-01-01,2012,1,GOMBA,20990
2012-01-01,2012,1,KASESE,34482
2012-01-01,2012,1,KAPCHORWA,5310
2012-01-01,2012,1,GULU,7315
2012-01-01,2012,1,KANUNGU,16238
2012-01-01,2012,1,KAMWENGE,29359
2012-01-01,2012,1,KAMULI,15556
2012-01-01,2012,1,KIBUKU,4167
2012-01-01,2012,1,HOIMA,36838
2012-01-01,2012,1,IBANDA,11505
2012-01-01,2012,1,KALIRO,6673
2012-01-01,2012,1,KALANGALA,6552
2012-01-01,2012,1,IGANGA,9952
2012-01-01,2012,1,KAKUMIRO,16905
2012-01-01,2012,1,KAGADI,16298
2012-01-01,2012,1,KABERAMAIDO,9541
2012-01-01,2012,1,ISINGIRO,30702
2012-01-01,2012,1,KABAROLE,19632
2012-01-01,2012,1,KABALE,7659
