Year,Observed WRSI,,,Ensemble member,December,February,,,
1983,0.86,,,1,0.82,0.86,,,
1984,0.86,,,2,0.87,0.85,,,
1985,0.83,,,3,0.78,0.86,,,
1986,0.79,,,4,0.86,0.86,,,
1987,0.69,,,5,0.87,0.86,,,
1988,0.69,,,6,0.77,0.86,,,
1989,0.82,,,7,0.77,0.86,,,
1990,0.76,,,8,0.85,0.86,,,
1991,0.83,,,9,0.81,0.86,,,
1992,0.75,,,10,0.85,0.86,,,
1993,0.73,,,11,0.81,0.86,,,
1994,0.77,,,12,0.78,0.85,,,
1995,0.83,,,13,0.77,0.86,,,
1996,0.82,,,14,0.78,0.86,,,
1997,0.85,,,15,0.8,0.86,,,
1998,0.77,,,,,,,,
1999,0.69,,,,,,,,
2000,0.95,,,,,,,,
2001,0.71,,,,,,,,
2002,0.83,,,,,,,,
2003,0.78,,,,,,,,
2004,0.88,,,,,,,,
2005,0.74,,,,,,,,
2006,0.84,,,,,,,,
2007,0.84,,,,,,,,
2008,0.72,,,,,,,,
2009,0.74,,,,,,,,
2010,0.81,,,,,,,,
2011,0.76,,,,,,,,
2012,0.81,,,,,,,,
2013,0.77,,,,,,,,
2014,0.75,,,,,,,,
2015,0.72,,,,,,,,
2016,0.73,,,,,,,,
2017,0.77,,,,,,,,
2018,0.85,,,,,,,,
2019,0.78,,,,,,,,
