ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear,ExtractGroup
G0814,GRDC,1104150,NA,NA,Sidi Belatar,Chelif,Chelif,DZ,Algeria,Africa,43,43750,44624,36.02,0.27,35.95,0.45,1,1, , ,09/01/1978,8/31/2001, ,0,0,,2017,AF_20190502
G0959,GRDC,1134850,NA,NA,Tossaye,Niger,Niger,ML,Mali,Africa,44,348000,342635,16.93,-0.58,16.15,-3.55,1,1, ,[ZZ] 2 pixels apart from G0968 not much between,06/01/1954,12/31/1992, ,0,0,,0,AF_20190502
G0960,GRDC,1134730,DFO,59,Koryoume,Niger,Niger,ML,Mali,Africa,44,342000,386083,16.6666,-3.0333,16.65,-3.05,1,1, , ,8/14/1963,4/30/2001, ,0,0,,2017,AF_20190502
G0963,GRDC,1134620,NA,NA,Goundam,Tassakan,Niger,ML,Mali,Africa,44,-9999,13562,16.42,-3.65,16.45,-3.65,1,1, ,[ZZ]ldd is incorrect as in fact river feeds the lake not the opposite,07/01/1931,12/31/1990, ,0,0,,0,AF_20190502
G0966,GRDC,1134700,NA,NA,Dire,Niger,Niger,ML,Mali,Africa,44,340000,364536,16.2667,-3.3833,16.25,-3.35,1,1, , ,01/01/1924,12/31/2003, ,0,0,,2017,AF_20190502
G0968,GRDC,1134630,NA,NA,Tonka,Niger,Niger,ML,Mali,Africa,44,-9999,341920,16.13,-3.75,16.15,-3.75,1,1, ,[ZZ] 2 pixels apart from G0959 not much between,07/01/1954,12/31/1992, ,442,0,,0,AF_20190502
G0970,GRDC,1134650,NA,NA,Sarafere,Bara Issa,Niger,ML,Mali,Africa,44,-9999,19991,15.82,-3.7,15.85,-3.65,1,0, ,[NV] Exclude?. Too many gaps,06/08/1954,12/31/1992, ,0,0,,0,AF_20190502
G0976,GRDC,1134900,NA,NA,Ansongo,Niger,Niger,ML,Mali,Africa,44,566000,548879,15.6667,0.5,15.65,0.45,1,1, , ,10/19/1950,4/30/2001, ,0,0,,0,AF_20190502
G0979,GRDC,1134600,NA,NA,Akka,Niger,Niger,ML,Mali,Africa,44,-9999,303537,15.4,-4.23,15.45,-4.25,1,0, ,[NV] Exclude?. Too many gaps,01/01/1987,12/31/1990, ,369,0,,0,AF_20190502
G0988,GRDC,1812500,NA,NA,Bakel,Senegal,Senegal,ML,Mali,Africa,44,218000,253631,14.9,-12.45,14.45,-11.55,1,0, ,[NV] Exclude?.  Too many gaps,05/01/1979,4/30/1989, ,0,0,,0,AF_20190502
G0990,GRDC,1234080,NA,NA,Alcongui,Gorouol,Niger,NE,Niger,Africa,44,44900,43322,14.75,0.6,14.85,0.25,1,1, , ,6/22/1961,4/30/1988, ,0,0,,0,AF_20190502
G0991,GRDC,1234090,DIST,NA,Kandadji,Niger,Niger,NE,Niger,Africa,44,-9999,616202,14.6167,0.9833,14.65,0.95,1,1, ,data after  1/1/2006 from Dist From ABN (Niger Basin Authority) Database,01/01/1975,4/30/2018, ,0,0,10/03/2018,2017,AF_20190502
G0994,GRDC,1134500,NA,NA,Nantaka  Mopti,Niger,Niger,ML,Mali,Africa,44,281600,276868,14.53,-4.22,14.65,-4.15,1,1, , ,01/01/1922,4/30/2001, ,0,0,,0,AF_20190502
G0995,GRDC,1112100,NA,NA,Kayes,Senegal,Senegal,ML,Mali,Africa,44,157400,148919,14.45,-11.28,14.35,-11.35,1,0, ,[NV] Exclude?.  Too many gaps,01/01/1981,12/31/1990, ,0,0,,0,AF_20190502
G0996,GRDC,1812600,NA,NA,Kidira,Faleme,Senegal,SN,Senegal,Africa,44,28900,29025,14.45,-12.22,14.35,-12.25,1,1, , ,6/29/1979,3/31/1989, ,0,0,,0,AF_20190502
G0998,GRDC,1112110,NA,NA,Kabate,Kolimbine,Senegal,ML,Mali,Africa,44,25000,29483,14.31,-11.13,16.75,-9.05,1,0, ,[NV] Exclude?. Too many gaps,07/05/1981,12/31/1990, ,0,0,,0,AF_20190502
G0999,GRDC,1134420,NA,NA,Kara,Diaka,Niger,ML,Mali,Africa,44,-9999,135146,14.17,-5.02,14.15,-5.05,0,0, ,[NV] Exclude?. Too many gaps,5/21/1952,12/31/1990, ,0,0,,0,AF_20190502
G1000,GRDC,1134460,NA,NA,Tilembeya,Niger,Niger,ML,Mali,Africa,44,143300,145399,14.15,-4.98,14.25,-4.55,1,1, , ,6/21/1922,12/31/1992, ,0,0,,0,AF_20190502
G1001,GRDC,1134480,NA,NA,Sofara,Bani,Niger,ML,Mali,Africa,44,129000,128944,14.02,-4.25,14.25,-4.15,1,0, ,[NV] Exclude?. Too many gaps,01/01/1952,12/31/1992, ,0,0,,0,AF_20190502
G1002,GRDC,1134400,NA,NA,Ke Macina,Niger,Niger,ML,Mali,Africa,44,141000,134785,13.95,-5.37,13.95,-5.25,1,1, , ,01/01/1953,12/31/1992, ,0,0,,0,AF_20190502
