name,pcode,Impact_data,Glofas_st,Glofas_st2,Glofas_st3,Glofas_st4,Total_Glofas,mountainuous,close_to_lake,Affected_noGlofas
Abeibara,ML0801,0,,,,,0,,,0
Ansongo,ML0701,1,F0007,G0976,,,2,,,0
Bafoulabe,ML0101,1,F0013,G1003,G1011,,3,,,0
Bamako,ML0901,1,F0003,F0002,,,2,,,0
Banamba,ML0201,1,,,,,0,,,1
Bandiagara,ML0501,1,,,,,0,,,1
Bankass,ML0502,1,,,,,0,,,1
Baraoueli,ML0401,1,F0009,F0004,,,2,,,0
Bla,ML0402,1,F0009,,,,1,,,0
Bougouni,ML0301,1,F0010,,,,1,,,0
Bourem,ML0702,1,G4829,F0006,G4782,,3,,,0
Diema,ML0102,1,G1014,,,,1,,,0
Dioila,ML0202,1,G1029,F0011,G4930,,3,,,0
Dire,ML0601,1,F0006,,,,1,,,0
Djenne,ML0503,1,F0008,G1000,,,2,,,0
Douentza,ML0504,1,,,,,0,,,1
Gao,ML0703,1,F0007,,,,1,,,0
Goundam,ML0602,1,F0006,G4842,,,2,,,0
Gourma-Rharous,ML0603,1,F0006,G4829,,,2,,,0
Kadiolo,ML0302,1,F0011,,,,1,,,0
Kangaba,ML0203,1,F0002,G1041,,,2,,,0
Kati,ML0204,1,F0002,F0003,,,2,,,0
Kayes,ML0103,1,F0012,G4880,,,2,,,0
Kenieba,ML0104,1,F0013,G1015,,,2,,,0
Kidal,ML0802,1,G4782,,,,1,,,0
Kita,ML0105,1,F0013,G1009,G1011,G1014,4,,,0
Kolokani,ML0205,1,,,,,0,,,1
Kolondieba,ML0303,1,F0011,,,,1,,,0
Koro,ML0505,1,,,,,0,,,1
Koulikoro,ML0206,1,F0004,F0003,,,2,,,0
Koutiala,ML0304,1,G1040,,,,1,,,0
Macina,ML0403,1,F0005,G1002,,,2,,,0
Menaka,ML0704,1,G4817,,,,1,,,0
Mopti,ML0506,1,F0005,F0008,,,2,,,0
Nara,ML0207,1,,,,,0,,,1
Niafunke,ML0604,1,F0006,G0979,,,2,,,0
Niono,ML0404,1,,,,,0,,,1
Nioro,ML0106,1,,,,,0,,,1
San,ML0405,1,F0009,G1010,,,2,,,0
Segou,ML0406,1,F0009,G1786,G1005,,3,,,0
Sikasso,ML0305,1,F0011,,,,1,,,0
Tenenkou,ML0507,1,F0005,G0999,,,2,,,0
Tessalit,ML0803,1,G4740,G4734,,,2,,,0
Tin-Essako,ML0804,0,,,,,0,,,0
Tombouctou,ML0605,1,F0006,G4729,,,2,,,0
Tominian,ML0407,1,,,,,0,,,1
Yanfolila,ML0306,1,F0001,,,,1,,,0
Yelimane,ML0107,1,,,,,0,,,1
Yorosso,ML0307,1,,,,,0,,,1
Youwarou,ML0508,0,G0979,,,,0,,,0
