source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://floodlist.com/africa/uganda-floods-northern-region-august-2017,Amuru,22/08/2017,8,H,3000,,1
Report on Bududa District Local Gov't/ 5 year Disater Preparedness & Mgt Plan 2007/08 - 2011/12.,BUDUDA,01/10/2001,6,L,,,1
Report on Bududa District Local Gov't/ 5 year Disater Preparedness & Mgt Plan 2007/08 - 2011/12.,BUDUDA,01/10/2007,6,M,280,,1
New Vision,BUDUDA,28/04/2010,4,M,,,1
Report on Bududa District Local Gov't/ 5 year Disater Preparedness & Mgt Plan 2007/08 - 2011/12.,BUDUDA,01/10/2010,8,M,203,3,1
https://reliefweb.int/disaster/ms-2011-000110-uga,Bududa,11/08/2011,7,H,6400,7,1
new vision,BUDUDA,03/07/2012,6,M,,,1
OPM,BUDUDA,01/10/2012,6,M,,,1
BUDUDA DISTRICT,BUDUDA,01/10/2013,4,M,,,1
OPM,BUDUDA,02/06/2014,6,M,,,1
District Files,BUDUDA,25/05/2018,4,M,,,1
http://floodlist.com/africa/uganda-landslides-floods-bududa-eastern-region-october-2018,Bududa,11/10/2018,8,H,,34,1
Letter Ref: CR/214/9 from CAO,BUKWO,25/03/2010,8,M,,,1
https://allafrica.com/stories/201005170065.html,Bukwo,01/05/2010,2,M,,3,1
NewVision,BULAMBULI,30/09/2010,4,H,,,1
Letter Ref: ADM/123/1,BULAMBULI,04/10/2010,8,H,,,1
Assessment report from OPM dated 31/08/2011,BULAMBULI,15/08/2011,8,H,,,1
new vision,BULAMBULI,11/11/2011,4,H,,,1
OPM,BULAMBULI,19/10/2013,6,H,,,1
New Vision ,BULAMBULI,17/10/2014,4,H,,,1
District Files,BULAMBULI,10/04/2017,6,H,,,1
District Files,BULAMBULI,17/04/2017,6,H,,,1
District Files,BULAMBULI,28/06/2017,6,H,,,1
https://reliefweb.int/report/uganda/bulambuli-district-hit-floods,Bulambuli,20/05/2018,6,H,3000,,1
district,BULAMBULI,07/06/2018,6,H,,,1
Uganda Red Cross Society-Mbale Branch,BUTALEJA,28/11/2006,8,H,,,1
Statement to parliament by Minister of state on El-nino dated 7/12/2006,BUTALEJA,07/12/2006,8,H,,,1
Ref-OPM/DM/92,BUTALEJA,21/07/2009,8,H,,,1
Ministry of Foreighn Affairs,BUTALEJA,20/02/2010,4,H,,,1
Rapid assessment report from OPM dated 20/05/2010,BUTALEJA,04/03/2010,8,H,,,1
NewVision,BUTALEJA,10/03/2010,4,H,,,1
https://www.newvision.co.ug/new_vision/news/1293620/butaleja-flood-victims-receive-aid,Butaleja,19/03/2010,2,H,2000,,1
New Vision,BUTALEJA,28/05/2010,4,H,,,1
NewVision,BUTALEJA,14/08/2010,4,H,,,1
New Vision,BUTALEJA,29/09/2010,4,H,,,1
"Report from Min. of State for Disaster Preparedness, Relief and Refugees",BUTALEJA,29/08/2011,8,H,,,1
Internal memo from DPO on floodsituation in the District,BUTALEJA,09/09/2011,8,H,,,1
Letter from the District Chairperson dated 30/11/2006,BUTALEJA,19/09/2011,8,H,,,1
Letter from the woman MP dated 9th/08/2011 ,BUTALEJA,20/09/2011,8,H,,,1
BUTALEJA DISTRICT LOCAL GOVERNMENT,BUTALEJA,09/11/2014,8,H,,,1
District Files,BUTALEJA,06/03/2017,4,H,,,1
CAO BUTALEJA,BUTALEJA,07/03/2017,4,H,,,1
District Files,BUTALEJA,26/03/2018,4,H,,,1
District Files,BUTALEJA,04/04/2018,4,H,,,1
district file,BUTALEJA,29/04/2018,4,H,,,1
DISTRICT,BUTALEJA,01/05/2018,4,H,,,1
district file,BUTALEJA,03/05/2018,4,H,,,1
Butaleja district local government,BUTALEJA,04/05/2018,4,H,,,1
OPM,BUTALEJA,20/06/2018,4,H,,,1
OPM,BUTALEJA,04/10/2018,4,H,,,1
New Vision,BUYENDE,26/05/2010,4,H,,,1
New-Vision April 12,BUYENDE,01/04/2013,4,H,,,1
http://floodlist.com/africa/uganda-floods-eastern-region-april-2019,Buyende,23/04/2019,8,H,1000,18,1
"Report from Min. of State for Disaster Preparedness, Relief and Refugees",GULU,01/09/2007,8,M,,,1
New Vision,GULU,12/09/2007,4,M,,,1
http://www.monitor.co.ug/News/Education/-/688336/800292/-/10w5hn7/-/index.html,Gulu,18/12/2007,4,M,,,1
http://www.monitor.co.ug/News/National/-/688334/757678/-/vxx2pe/-/index.html,Gulu,18/11/2008,4,M,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/758392/-/4or6fd/-/index.html,Gulu,23/11/2008,4,M,,,1
http://www.monitor.co.ug/News/National/-/688334/1031488/-/cmhiptz/-/index.html,Gulu,13/10/2010,4,M,,,1
http://www.monitor.co.ug/SpecialReports/-/688342/1038452/-/u91qxx/-/index.html,Gulu,23/10/2010,4,M,,,1
http://www.monitor.co.ug/News/National/-/688334/1211886/-/bkk1w7z/-/index.html,Gulu,08/02/2011,4,M,,,1
