link,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://floodlist.com/africa/uganda-floods-northern-region-august-2017,Amuru,8/22/2017,8,H,3000,,1
https://reliefweb.int/disaster/ms-2011-000110-uga,Bududa,8/11/2011,7,H,6400,7,1
http://floodlist.com/africa/uganda-landslides-floods-bududa-eastern-region-october-2018,Bududa,10/11/2018,8,H,,34,1
https://allafrica.com/stories/201005170065.html,Bukwo,5/1/2010,2,M,,3,1
https://reliefweb.int/report/uganda/bulambuli-district-hit-floods,Bulambuli,5/20/2018,6,M,3000,,1
https://www.newvision.co.ug/new_vision/news/1293620/butaleja-flood-victims-receive-aid,Butaleja,3/19/2010,2,M,2000,,1
http://floodlist.com/africa/uganda-floods-eastern-region-april-2019,Buyende,4/23/2019,8,H,1000,18,1
http://floodlist.com/africa/uganda-south-sudan,Gulu,11/3/2013,3,M,,,1
https://reliefweb.int/disaster/ms-2011-000110-uga,Kaabong,8/11/2011,7,H,6400,7,1
https://www.newvision.co.ug/new_vision/news/1200891/flood-ravages-kabale-hills-bear,Kabale,11/1/2009,2,H,,6,1
http://floodlist.com/africa/floods-kampala-uganda,Kampala,9/3/2013,8,L,,,1
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,Kampala,4/13/2016,8,M,,,1
http://floodlist.com/africa/uganda-floods-november-2018,Kampala,11/17/2018,3,M,,5,1
http://floodlist.com/africa/uganda-flash-floods-kampala-may-2019,Kampala,5/28/2019,6,H,1500,8,1
https://www.newvision.co.ug/new_vision/news/1085491/floods-stop-city-business,Kampala,3/6/2002,4,L,,,1
https://www.newvision.co.ug/new_vision/news/1325557/floods-sweep-prado-vehicle-kilometre,Kampala,5/7/2015,8,L,,,1
https://www.newvision.co.ug/new_vision/news/1215221/killed-kampala-floods,Kampala,11/16/2007,8,M,,4,1
http://floodlist.com/africa/uganda-floods-eastern-region-april-2019,Kamuli,4/23/2019,8,H,1000,18,1
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,Kasese,4/13/2016,8,M,1000,,1
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,Kasese,4/17/2016,8,M,1000,,1
https://theinsider.ug/index.php/2017/08/08/floods-kill-3-children-in-kasese/,Kasese,8/7/2017,6,M,,3,1
https://www.newvision.co.ug/new_vision/news/1340533/updf-joins-kasese-flood-rescue-efforts,Kasese,5/7/2014,2,H,,5,1
https://reliefweb.int/report/uganda/kasese-floods-affected-population-now-25445,Kasese,5/8/2013,7,H,25000,,1
https://www.newvision.co.ug/new_vision/news/1282478/floods-ravage-rwenzori-region,Kasese,9/18/2010,3,M,,1,1
https://www.ifrc.org/ar/news-and-media/news-stories/africa/uganda/floods-continue-to-ravage-uganda/,Katakwi,9/18/2007,7,H,60000,,1
https://www.newvision.co.ug/new_vision/news/1479737/famine-looms-katakwi-residents-relief,Katakwi,5/24/2018,7,,,,1
https://www.newvision.co.ug/new_vision/news/1176923/floods-cut-katakwi-amuria-roads,Katakwi,11/9/2008,6,M,6000,,1
https://reliefweb.int/report/uganda/floods-105-latrines-collapse-wera-katakwi-district,Katakwi,9/28/2011,3,M,,,1
https://ugandaradionetwork.com/story/katakwi-hit-by-floods,Katakwi,9/28/2012,5,M,,,1
https://www.monitor.co.ug/News/National/Bad-roads-paralyse-trade-in-Karamoja/-/688334/2678566/-/gbejpfz/-/index.html,Katakwi,4/6/2015,5,M,,,1
https://www.monitor.co.ug/News/National/-/688334/1012362/-/cnox1oz/-/index.html,Katakwi,9/13/2010,5,M,,,1
https://www.newvision.co.ug/new_vision/news/1218477/camps-created-lira-flood-victims,Lira,9/30/2007,4,H,50000,,1
https://www.newvision.co.ug/new_vision/news/1307023/flooded-bridge-disrupts-lira-apac-transport,Lira,8/13/2014,8,L,,,1
http://floodlist.com/africa/uganda-floods-mbarara-march-2018,Mbarara,3/14/2018,8,M,,1,1
https://allafrica.com/stories/201001080242.html,Mukono,1/6/2010,5,M,,1,1
https://allafrica.com/stories/201211140537.html,Nakaseke,11/1/2012,3,L,,,1
http://floodlist.com/africa/16000-displaced-uganda-river-semliki-overflows,Ntoroko,11/1/2014,8,H,8000,,1
https://reliefweb.int/report/uganda/ntoroko-flood-victims-call-more-relief,Ntoroko,10/10/2012,2,M,3000,,1
https://reliefweb.int/disaster/fl-2008-000175-uga,Pallisa,9/12/2008,2,M,700,,1
http://floodlist.com/africa/uganda-floods-landslide-rubanda-september-2017,Rubanda,9/26/2017,9,H,,15,1
https://www.newvision.co.ug/new_vision/news/1057373/tororo-floods-kill,Tororo,5/7/2002,3,H,,2,1
http://floodlist.com/africa/uganda-floods-november-2018,Wakiso,11/17/2018,3,M,,5,1
