"Z_NAME","W_NAME","st1","st2","st3","st4"
"East Shewa","Adama","G1074",NA,NA,NA
"Afar Zone 1","Afambo","G4951","G4954",NA,NA
"Nuwer","Akobo","G5056",NA,NA,NA
"Afar Zone 3","Amibara","G1067",NA,NA,NA
"Borena","Arero","KEGVS16",NA,NA,NA
"Afar Zone 1","Asayita","G1045","G1053",NA,NA
"Afar Zone 3","Awash Fentale","G1067","G1074",NA,NA
"Siti","Ayisha","G4954",NA,NA,NA
"West Gojam","Bahirdar Zuria","G4953",NA,NA,NA
"Basketo Sp. Wer","Basketo","G1901",NA,NA,NA
"South Omo","Bena Tsemai","G1901",NA,NA,NA
"Afar Zone 5","Bure Mudaytu","G1067","G1053",NA,NA
"Afar Zone 1","Chifra","G1053",NA,NA,NA
"South Omo","Dasenech (Kuraz)","G1901",NA,NA,NA
"South Gonder","Dera (Amhara)","G957",NA,NA,NA
"Afar Zone 5","Dewe","G1067","G1053",NA,NA
"Liben","Dolo Odo","KEGVS16","G5141",NA,NA
"Afar Zone 1","Dubti","G1045","G1053",NA,NA
"Afar Zone 3","Dulecha","G1067",NA,NA,NA
"Gurage","Enemor Ener","G6107","G6108",NA,NA
"Afar Zone 4","Ewa","G1045",NA,NA,NA
"South Gonder","Farta","G4965","G4957",NA,NA
"East Shewa","Fientale","G1074",NA,NA,NA
"Liben","Filtu","G5115","G5141",NA,NA
"South Gonder","Fogera","G4965",NA,NA,NA
"Agnewak","Gambella Town","G1603",NA,NA,NA
"Jima","Gera","G6111",NA,NA,NA
"Afar Zone 3","Gewane","G1053",NA,NA,NA
"Bale","Ginir","G1902",NA,NA,NA
"Agnewak","Gog","G5056",NA,NA,NA
"Agnewak","Jore","G5056",NA,NA,NA
"Arsi","Golocha","G5076",NA,NA,NA
"Bale","Gololcha Bale","G5081",NA,NA,NA
"Liben","Guradamole","G5115",NA,NA,NA
"North Wello","Habru","G1045",NA,NA,NA
"South Omo","Hamer","G1901",NA,NA,NA
"Agnewak","Itang","G1603","G5056",NA,NA
"Nuwer","Jikawo","G1603",NA,NA,NA
"Nuwer","Lare","G1603","G5056",NA,NA
"Agnewak","Jore","G5056",NA,NA,NA
"Gamugofa","Kemba","G1901",NA,NA,NA
"Jima","Kersa","G6109",NA,NA,NA
"South Omo","Kuraz (Dasenech and Yangatom)","G1901",NA,NA,NA
"South Omo","Kuraz (Dasenech)","G1901",NA,NA,NA
"East Shewa","Kurfa Chele","G5068",NA,NA,NA
"Bale","Lege Hida","G5076","G5081",NA,NA
"South Gonder","Libokemekem","G4965",NA,NA,NA
"South Omo","Male","G1901",NA,NA,NA
"West Gojam","Mecha","G4977",NA,NA,NA
"Afar Zone 1","Mile","G1053",NA,NA,NA
"Gurage","Muhur Na Aklil","G6108",NA,NA,NA
"Afar Zone 5","Samurobi Gele'alo","G1067",NA,NA,NA
"South Omo","selamgo","G1901",NA,NA,NA
"West Gojam","Semen Achefer","G4977",NA,NA,NA
"Arsi","Seru","G5076",NA,NA,NA
"Bale","Seweyna","G5081",NA,NA,NA
"Siti","Shinile","G4954",NA,NA,NA
"Harar","Sofi","G5068",NA,NA,NA
"Borena","Teltale","G5173",NA,NA,NA
"West Shewa","Tikur Enchini","G6110",NA,NA,NA
"Nuwer","Wantawo","G5056",NA,NA,NA
"Gedeo","Wenago","G4979",NA,NA,NA
"Afder","west Imi","G1907",NA,NA,NA
"South Wello","Worebabu","G1045",NA,NA,NA
"Borena","Yabelo","G5173",NA,NA,NA
"Yem Sp. Wer.","Yem SP woreda","G6109",NA,NA,NA
"West Gojam","Yilmana Densa","G4953",NA,NA,NA
"Shebelle","East Imey","G5081","G5082","G1907",NA
"Shebelle","Danan","G1904","G1905","G1906","G1907"
"Shebelle","East Imi","G1904","G1905","G1906","G1907"
"Shebelle","Ferfer","G1904","G1905","G1906","G1907"
"Shebelle","Gode","G1904","G1905","G1906","G1907"
"Shebelle","Kelafo","G1904","G1905","G1906","G1907"
"Shebelle","Mustahil","G1904","G1905","G1906","G1907"
