"time","Baringo","Bomet","Bungoma","Busia","Elgeyo-Mar","Embu","Garissa","Homa Bay","Nyeri","Isiolo","Kajiado","Kakamega","Kericho","Kiambu","Kilifi","Kirinyaga","Kisii","Kisumu","Kitui","Kwale","Laikipia","Machakos","Makueni","Mandera","Samburu","Marsabit","Meru","Migori","Murang'a","Nairobi","Nakuru","Nandi","Nyamira","Nyandarua","Siaya","Taita Tave","Tana River","Tharaka-Ni","Trans Nzoi","Turkana","Uasin Gish","Vihiga","Wajir","West Pokot","Narok","Mombasa","Lamu"
"01-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28779719893646e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34740469093231e-06,0,0,0,0,0,0,0
"04-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11128167393326e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06-01-2000",0,0,0,0,0,0,0,0,0,0,4.03784497393644e-06,0,0,0,0.000862806278746575,0,0,0,0.0287804063409567,0.000235515050007962,0,0,0.000125535385450348,0,0,0,0,3.80625344575947e-08,0,0,0,0,0,0,0,0.0395717211067677,0.0138010829687119,0,0,0,0,0,0,0,0,0,0
"07-01-2000",0,0,0,0,0,0,0,0,0,4.0866343624657e-06,0,0,0,0,0.00148477521724999,0,0,0,0.0287365186959505,0.000349973852280527,0,0,0.00214572995901108,0,0,0,0,1.43066039015594e-08,0,0,0,0,0,0,0,0.0396848767995834,0.0244876984506845,0,0,0.0209999028593302,0,0,2.44353395828512e-06,0,0,0,0
"08-01-2000",0,0,0,0,0,0,0,6.74201737638214e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84271794348024e-05,0,0,0,0,0,0,0,0,0,0,0,0.0447050034999847,0,0,0,0,0,0,0
"09-01-2000",0,0,0,0,0,0,0,3.55136961616154e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15207250625826e-06,0,0,0,0,0,0,0,0,0,0,0,2.13078095612218e-07,0,0,0,0,0,0,0
"10-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
