ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM0_EN,ADM0_PCODE
Ainabkoi,KE027144,Uasin Gishu,KE027,Kenya,KE
Ainamoi,KE035190,Kericho,KE035,Kenya,KE
Aldai,KE029152,Nandi,KE029,Kenya,KE
Alego Usonga,KE041234,Siaya,KE041,Kenya,KE
Awendo,KE044254,Migori,KE044,Kenya,KE
Bahati,KE032174,Nakuru,KE032,Kenya,KE
Balambala,KE007028,Garissa,KE007,Kenya,KE
Banissa,KE009040,Mandera,KE009,Kenya,KE
Baringo Central,KE030159,Baringo,KE030,Kenya,KE
Baringo North,KE030158,Baringo,KE030,Kenya,KE
Baringo South,KE030160,Baringo,KE030,Kenya,KE
Belgut,KE035192,Kericho,KE035,Kenya,KE
Bobasi,KE045264,Kisii,KE045,Kenya,KE
Bomachoge Borabu,KE045263,Kisii,KE045,Kenya,KE
Bomachoge Chache,KE045265,Kisii,KE045,Kenya,KE
Bomet Central,KE036197,Bomet,KE036,Kenya,KE
Bomet East,KE036196,Bomet,KE036,Kenya,KE
Bonchari,KE045261,Kisii,KE045,Kenya,KE
Bondo,KE041236,Siaya,KE041,Kenya,KE
Borabu,KE046273,Nyamira,KE046,Kenya,KE
Budalangi,KE040231,Busia,KE040,Kenya,KE
Bumula,KE039219,Bungoma,KE039,Kenya,KE
Bura,KE004020,Tana River,KE004,Kenya,KE
Buret,KE035191,Kericho,KE035,Kenya,KE
Butere,KE037207,Kakamega,KE037,Kenya,KE
Butula,KE040229,Busia,KE040,Kenya,KE
Buuri,KE012057,Meru,KE012,Kenya,KE
Cental Imenti,KE012058,Meru,KE012,Kenya,KE
Changamwe,KE001001,Mombasa,KE001,Kenya,KE
Chepalungu,KE036195,Bomet,KE036,Kenya,KE
Cherangany,KE026140,Trans Nzoia,KE026,Kenya,KE
Chesumei,KE029154,Nandi,KE029,Kenya,KE
Dadaab,KE007030,Garissa,KE007,Kenya,KE
Dagoretti,KE047276,Nairobi,KE047,Kenya,KE
Dujis,KE007027,Garissa,KE007,Kenya,KE
Eldama Ravine,KE030162,Baringo,KE030,Kenya,KE
Eldas,KE008037,Wajir,KE008,Kenya,KE
Embakasi Central,KE047284,Nairobi,KE047,Kenya,KE
Embakasi East,KE047285,Nairobi,KE047,Kenya,KE
Embakasi North,KE047283,Nairobi,KE047,Kenya,KE
Embakasi South,KE047282,Nairobi,KE047,Kenya,KE
Embakasi West,KE047286,Nairobi,KE047,Kenya,KE
Emgwen,KE029155,Nandi,KE029,Kenya,KE
Emuhaya,KE038215,Vihiga,KE038,Kenya,KE
Emurua Dikirr,KE032178,Nakuru,KE032,Kenya,KE
Endebess,KE026137,Trans Nzoia,KE026,Kenya,KE
Fafi,KE007031,Garissa,KE007,Kenya,KE
Funyula,KE040230,Busia,KE040,Kenya,KE
Gachoka,KE014065,Embu,KE014,Kenya,KE
Galole,KE004019,Tana River,KE004,Kenya,KE
Ganze,KE003015,Kilifi,KE003,Kenya,KE
Garsen,KE004018,Tana River,KE004,Kenya,KE
Gatanga,KE021110,Murang'a,KE021,Kenya,KE
Gatundu North,KE022112,Kiambu,KE022,Kenya,KE
Gatundu South,KE022111,Kiambu,KE022,Kenya,KE
Gem,KE041235,Siaya,KE041,Kenya,KE
Gichugu,KE020101,Kirinyaga,KE020,Kenya,KE
Gilgil,KE032169,Nakuru,KE032,Kenya,KE
Githunguri,KE022116,Kiambu,KE022,Kenya,KE
Hamisi,KE038213,Vihiga,KE038,Kenya,KE
Homa Bay,KE043249,Homa Bay,KE043,Kenya,KE
Igembe Central,KE012052,Meru,KE012,Kenya,KE
Igembe North,KE012053,Meru,KE012,Kenya,KE
Igembe South,KE012051,Meru,KE012,Kenya,KE
Ijara,KE007032,Garissa,KE007,Kenya,KE
Ikolomani,KE037210,Kakamega,KE037,Kenya,KE
Isiolo North,KE011049,Isiolo,KE011,Kenya,KE
Isiolo South,KE011050,Isiolo,KE011,Kenya,KE
Jomvu,KE001002,Mombasa,KE001,Kenya,KE
Juja,KE022113,Kiambu,KE022,Kenya,KE
