disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;adm4_name;adm4_pcode;County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera_cases;data_source;glidenumber;disaster_id;data_quality;magnitude_impact;date_recorded
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;0;6;1;1;2002/05/13
flood;kenya;;;Tana River;KE004;0;;0;;Tana River;0;0;0;0;0;0;0;27000;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;0;1326;1;1;2002/05/13
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;7;1;1;2002/05/14
flood;kenya;;;Bungoma;KE039;0;;0;;Bungoma;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;62;1;1;2002/05/14
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;87;1;1;2002/05/14
flood;kenya;;;Elgeyo-Marakwet;KE028;0;;0;;Elgeyo-Marakwet;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;124;1;1;2002/05/14
flood;kenya;;;Embu;KE014;0;;0;;Embu;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;143;1;1;2002/05/14
flood;kenya;;;Kakamega;KE037;0;;0;;Kakamega;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;356;1;1;2002/05/14
flood;kenya;;;Kericho;KE035;0;;0;;Kericho;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;377;1;1;2002/05/14
flood;kenya;;;Kiambu;KE022;0;;0;;Kiambu;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;383;1;1;2002/05/14
flood;kenya;;;Kirinyaga;KE020;0;;0;;Kirinyaga;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;470;1;1;2002/05/14
flood;kenya;;;Kisii;KE045;0;;0;;Kisii;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;487;1;1;2002/05/14
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;504;1;1;2002/05/14
flood;kenya;;;Kitui;KE015;0;;0;;Kitui;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;614;1;1;2002/05/14
flood;kenya;;;Laikipia;KE031;0;;0;;Laikipia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;654;1;1;2002/05/14
flood;kenya;;;Machakos;KE016;0;;0;;Machakos;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;676;1;1;2002/05/14
flood;kenya;;;Meru;KE012;0;;0;;Meru;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;834;1;1;2002/05/14
flood;kenya;;;Meru;KE012;0;;0;;Meru;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;835;1;1;2002/05/14
flood;kenya;;;Meru;KE012;0;;0;;Meru;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;836;1;1;2002/05/14
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;507;2;0;2003/09/07
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1028;1;1;2002/05/14
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1029;1;1;2002/05/14
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1030;1;1;2002/05/14
flood;kenya;;;Nakuru;KE032;0;;0;;Nakuru;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1104;1;1;2002/05/14
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1413;1;1;2002/05/14
flood;kenya;;;Uasin Gishu;KE027;0;;0;;Uasin Gishu;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1490;1;1;2002/05/14
flood;kenya;;;Uasin Gishu;KE027;0;;0;;Uasin Gishu;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1491;1;1;2002/05/14
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1269;1;1;2002/05/15
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;-;410;0;0;2003/06/27
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;515;2;0;2009/10/21
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1270;0;0;2003/09/07
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1271;2;1;2003/09/07
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;88;0;0;2003/12/11
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;89;0;0;2005/01/01
flood;kenya;;;Kakamega;KE037;0;;0;;Kakamega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;357;0;0;2005/01/01
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;245;2;0;2005/04/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;246;2;0;2005/04/25
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;247;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;248;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;249;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;250;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;251;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;252;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;253;2;0;2005/05/24
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;254;2;0;2005/05/24
